quad,stand,stand_size,year,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,LECGRA
0A,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,40,NA,NA,0.01,NA,NA,NA,NA,1,NA,0.1,NA,NA,NA,2,0.1,2,NA,NA,NA,0.01,NA,1,5,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,0.01,NA,NA,NA
0C,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,20,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,1,NA,0.01,NA,1,0.1,1,0.01,NA,NA,NA,NA,0.1,3,NA,NA,0.01,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0E,FS,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,0.01,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.1,NA,NA,NA,1,0.01,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.01,0.1,NA,1,NA,0.1,NA,NA,NA,0.01,NA
0G,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.01,0.01,NA,NA,NA,0.1,2,NA,2,NA,5,NA,NA,0.1,1,0.1,NA,0.01,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1
0I,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,0.01,0.01,1,NA,NA,NA,0.01,NA,NA,1,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1
4A,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.1,NA,0.01,0.1,0.1,0.1,NA,NA,NA,0.01,NA,2,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,0.01,NA,NA,NA,0.01,NA
4C,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,0.1,NA,0.1,0.01,0.01,NA,1,NA,NA,0.01,NA,0.01,NA,1,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,0.01,NA,NA,0.01
4E,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0.01,NA,3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,2,NA,0.1,0.1,1,NA,NA,NA,NA,NA,NA,0.1,NA,0.01,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,0.01,NA,NA,1
4G,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,0.01,0.01,0.01,NA,0.01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.01,0.01,0.01,0.01,NA,NA,0.1,0.01,NA,0.01,NA
4I,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,NA,0.01,1,NA,2,NA,0.1,0.01,0.1,0.01,2,NA,NA,0.01,NA,NA,NA,0.1,NA,0.01,NA,NA,NA,0.1,NA,NA,NA,NA,0.01,NA,NA,NA,0.1
8A,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,15,NA,NA,NA,NA,NA,NA,NA,0.1,NA,25,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,1,NA,NA,0.01,2,NA,NA,NA,NA,NA,0.01,3,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,0.01
8C,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,0.01,NA,0.1,0.01,0.1,NA,NA,0.01,1,NA,NA,1,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
8E,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.01,NA,0.1,NA,0.01,NA,NA,NA,0.1,NA
8G,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,0.01,NA,0.01,NA,0.1,0.1,NA,NA,NA,NA,NA,2,NA,0.01,NA,0.01,NA,0.01,NA,0.1,NA,NA,0.01,NA,NA,0.01,NA
8I,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,0.1,NA,2,0.1,NA,NA,NA,0.01,NA,2,NA,NA,0.01,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,0.1
