quad,stand,year,month,day,stand_size,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,LECGRA,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,POLCOM
1B,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0.1,0,10,0,0.5,0,0,0,0,0.5,0,0.5,0.1,0,0,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,NA
1D,BH,1984,5,14,5,0,0,0,0.1,0,0,0,0,0,0,5,0,0.5,0.5,0,1,0,0,0,0,0,0.1,0,15,0,0,0,0,0,0,0.1,0.5,0.1,0.5,0,0,0.1,3,0.1,0.5,0,0,0,0,0,0,0,8,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,NA
1F,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.1,0,20,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,3,0,0.1,0,0,0,0.1,0,0,0,7,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,NA
1H,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,40,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,10,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,NA
1J,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0,20,0,0,0.5,0,0,0,0.1,0,0,0.1,0,0,0,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0.5,0,0,0,NA
3B,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0.1,0,20,0,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0.5,3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,NA
3D,BH,1984,5,14,5,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,60,0.1,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0.1,0.5,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.5,0,0,NA
3F,BH,1984,5,14,5,0,0,2,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0.5,0,17,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0.1,NA
3H,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0.5,0.1,0,0.5,0,0,0.1,4,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,NA
3J,BH,1984,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.5,0,0,0,0,0.5,0.1,0,0,NA
