"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","trap_number"
"3.68000","0.040000","1.440","5.16000","7.60000","0.64000","0.80000","9.04000","4.96000","&","1.16000","0.1600","6.28000","2.36000","0.160","5.72000","8.24000","*","*","&","*","*","9.5600","0.0000","0.040000","9.6000","7.84000","0.040","0.04000","&","7.9200","38.4400","0.000","0.88000","39.3200","*","*","*","*",1
"4.64000","0.120000","1.040","5.80000","7.48000","0.84000","0.64000","8.96000","4.28000","&","0.84000","0.7600","5.88000","2.56000","0.080","1.72000","4.36000","3.28000","0.080000","&","0.52000","3.88000","13.6400","0.0400","0.080000","13.7600","7.68000","0.000","0.04000","&","7.7200","42.9600","0.040","0.00000","43.0000","86.5200","2.04000","4.8000","93.3599",2
"2.48000","0.080000","0.680","3.24000","5.12000","0.32000","1.04000","6.48000","3.28000","&","0.36000","1.0400","4.68000","0.84000","0.040","1.36000","2.24000","2.08000","0.040000","&","1.64000","3.76000","9.8800","0.0400","0.400000","10.3200","5.36000","0.000","2.24000","&","7.6000","23.5200","0.080","5.60000","29.2000","52.5600","0.96000","14.0000","67.5199",3
"3.64000","0.000000","0.880","4.52000","6.68000","0.28000","0.76000","7.72000","4.04000","&","0.68000","0.9600","5.68000","1.92000","0.040","0.28000","2.24000","3.92000","0.040000","&","2.76000","6.72000","12.0000","0.0000","0.040000","12.0400","8.32000","0.000","0.00000","&","8.3200","40.9200","0.040","5.48000","46.4400","81.4400","1.08000","11.1600","93.6799",4
"2.68000","0.040000","1.280","4.00000","3.92000","0.36000","1.36000","5.64000","2.80000","&","0.44000","1.0800","4.32000","1.28000","0.040","1.52000","2.84000","2.40000","0.040000","&","2.04000","4.48000","8.7600","0.0400","0.520000","9.3200","6.96000","0.000","0.00000","&","6.9600","26.0000","0.000","4.88000","30.8800","54.8000","0.96000","12.6800","68.4399",5
"2.56000","0.040000","0.560","3.16000","5.84000","0.08000","3.04000","8.96000","3.04000","&","0.08000","1.0400","4.16000","1.08000","0.080","0.24000","1.40000","2.48000","0.040000","&","1.48000","4.00000","11.0000","0.0400","0.160000","11.2000","8.84000","0.000","0.52000","&","9.3600","30.2400","0.000","0.72000","30.9600","65.0800","0.36000","7.7600","73.1999",6
"2.40000","0.120000","0.080","2.60000","4.60000","0.68000","0.48000","5.76000","2.84000","&","0.44000","0.2800","3.56000","1.60000","0.160","0.28000","2.04000","*","*","&","*","*","8.4000","0.0400","0.040000","8.4800","9.96000","0.000","0.00000","&","9.9600","33.4800","0.000","0.12000","33.6000","*","*","*","*",7
"3.60000","0.160000","0.520","4.28000","6.48000","1.08000","1.08000","8.64000","2.64000","&","0.64000","1.2000","4.48000","1.60000","0.160","0.76000","2.52000","4.20000","0.680000","&","3.16000","8.04000","9.6400","0.0400","0.160000","9.8400","6.60000","0.000","0.40000","&","7.0000","31.8000","0.000","1.80000","33.6000","66.5600","2.76000","9.0800","78.3999",8
"2.16000","0.040000","2.560","4.76000","*","*","*","*","3.40000","&","0.88000","1.8000","6.08000","2.00000","0.040","0.28000","2.32000","4.20000","0.040000","&","0.36000","4.60000","9.7200","0.2000","0.280000","10.2000","8.96000","0.000","0.24000","&","9.2000","47.8000","0.040","8.80000","56.6400","*","*","*","*",9
"2.68000","0.080000","0.920","3.68000","*","*","*","*","3.84000","&","0.60000","2.7600","7.20000","1.60000","0.320","1.20000","3.12000","*","*","&","*","*","10.5200","0.0400","0.120000","10.6800","9.92000","0.040","0.04000","&","10.0000","*","*","*","*","*","*","*","*",10
"3.05200","0.072000","0.996","4.12000","5.96500","0.53500","1.15000","7.65000","3.51200","&","0.61200","1.1080","5.23200","1.68400","0.112","1.33600","3.13200","3.22284","0.137144","&","1.70857","5.06855","10.3120","0.0480","0.184000","10.5440","8.04400","0.008","0.35200","&","8.4040","35.0176","0.022","3.14224","38.1818","70.8094","1.54614","9.9768","82.3323",11
"0.79084","0.049171","0.675","1.51501","1.33736","0.33188","0.81212","2.48136","0.75136","&","0.30466","0.7419","1.79792","0.54175","0.090","1.64312","2.27487","0.90680","0.239840","&","1.04962","2.19626","1.5656","0.0559","0.165676","1.7872","1.46732","0.017","0.68891","&","2.1732","8.0784","0.029","3.12908","11.2365","15.4394","1.11745","8.9054","25.4623",12
