"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3"
"1.080","0.120000","1.6400","2.8400","5.5200","0.84000","2.16000","8.5200","6.4000","&","2.08000","3.92000","12.4000","5.80000","0.40000","1.96000","8.1600","1.92000","0.04","0.40000","&","2.36000","12.6800","0.080000","12.8000","25.5600","7.92000","0.04000","0.040000","8.000","&","41.480","0.040","2.40000","43.9200","82.80","3.64","25.32","111.76"
"0.960","0.080000","0.0400","1.0800","6.2400","1.00000","0.16000","7.4000","4.4000","&","1.32000","0.48000","6.2000","6.16000","0.24000","0.60000","7.0000","3.00000","0.04","0.08000","&","3.12000","11.8800","0.080000","0.0400","12.0000","9.64000","0.04000","0.000000","9.680","&","40.840","0.000","0.04000","40.8800","83.12","2.80","1.44","87.36"
"3.680","0.200000","2.0400","5.9200","6.3600","1.16000","2.16000","9.6800","5.6800","&","0.96000","0.48000","7.1200","5.56000","0.24000","0.28000","6.0800","2.28000","0.04","0.16000","&","2.48000","*","*","*","*","6.12000","0.08000","0.040000","6.240","&","31.960","0.040","3.20000","35.2000","*","*","*","*"
"3.160","0.200000","0.2000","3.5600","7.5200","1.32000","1.12000","9.9600","5.1200","&","1.40000","4.48000","11.0000","4.44000","0.24000","0.52000","5.2000","*","*","*","&","*","17.1600","0.040000","0.9600","18.1600","7.04000","0.04000","0.040000","7.120","&","40.600","0.040","0.36000","41.0000","*","*","*","*"
"5.760","0.120000","6.8800","12.7600","*","*","*","*","6.8000","&","2.76000","2.36000","11.9200","*","*","*","*","3.04000","0.04","0.20000","&","3.28000","8.9200","0.120000","0.0800","9.1200","4.28000","0.08000","0.040000","4.400","&","37.920","0.120","0.68000","38.7200","*","*","*","*"
"3.000","0.120000","0.7200","3.8400","4.9600","1.04000","2.16000","8.1600","10.1200","&","1.44000","2.48000","14.0400","4.20000","0.32000","0.96000","5.4800","3.20000","0.04","1.64000","&","4.88000","16.4800","0.040000","2.4800","19.0000","7.84000","0.04000","0.120000","8.000","&","45.360","0.040","2.16000","47.5600","95.16","3.08","12.72","110.96"
"3.320","0.240000","0.1200","3.6800","7.1200","1.00000","0.32000","8.4400","5.5200","&","1.28000","0.60000","7.4000","5.20000","0.68000","7.44000","13.3200","*","*","*","&","*","15.9200","0.040000","0.2800","16.2400","8.56000","0.00000","0.040000","8.600","&","48.160","0.080","6.04000","54.2800","*","*","*","*"
"4.400","0.200000","1.0800","5.6800","*","*","*","*","7.8800","&","2.76000","3.60000","14.2400","7.00000","0.48000","4.08000","11.5600","2.16000","0.04","2.96000","&","5.16000","11.0000","0.040000","1.3200","12.3600","6.84000","0.00000","0.240000","7.080","&","40.440","0.040","6.40000","46.8800","*","*","*","*"
"3.160","0.120000","0.9600","4.2400","5.1200","0.88000","1.32000","7.3200","3.4000","&","1.28000","0.72000","5.4000","5.44000","0.20000","0.88000","6.5200","1.36000","0.04","0.24000","&","1.64000","7.9600","0.040000","0.3600","8.3600","5.20000","0.00000","0.040000","5.240","&","28.160","0.120","2.44000","30.7200","59.80","2.68","6.96","69.44"
"3.080","0.160000","0.0000","3.2400","10.1200","2.16000","0.00000","12.2800","8.2000","&","2.88000","1.04000","12.1200","*","*","*","*","*","*","*","&","*","17.8400","0.080000","0.1200","18.0400","9.96000","0.08000","0.040000","10.080","&","21.600","0.040","6.60000","28.2400","*","*","*","*"
"3.160","0.156000","1.3680","4.6840","6.6200","1.17500","1.17500","8.9700","6.3520","&","1.81600","2.01600","10.1840","5.47500","0.35000","2.09000","7.9150","2.42286","0.04","0.81143","&","3.27428","13.3156","0.062222","2.0489","15.4267","7.34000","0.04000","0.064000","7.444","&","37.652","1.248","3.03200","40.7400","*","*","*","*"
"1.406","0.051467","2.0584","3.1516","1.6792","0.42598","0.93171","1.6374","1.9815","&","0.73423","1.55972","3.3259","0.90092","0.16388","2.48716","3.5519","0.68190","0.00","1.09025","&","1.77216","3.6721","0.029059","4.1095","5.4917","1.82576","0.03266","0.068508","1.817","&","8.106","3.764","2.50076","7.9524","*","*","*","*"
