"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2","V13.1","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","V10.3","V11.3","V1.4","V2.4","V3.4","V4.4","V5.4","V6.4","V7.4","V8.4","V9.4","trap_number"
"3.960","0.000","0","0.280000","1.96000","6.2000","5.360","0.000","0","1.36000","0.12000","11.7600","&","4.440","0.000","0.000","2.40000","1.6400","8.4800","2.960","0.000","0.000","0.28000","0.4800","&","3.7200","2.840","0.000","0","0.160000","1.12000","4.12000","*","*","*","*","*","&","*","5.360","0.080","0.000","0.0400","0.60000","6.0800","30.520","0.040","0.000","&","0.0400","3.5200","34.120","*","*","*","*","*","*",1
"5.040","0.000","0","0.200000","0.76000","6.0000","6.160","0.000","0","0.92000","1.76000","8.8400","&","4.080","0.000","0.000","1.68000","13.8000","19.5600","1.880","0.000","0.000","0.32000","2.6000","&","4.8000","2.720","0.320","0","0.080000","0.56000","3.68000","*","*","*","*","*","&","*","5.480","0.000","0.000","0.0000","0.56000","6.0400","25.360","0.000","0.280","&","0.0400","13.5600","39.240","*","*","*","*","*","*",2
"4.200","4.240","0","0.320000","0.88000","9.6400","5.960","5.960","0","1.08000","3.80000","16.8000","&","4.000","2.240","0.000","1.20000","2.2400","9.6800","2.320","2.320","0.720","0.24000","0.6400","&","5.5200","1.520","5.000","0","0.120000","0.48000","7.12000","*","*","*","*","*","&","*","3.040","12.680","12.680","0.0000","0.36000","28.7600","30.440","21.200","0.800","&","0.2400","9.6400","62.320","*","*","*","*","*","*",3
"4.200","0.000","0","0.200000","0.76000","5.1600","4.520","0.000","0","0.72000","1.20000","6.4400","&","3.680","0.000","0.000","2.12000","3.2800","9.0800","2.640","0.000","0.000","0.12000","1.4800","&","4.2400","2.680","0.000","0","0.200000","2.36000","5.24000","*","*","*","*","*","&","*","2.880","0.320","0.680","0.0400","0.20000","4.1200","24.080","0.640","0.320","&","0.0400","8.8800","57.960","*","*","*","*","*","*",4
"5.480","0.000","0","0.240000","6.72000","12.4400","7.960","0.000","0","0.64000","7.12000","15.7200","&","6.320","0.000","0.000","2.60000","8.2400","27.7600","3.840","0.000","0.000","0.36000","12.8000","&","17.0000","5.760","0.000","0","0.200000","1.00000","6.96000","*","*","*","*","*","&","*","7.680","0.440","4.960","0.0000","1.12000","14.2000","39.120","0.000","0.600","&","0.0400","7.5200","46.880","*","*","*","*","*","*",5
"4.640","4.640","0","0.480000","1.04000","10.8000","6.000","5.960","0","0.84000","6.24000","19.0400","&","4.000","2.480","10.920","1.64000","3.7200","11.8400","4.600","0.000","0.000","0.24000","2.5600","&","7.4000","3.880","0.360","0","0.800000","0.76000","5.80000","*","*","*","*","*","&","*","4.200","1.400","1.640","0.4000","0.28000","10.7200","32.960","35.600","0.160","&","28.1200","17.4400","114.280","*","*","*","*","*","*",6
"4.720","0.000","0","0.160000","0.28000","5.1600","6.520","0.000","0","0.44000","3.08000","10.0400","&","4.160","0.000","0.000","0.68000","1.0400","5.8800","2.480","0.000","0.000","0.24000","1.1200","&","3.8400","2.440","0.160","0","0.160000","1.16000","3.92000","12.800","1.560","0","0.72","0.760","&","12.16","7.440","1.800","0.000","0.0400","0.04000","9.3200","17.680","0.960","0.000","&","0.0400","2.0000","20.680","58.240","4.480","0.000","2.4800","9.4800","71.000",7
"6.600","0.000","0","0.440000","1.88000","8.9200","8.800","0.000","0","1.16000","2.88000","12.8400","&","7.760","0.000","0.000","2.20000","6.0400","16.0000","6.640","0.000","0.000","0.56000","2.7200","&","9.9200","5.160","0.160","0","0.080000","1.32000","6.72000","7.120","3.640","0","0.24","0.320","&","14.92","7.080","1.400","0.120","0.0000","0.16000","8.7600","33.320","4.920","0.000","&","0.6800","9.3600","48.280","82.480","10.120","0.120","5.3600","24.6800","126.360",8
"3.920","0.000","0","0.160000","0.16000","4.2400","7.600","0.000","0","1.04000","0.48000","9.1200","&","2.640","0.000","0.000","1.80000","3.6400","8.0800","2.080","0.000","0.000","0.28000","0.4000","&","2.7600","*","*","0","*","*","*","*","*","*","*","*","&","*","4.080","0.880","4.360","0.0000","0.00000","9.3200","22.520","0.800","0.000","&","0.0400","3.8800","27.240","*","*","*","*","*","*",9
"5.240","0.000","0","0.160000","1.24000","6.6400","4.600","4.560","0","0.88000","4.88000","14.9200","&","4.320","0.000","0.000","1.04000","1.7200","7.0800","2.400","2.400","0.000","0.16000","1.2800","&","6.2400","1.920","1.080","*","0.080000","2.16000","5.24000","*","*","*","*","*","&","*","2.800","4.120","0.840","34.7200","0.68000","43.1600","19.520","23.720","0.520","&","37.6800","13.0000","94.440","*","*","*","*","*","*",10
"4.800","0.888","0","0.264000","1.56800","7.5200","6.348","1.648","0","0.90800","3.15600","12.5520","&","4.540","0.472","1.092","1.73600","4.5360","12.3440","3.184","0.472","0.072","0.28000","2.6080","&","6.5440","3.213","0.787","0","0.208888","1.21333","5.42220","9.960","2.600","0","0.48","0.540","&","13.54","5.004","2.312","2.528","3.5240","0.40000","14.0480","27.552","8.778","0.268","&","6.6960","8.8800","54.544","64.601","17.957","3.960","14.0969","22.9013","126.514",11
