"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3"
"1.12000","0.000000","0.160000","1.28000","6.36000","0.44000","4.92000","11.7200","5.8400","&","0.16","18.0800","24.080","3.64000","0.040000","4.56000","8.2400","3.44000","0.00","0.28000","&","3.7200","8.7600","0.0400000","0.32000","9.1200","8.0000","0.0000000","0.080000","8.0800","&","24.9200","0.00000","2.6400","27.5600","62.08","0.68","31.04","93.80"
"1.00000","0.000000","0.160000","1.16000","4.04000","0.72000","0.08000","4.8400","1.9200","&","3.04","1.9200","6.880","2.04000","0.040000","0.00000","2.0800","*","*","*","&","*","*","*","*","*","4.0800","0.0000000","0.040000","4.1200","&","19.8000","0.00000","0.4800","20.2800","*","*","*","*"
"0.80000","0.000000","0.160000","0.96000","*","*","*","*","*","&","*","*","*","*","*","*","*","1.32000","0.00","0.08000","&","1.4000","4.8800","0.0000000","0.08000","4.9600","3.2000","0.0000000","0.040000","3.2400","&","18.1200","0.04000","0.2400","18.4000","*","*","*","*"
"0.88000","0.040000","0.360000","1.28000","2.08000","0.48000","0.24000","2.8000","6.8000","&","0.92","16.9200","24.640","2.76000","0.040000","1.84000","4.6400","1.40000","0.00","0.08000","&","1.4800","11.9200","0.0000000","0.16000","12.0800","4.8800","0.0000000","0.040000","4.9200","&","17.6000","0.00000","0.2800","17.8800","48.32","1.48","19.92","69.72"
"1.36000","0.000000","0.120000","1.48000","5.32000","1.04000","1.64000","8.0000","5.4000","&","1.88","10.0400","17.320","1.88000","0.000000","1.04000","2.9200","*","*","*","&","*","5.8400","0.0000000","1.08000","6.9200","5.8400","0.0000000","0.000000","5.8400","&","22.5600","0.04000","1.1200","23.7200","*","*","*","*"
"1.16000","0.120000","0.240000","1.52000","5.60000","0.92000","0.48000","7.0000","10.8800","&","3.28","11.9200","26.080","5.04000","0.080000","1.32000","6.4400","2.36000","0.04","0.04000","&","2.4400","9.2400","0.0000000","0.44000","9.6800","6.5600","0.0000000","0.080000","6.6400","&","23.8800","0.04000","0.8000","24.7200","64.72","4.48","15.32","84.52"
"1.12000","0.120000","0.160000","1.40000","6.92000","1.72000","2.88000","11.5200","12.3200","&","0.00","31.5200","43.840","3.80000","0.040000","9.32000","13.1600","*","*","*","&","*","7.6800","0.0000000","0.40000","8.0800","7.6800","0.0400000","0.760000","8.4800","&","31.3200","2.04000","10.4400","43.8000","*","*","*","*"
"1.12000","0.040000","0.280000","1.44000","3.60000","0.52000","0.76000","4.8800","7.3600","&","0.72","16.8400","24.920","2.96000","0.160000","0.88000","4.0000","*","*","*","&","*","15.4800","0.0000000","3.04000","18.5200","6.1600","0.0000000","0.200000","6.3600","&","17.4800","0.00000","0.1600","17.6400","*","*","*","*"
"1.44000","0.000000","0.080000","1.52000","7.68000","1.32000","1.64000","10.6400","15.4400","&","2.12","24.4000","41.960","4.36000","0.040000","7.48000","11.8800","*","*","*","&","*","6.5600","0.0800000","0.88000","7.5200","5.9600","0.0000000","0.280000","6.2400","&","30.6000","0.00000","7.4800","38.0800","*","*","*","*"
"0.32000","0.000000","0.000000","0.32000","4.64000","0.36000","0.28000","5.2800","7.7600","&","1.44","9.8800","19.080","2.16000","0.040000","3.80000","6.0000","*","*","*","&","*","10.2000","0.0000000","1.12000","11.3200","4.1600","0.0000000","0.040000","4.2000","&","19.0000","0.00000","1.2400","20.2400","*","*","*","*"
"1.03200","0.032000","0.172000","1.23600","5.13776","0.83556","1.43556","7.4089","7.7600","&","1.51","14.6133","25.422","3.18224","0.053333","3.36000","6.5956","2.13000","0.01","0.12000","&","2.2600","8.9511","0.0133332","0.83556","9.8000","5.6520","0.0040000","0.156000","5.8120","&","22.5280","0.21600","2.4880","25.2320","*","*","*","*"
"0.31598","0.049171","0.101631","0.36731","1.75168","0.45932","1.59228","3.2637","4.5528","&","1.18","9.0826","11.541","1.10128","0.044721","3.22924","4.3752","0.99298","0.02","0.10832","&","1.1213","3.2922","0.0282844","0.91114","3.9354","1.5686","0.0126492","0.228968","1.7096","&","5.1542","0.64116","3.5565","8.9792","*","*","*","*"
