"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","V10.3","V1.4","V2.4","V3.4"
"5.32000","0.000000","0.64000","5.9600","4.3600","0.64000","0.000000","5.0000","*","&","*","*","*","5.520","0.64000","2.6000","8.7600","1.60000","0.040000","&","0.20000","1.84000","0.32000","0","0.0400","0.3600","5.8000","0.0000000","0.080000","5.8800","&","4.92000","0.0000000","0.000","4.920","16.4800","0.0000000","0.04000","16.5200","*","&","*","*","*"
"4.88000","0.000000","0.08000","4.9600","7.8400","0.24000","0.440000","8.5200","9.96000","&","0.040000","3.48000","13.4800","7.280","0.48000","2.2800","10.0400","1.56000","0.040000","&","0.48000","2.08000","3.56000","0","0.0400","3.6000","11.9200","0.0000000","0.360000","12.2800","&","5.52000","0.0000000","0.000","5.520","23.9600","0.0400000","0.20000","24.2000","76.4800","&","0.84000","7.3600","84.680"
"4.88000","0.000000","0.04000","4.9200","5.3200","0.12000","0.360000","5.8000","8.52000","&","0.000000","0.00000","8.5200","4.600","0.04000","1.6400","6.2800","0.76000","0.040000","&","0.04000","0.84000","2.56000","0","0.0400","2.6000","6.4800","0.0000000","0.200000","6.6800","&","2.24000","0.0400000","0.000","2.280","14.4400","0.0000000","0.40000","14.8400","49.7999","&","0.24000","2.7200","52.760"
"7.24000","0.040000","0.48000","7.7600","10.0000","0.36000","0.320000","10.6800","6.20000","&","0.320000","0.00000","6.5200","9.400","0.76000","2.4000","12.5600","1.80000","0.040000","&","1.52000","3.36000","4.04000","0","0.0400","4.0800","13.3200","0.0000000","0.240000","13.5600","&","6.48000","0.0000000","2.000","8.480","21.9600","0.0000000","0.24000","22.2000","80.4399","&","1.52000","7.2400","89.200"
"6.72000","0.040000","1.60000","8.3600","12.0800","0.24000","0.560000","12.8800","4.28000","&","0.440000","0.24000","4.9600","14.280","0.20000","18.6400","33.1200","3.40000","0.000000","&","1.16000","4.56000","9.60000","0","0.2400","9.8400","25.0800","0.0000000","0.520000","25.6000","&","9.40000","0.0000000","24.920","34.320","*","*","*","*","*","&","*","*","*"
"6.20000","0.040000","2.48000","8.7200","6.7600","0.36000","0.040000","7.1600","5.08000","&","0.080000","0.04000","5.2000","6.880","0.20000","12.8800","19.9600","1.96000","0.040000","&","1.24000","3.24000","3.60000","0","0.0400","3.6400","14.2000","0.0000000","0.240000","14.4400","&","5.68000","0.0000000","0.000","5.680","14.6800","0.0000000","0.20000","14.8800","65.0399","&","0.72000","17.1600","82.920"
"3.68000","0.000000","0.00000","3.6800","3.4000","0.60000","0.000000","4.0000","4.16000","&","0.240000","0.00000","4.4000","3.800","0.40000","3.6400","7.8400","0.84000","0.000000","&","0.24000","1.08000","1.72000","0","0.2000","1.9200","8.3600","0.0000000","0.040000","8.4000","&","3.40000","0.0000000","0.040","3.440","13.2000","0.0000000","0.16000","13.3600","42.5600","&","1.24000","4.3200","48.120"
"5.20000","0.000000","0.28000","5.4800","5.6400","0.12000","0.040000","5.8000","5.52000","&","0.440000","2.08000","8.0400","8.000","0.56000","1.4800","10.0400","1.00000","0.000000","&","0.72000","1.72000","1.84000","0","0.0000","1.8400","13.5600","0.0000000","0.080000","13.6400","&","5.00000","0.0400000","0.040","5.080","21.0400","0.0000000","0.04000","21.0800","66.7999","&","1.16000","4.7600","72.720"
"5.20000","0.040000","0.32000","5.5600","9.2400","1.12000","0.320000","10.6800","9.92000","&","0.320000","2.08000","12.3200","9.000","1.24000","10.5600","20.8000","2.76000","0.040000","&","2.04000","4.84000","4.92000","0","0.2000","5.1200","16.6400","0.0400000","0.040000","16.7200","&","3.24000","0.0000000","0.000","3.240","18.8000","0.0000000","1.36000","20.1600","79.7199","&","2.80000","16.9200","99.440"
"4.96000","0.000000","0.32000","5.2800","5.2800","0.96000","0.040000","6.2800","7.60000","&","0.920000","6.80000","15.3200","8.480","1.56000","13.8000","23.8400","2.08000","0.360000","&","1.40000","3.84000","7.44000","0","12.4400","19.8800","13.2000","0.0400000","0.120000","13.3600","&","5.28000","0.0000000","0.400","5.680","18.3600","0.0000000","1.04000","19.4000","72.6799","&","3.84000","36.3600","112.880"
"5.42800","0.016000","0.62400","6.0680","6.9920","0.47600","0.212000","7.6800","6.80444","&","0.311112","1.63556","8.7511","7.724","0.60800","6.9920","15.3240","1.77600","0.060000","&","0.90400","2.74000","3.96000","0","1.3280","5.2880","12.8560","0.0080000","0.192000","13.0560","&","5.11600","0.0080000","2.740","7.864","18.1022","0.0044444","0.40889","18.5155","68.7586","&","1.49155","15.0364","85.287"
"1.02952","0.020656","0.79916","1.6544","2.7517","0.34690","0.210016","2.9015","2.28020","&","0.281268","2.31804","4.0265","3.033","0.50574","6.5272","8.9246","0.83803","0.107082","&","0.66592","1.61104","2.78604","0","3.9053","6.6914","5.5569","0.0168656","0.155264","5.6550","&","1.98632","0.0168656","7.818","9.451","3.7109","0.0133332","0.46809","3.7623","23.9725","&","1.30871","22.8670","44.678"
