plot_number,vascular_1982,plot_name,plot_code,date_burned,latitude,longitude
1,1B,Firebag Young,FY,1981,57.625,-111.2083333
2,2,McClelland Doghair,MD,NA,57.51666667,-111.2555556
3,3,Mildred Lake,ML,NA,57.075,-111.5916667
4,4,Oasis Island,OI,NA,57.06527778,-111.4125
5,5,Seismic Junction,SJ,NA,57.12083333,-111.425
6,6,Richardson Young,RY,1981,57.83611111,-111.125
7,7,Bear Hollow,BH,NA,57.625,-111.9291667
8,8,Jack Straws,JS,NA,57.12777778,-111.4666667
9,9,Raft Landing,RL,NA,57.63055556,-111.9972222
10,10,Lichen Forest,LF,NA,57.12083333,-111.4583333
11,11B,Firebag Alder,FA,1981,57.625,-111.1916667
12,12,McClelland Old,MO,NA,57.51111111,-111.2555556
13,13,Richardson Old,RO,1981,57.83333333,-111.1277778
14,14,Old Pine,OP,NA,57.06111111,-111.4111111
15,15,Beaver Pond,BP,NA,57.02916667,-111.3805556
16,16,Two Terraces,TT,NA,57.99166667,-111.175
1N,1N,Firebag Savanna,FS,NA,57.65972222,-111.1666667
2N,2N,Firebag Doghair,FD,NA,57.65694444,-111.1722222
3N,3N,Winter-road Young,WY,NA,57.55277778,-111.3388889
4N,4N,Winter-road Old,WO,NA,57.55,-111.3569444
5N,,SandAlta,SA,NA,57.2,-111.4
