plot_number,vascular_1982,stand_name,stand_code,date_burned,latitude,longitude,soil_temp,litter,vascular,bryoid,dendrochronology,tree_dynamics,tree_cover,soil_matric_potential,age_class,thomson_impingement_zone
7,7,Bear Hollow,BH,NA,57.625,-111.9291667,1,0,1,1,0,1,0,0,young,very low
15,15,Beaver Pond,BP,NA,57.02916667,-111.3805556,1,1,1,1,1,0,0,0,young,very high
11,11B,Firebag Alder,FA,1981,57.625,-111.1916667,1,0,1,1,0,0,0,0,very young,very low
2N,2N,Firebag Doghair,FD,NA,57.65694444,-111.1722222,1,0,1,1,0,0,0,0,middle,very low
1N,1N,Firebag Savanna,FS,NA,57.65972222,-111.1666667,1,0,1,1,0,0,0,0,young,very low
1,1B,Firebag Young,FY,1981,57.625,-111.2083333,1,0,1,1,0,1,0,0,very young,very low
8,8,Jack Straws,JS,NA,57.12777778,-111.4666667,1,1,1,1,1,1,0,0,young,low
10,10,Lichen Forest,LF,NA,57.12083333,-111.4583333,1,1,1,1,1,0,0,0,middle,low
2,2,McClelland Doghair,MD,NA,57.51666667,-111.2555556,1,0,1,1,0,1,0,0,young,low
3,3,Mildred Lake,ML,NA,57.075,-111.5916667,1,1,1,1,1,1,0,0,young,low
12,12,McClelland Old,MO,NA,57.51111111,-111.2555556,1,0,1,1,0,0,0,0,middle,low
4,4,Oasis Island,OI,NA,57.06527778,-111.4125,1,1,1,1,1,1,0,0,middle,low
14,14,Old Pine,OP,NA,57.06111111,-111.4111111,1,0,1,1,0,0,0,0,old,high
9,9,Raft Landing,RL,NA,57.63055556,-111.9972222,1,0,1,1,0,0,0,0,middle,very low
13,13,Richardson Old,RO,1981,57.83333333,-111.1277778,1,0,0,1,0,0,0,0,very young,control
6,6,Richardson Young,RY,1981,57.83611111,-111.125,1,0,0,1,0,1,0,0,very young,control
5N,,SandAlta,SA,NA,57.2,-111.4,1,1,1,1,1,0,0,0,old,medium
5,5,Seismic Junction,SJ,NA,57.12083333,-111.425,1,0,1,1,0,1,0,0,young,medium
16,16,Two Terraces,TT,NA,57.99166667,-111.175,1,0,1,1,0,0,0,0,young,medium
4N,4N,Winter-road Old,WO,NA,57.55,-111.3569444,1,1,1,1,1,0,0,0,middle,low
3N,3N,Winter-road Young,WY,NA,57.55277778,-111.3388889,1,1,1,1,1,0,0,0,young,low
