stand,quad,tree_tag,species_code,tree_code_1983,DBH_1983_cm,stem_height_1983_m,age_1983
ML,0A,6,PIBA,L,7.3660000000000005,NA,NA
ML,0A,9,PIBA,D,8.382,NA,NA
ML,0A,8,PIBA,L,9.398000000000001,NA,NA
ML,0A,7,PIBA,L,11.175999999999998,NA,NA
ML,0A,2,PIBA,D,10.16,NA,NA
ML,0A,1,PIBA,D,14.985999999999999,NA,NA
ML,0A,3,PIBA,L,13.462,NA,NA
ML,0A,4,PIBA,L,7.3660000000000005,NA,NA
ML,0A,5,PIBA,L,8.636000000000001,NA,NA
ML,0B,10,PIBA,D,10.668,NA,NA
ML,0B,11,PIBA,L,10.414000000000001,NA,NA
ML,0B,12,PIBA,D,10.922,11.7,37
ML,0B,15,PIBA,L,8.128,NA,NA
ML,0B,16,PIBA,L,6.35,NA,NA
ML,0B,13,PIBA,L,8.636000000000001,NA,NA
ML,0B,18,PIBA,L,3.556,NA,NA
ML,0B,17,PIBA,L,9.398000000000001,NA,NA
ML,0B,20,PIBA,L,13.716,NA,NA
ML,0B,19,PIBA,L,4.572,NA,NA
ML,0C,21,PIBA,L,5.334,NA,NA
ML,0C,22,PIBA,L,12.446,NA,NA
ML,0C,23,PIBA,L,3.81,NA,NA
ML,0C,24,PIBA,L,8.128,NA,NA
ML,0D,25,PIBA,L,5.587999999999999,NA,NA
ML,0D,26,PIBA,L,7.62,NA,NA
ML,0D,27,PIBA,L,7.874,NA,NA
ML,0D,28,PIBA,L,5.8420000000000005,NA,NA
ML,0D,30,PIBA,L,3.81,NA,NA
ML,0D,29,PIBA,L,11.937999999999999,12.3,37
ML,0D,31,PIBA,L,9.652000000000001,NA,NA
ML,0D,32,PIBA,L,3.302,NA,NA
ML,0D,33,PIBA,L,5.8420000000000005,NA,NA
ML,0D,34,PIBA,D,11.684000000000001,NA,NA
ML,0D,35,PIBA,L,4.572,NA,NA
ML,0E,36,PIBA,D,10.16,NA,NA
ML,0E,37,PIBA,L,10.16,NA,NA
ML,0E,38,PIBA,L,11.43,NA,NA
ML,0E,39,PIBA,D,8.636000000000001,NA,NA
ML,0F,40,PIBA,L,11.684000000000001,NA,NA
ML,0F,41,PIBA,L,10.922,NA,NA
ML,0F,42,PIBA,L,10.668,10.7,37
ML,0F,43,PIBA,D,10.414000000000001,NA,NA
ML,0G,44,PIBA,L,10.414000000000001,NA,NA
ML,0G,45,PIBA,L,11.175999999999998,NA,NA
ML,0I,46,PIBA,L,14.478,NA,NA
ML,0I,47,PIBA,L,11.937999999999999,NA,NA
ML,0I,49,PIBA,D,4.3180000000000005,NA,NA
ML,0I,48,PIBA,L,12.7,NA,NA
ML,0I,50,PIBA,L,8.89,NA,NA
ML,0J,52,PIBA,L,12.954,NA,NA
ML,0J,53,PIBA,L,10.16,12.2,38
ML,0J,54,PIBA,L,10.16,11.4,35
ML,0J,56,PIBA,L,4.8260000000000005,7,34
ML,0J,55,PIBA,L,8.128,NA,NA
ML,0J,59,PIBA,L,7.3660000000000005,NA,NA
ML,0J,58,PIBA,L,8.89,NA,NA
ML,0J,57,PIBA,L,13.716,NA,NA
ML,0J,51,PIBA,L,13.97,NA,NA
ML,1J,61,PIBA,L,10.16,NA,NA
ML,1J,62,PIBA,L,12.954,NA,NA
ML,1I,63,PIBA,L,13.462,NA,NA
ML,1H,64,PIBA,L,14.732000000000001,NA,NA
ML,1H,65,PIBA,L,10.668,NA,NA
ML,1G,99,PIBA,D,14.478,NA,NA
ML,1G,99,PIBA,L,14.732000000000001,NA,NA
ML,1H,67,PIBA,D,10.414000000000001,NA,NA
ML,1H,68,PIBA,L,8.636000000000001,NA,NA
ML,1H,83,PIBA,D,9.398000000000001,NA,NA
ML,1E,70,PIBA,D,11.684000000000001,NA,NA
ML,1E,69,PIBA,D,11.175999999999998,NA,NA
ML,1E,71,PIBA,D,11.175999999999998,NA,NA
ML,1E,72,PIBA,D,9.398000000000001,NA,NA
ML,1E,74,PIBA,L,5.8420000000000005,NA,NA
ML,1E,73,PIBA,L,10.922,NA,NA
ML,1E,75,PIBA,L,6.858,NA,NA
ML,1E,76,PIBA,L,5.334,NA,NA
ML,1E,77,PIBA,L,5.587999999999999,10.6,32
ML,1E,78,PIBA,L,8.382,NA,NA
ML,1E,82,PIBA,L,9.906,NA,NA
ML,1E,80,PIBA,D,4.572,NA,NA
ML,1E,81,PIBA,L,6.096,NA,NA
ML,1D,84,PIBA,L,7.3660000000000005,NA,NA
ML,1D,85,PIBA,L,9.398000000000001,NA,NA
ML,1D,86,PIBA,L,9.398000000000001,NA,NA
ML,1D,87,PIBA,L,4.572,NA,NA
ML,1D,92,PIBA,L,6.096,NA,NA
ML,1D,88,PIBA,L,11.175999999999998,NA,NA
ML,1D,89,PIBA,L,7.874,9.4,29
ML,1D,91,PIBA,L,4.8260000000000005,NA,NA
ML,1C,93,PIBA,L,4.8260000000000005,NA,NA
ML,1C,94,PIBA,D,3.556,NA,NA
ML,1C,98,PIBA,L,9.144,NA,NA
ML,1C,99,PIBA,L,6.096,NA,NA
ML,1C,97,PIBA,L,8.382,NA,NA
ML,1C,96,PIBA,L,12.7,NA,NA
ML,1C,95,PIBA,L,12.446,NA,NA
ML,1C,100,PIBA,L,6.604,NA,NA
ML,1C,102,PIBA,L,3.048,NA,NA
ML,1C,103,PIBA,L,9.144,NA,NA
ML,1C,104,PIBA,L,8.128,NA,NA
ML,1C,105,PIBA,L,7.3660000000000005,NA,NA
ML,1C,106,PIBA,L,7.62,NA,NA
ML,1C,109,PIBA,L,9.398000000000001,NA,NA
ML,1C,108,PIBA,L,5.587999999999999,NA,NA
ML,1C,107,PIBA,L,5.8420000000000005,NA,NA
ML,1B,110,PIBA,L,5.8420000000000005,8,35
ML,1B,111,PIBA,L,7.874,NA,NA
ML,1B,112,PIBA,L,7.62,NA,NA
ML,1B,113,PIBA,L,12.446,NA,NA
ML,1B,118,PIBA,L,12.7,NA,NA
ML,1B,114,PIBA,L,7.3660000000000005,NA,NA
ML,1B,115,PIBA,L,7.3660000000000005,NA,NA
ML,1B,116,PIBA,L,9.144,NA,NA
ML,1B,117,PIBA,L,10.414000000000001,NA,NA
ML,1B,119,PIBA,L,5.8420000000000005,8,36
ML,1B,121,PIBA,L,5.08,NA,NA
ML,1B,122,PIBA,L,5.08,NA,NA
ML,1A,123,PIBA,L,13.97,10.8,36
ML,1A,124,PIBA,L,7.3660000000000005,NA,NA
ML,1A,125,PIBA,L,7.3660000000000005,9,31
ML,2A,423,PIBA,L,7.112,NA,NA
ML,2A,408,PIBA,L,9.906,NA,NA
ML,2A,409,PIBA,L,12.446,NA,NA
ML,2B,410,PIBA,L,8.89,NA,NA
ML,2B,411,PIBA,L,10.414000000000001,NA,NA
ML,2B,413,PIBA,L,13.97,NA,NA
ML,2B,412,PIBA,L,8.89,NA,NA
ML,2B,414,PIBA,L,8.636000000000001,NA,NA
ML,2B,415,PIBA,L,8.89,NA,NA
ML,2B,416,PIBA,L,10.414000000000001,NA,NA
ML,2C,101,PIBA,L,4.3180000000000005,NA,NA
ML,2C,417,PIBA,L,4.064,NA,NA
ML,2C,418,PIBA,L,8.636000000000001,NA,NA
ML,2C,420,PIBA,L,10.668,NA,NA
ML,2C,419,PIBA,L,8.89,NA,NA
ML,2C,428,PIBA,L,10.668,NA,NA
ML,2C,421,PIBA,L,12.192,11.4,38
ML,2C,422,PIBA,L,11.175999999999998,NA,NA
ML,2C,120,PIBA,L,6.35,NA,NA
ML,2D,424,PIBA,L,11.43,NA,NA
ML,2D,425,PIBA,L,11.43,NA,NA
ML,2D,426,PIBA,D,7.3660000000000005,NA,NA
ML,2D,427,PIBA,L,8.89,NA,NA
ML,2D,429,PIBA,L,7.3660000000000005,NA,NA
ML,2D,432,PIBA,L,7.3660000000000005,NA,NA
ML,2D,431,PIBA,L,8.89,NA,NA
ML,2E,434,PIBA,L,6.604,NA,NA
ML,2E,433,PIBA,L,13.97,NA,NA
ML,2E,435,PIBA,D,11.43,NA,NA
ML,2E,436,PIBA,L,6.604,NA,NA
ML,2E,437,PIBA,L,7.3660000000000005,NA,NA
ML,2F,439,PIBA,L,6.096,NA,NA
ML,2F,440,PIBA,L,8.636000000000001,NA,NA
ML,2F,441,PIBA,L,10.16,NA,NA
ML,2F,442,PIBA,L,12.446,NA,NA
ML,2F,443,PIBA,L,11.684000000000001,NA,NA
ML,2F,444,PIBA,L,15.24,NA,NA
ML,2G,447,PIBA,L,7.62,NA,NA
ML,2G,445,PIBA,L,16.002,NA,NA
ML,2G,446,PIBA,L,11.684000000000001,NA,NA
ML,2G,448,PIBA,L,12.446,NA,NA
ML,2G,449,PIBA,L,12.192,NA,NA
ML,2G,451,PIBA,L,14.478,NA,NA
ML,2G,452,PIBA,L,7.112,NA,NA
ML,2G,453,PIBA,L,12.954,NA,NA
ML,2H,454,PIBA,L,10.922,NA,NA
ML,2H,455,PIBA,L,13.462,NA,NA
ML,2H,456,PIBA,L,15.494000000000002,NA,NA
ML,2H,457,PIBA,L,11.175999999999998,NA,NA
ML,2H,458,PIBA,L,9.906,NA,NA
ML,2H,459,PIBA,L,20.32,NA,NA
ML,2I,450,PIBA,L,11.684000000000001,NA,NA
ML,2I,460,PIBA,L,12.446,NA,NA
ML,2J,461,PIBA,L,14.985999999999999,NA,NA
ML,2J,462,PIBA,L,13.208,NA,NA
ML,2J,463,PIBA,L,12.954,NA,NA
ML,3J,464,PIBA,L,9.144,7.6,33
ML,3J,466,PIBA,L,14.985999999999999,NA,NA
ML,3J,465,PIBA,L,7.3660000000000005,NA,NA
ML,3J,467,PIBA,L,8.382,NA,NA
ML,3J,468,PIBA,L,10.922,NA,NA
ML,3J,469,PIBA,L,14.732000000000001,NA,NA
ML,3I,471,PIBA,L,10.16,NA,NA
ML,3I,470,PIBA,L,9.398000000000001,NA,NA
ML,3G,474,PIBA,L,19.558,NA,NA
ML,3G,473,PIBA,L,16.002,NA,NA
ML,3E,475,PIBA,L,15.494000000000002,NA,NA
ML,3E,476,PIBA,L,10.668,NA,NA
ML,3E,477,PIBA,L,15.24,NA,NA
ML,3E,478,PIBA,L,7.62,NA,NA
ML,3D,476,PIBA,L,16.51,NA,NA
ML,3C,482,PIBA,D,7.874,NA,NA
ML,3C,481,PIBA,L,14.732000000000001,NA,NA
ML,3C,480,PIBA,L,14.985999999999999,NA,NA
ML,3B,483,PIBA,L,12.7,NA,NA
ML,3B,484,PIBA,L,12.192,NA,NA
ML,3B,485,PIBA,L,7.3660000000000005,NA,NA
ML,3A,486,PIBA,L,12.7,NA,NA
ML,3A,487,PIBA,L,8.636000000000001,NA,NA
ML,3A,488,PIBA,L,4.8260000000000005,NA,NA
ML,3A,489,PIBA,L,12.7,11.3,37
ML,3A,490,PIBA,L,12.7,NA,NA
ML,3A,491,PIBA,L,10.16,NA,NA
ML,3A,493,PIBA,D,7.62,NA,NA
ML,3A,494,PIBA,L,12.446,NA,NA
ML,4A,495,PIBA,L,8.128,NA,NA
ML,4A,492,PIBA,L,9.652000000000001,NA,NA
ML,4B,497,PIBA,L,15.748,NA,NA
ML,4B,496,PIBA,L,13.208,NA,NA
ML,4B,499,PIBA,L,11.43,NA,NA
ML,4B,498,PIBA,L,15.24,NA,NA
ML,4B,500,PIBA,L,14.478,NA,NA
ML,4B,501,PIBA,L,8.89,NA,NA
ML,4C,502,PIBA,L,13.716,NA,NA
ML,4D,503,PIBA,L,10.414000000000001,NA,NA
ML,4D,504,PIBA,L,14.732000000000001,NA,NA
ML,4E,505,PIBA,L,19.304000000000002,NA,NA
ML,4E,506,PIBA,L,13.208,NA,NA
ML,4E,507,PIBA,L,12.7,NA,NA
ML,4E,508,PIBA,L,6.096,NA,NA
ML,4E,510,PIBA,L,15.494000000000002,NA,NA
ML,4F,511,PIBA,L,11.684000000000001,NA,NA
ML,4H,512,PIBA,L,17.018,NA,NA
ML,4I,513,PIBA,L,19.304000000000002,NA,NA
ML,4I,514,PIBA,L,17.526,NA,NA
ML,4J,512,PIBA,L,13.97,NA,NA
ML,4J,516,PIBA,L,12.7,10.7,37
ML,5H,517,PIBA,L,19.558,NA,NA
ML,5G,518,PIBA,L,16.51,NA,NA
ML,5F,519,PIBA,L,20.32,NA,NA
ML,5E,520,PIBA,L,19.812,NA,NA
ML,5D,521,PIBA,L,9.906,NA,NA
ML,5D,522,PIBA,L,7.3660000000000005,NA,NA
ML,5D,523,PIBA,L,13.97,NA,NA
ML,5C,524,PIBA,L,12.192,NA,NA
ML,5C,525,PIBA,L,14.478,NA,NA
ML,5C,526,PIBA,L,12.446,NA,NA
ML,5A,527,PIBA,L,15.24,10.3,36
ML,5A,528,PIBA,L,13.97,NA,NA
ML,6A,529,PIBA,L,21.59,12.5,37
ML,6C,530,PIBA,L,19.812,NA,NA
ML,6C,531,PIBA,L,16.764,NA,NA
ML,6C,533,PIBA,L,8.128,NA,NA
ML,6C,532,PIBA,L,17.018,NA,NA
ML,6E,534,PIBA,L,13.462,NA,NA
ML,6I,535,PIBA,L,16.764,NA,NA
ML,6J,536,PIBA,L,12.7,NA,NA
ML,6J,539,PIBA,L,18.542,NA,NA
ML,6J,537,PIBA,L,15.24,NA,NA
ML,7J,540,PIBA,L,13.462,NA,NA
ML,7J,577,PIBA,L,7.112,NA,NA
ML,7I,509,PIBA,D,13.716,NA,NA
ML,7F,541,PIBA,L,17.018,9.6,32
ML,7D,542,PIBA,L,18.796000000000003,NA,NA
ML,7C,543,PIBA,L,14.224,NA,NA
ML,7C,544,PIBA,L,13.716,10.2,37
ML,7B,545,PIBA,L,17.272000000000002,NA,NA
ML,7A,546,PIBA,L,18.288,NA,NA
ML,8A,547,PIBA,L,12.954,NA,NA
ML,8B,548,PIBA,L,10.414000000000001,NA,NA
ML,8B,549,PIBA,L,13.462,NA,NA
ML,8B,550,PIBA,L,12.954,NA,NA
ML,8B,551,PIBA,L,18.034000000000002,NA,NA
ML,8B,552,PIBA,L,7.62,NA,NA
ML,8C,553,PIBA,L,13.716,NA,NA
ML,8E,554,PIBA,L,20.32,NA,NA
ML,8F,555,PIBA,L,23.875999999999998,NA,NA
ML,8G,556,PIBA,L,19.812,NA,NA
ML,8H,557,PIBA,L,17.018,NA,NA
ML,8I,558,PIBA,L,14.224,NA,NA
ML,8I,559,PIBA,L,14.478,NA,NA
ML,8J,560,PIBA,L,13.97,NA,NA
ML,9J,561,PIBA,L,14.478,NA,NA
ML,9J,562,POTR,L,7.112,NA,NA
ML,9I,564,POTR,L,4.3180000000000005,NA,NA
ML,9H,565,PIBA,L,16.51,NA,NA
ML,9G,566,PIBA,L,21.59,NA,NA
ML,9G,567,PIBA,L,9.652000000000001,NA,NA
ML,9F,568,PIBA,L,14.224,NA,NA
ML,9D,569,PIBA,L,21.336,NA,NA
ML,9B,570,PIBA,L,14.224,NA,NA
ML,9B,571,PIBA,L,12.192,NA,NA
ML,9A,572,PIBA,L,13.97,NA,NA
ML,9A,578,PIBA,L,8.89,NA,NA
ML,9A,573,PIBA,L,13.97,NA,NA
ML,9A,574,PIBA,L,8.89,NA,NA
ML,9A,584,PIBA,L,10.668,NA,NA
ML,9A,583,PIBA,L,11.43,NA,NA
ML,9A,582,PIBA,L,4.064,NA,NA
ML,9A,581,PIBA,L,6.35,NA,NA
ML,9A,580,PIBA,L,13.208,NA,NA
ML,9A,579,PIBA,L,7.62,NA,NA
ML,9A,576,PIBA,L,9.398000000000001,NA,NA
OI,0A,1433,PIBA,L,13.97,NA,NA
OI,0A,1434,PIBA,L,7.112,NA,NA
OI,0A,1432,PIBA,L,9.906,NA,NA
OI,0B,1431,PIBA,L,13.208,NA,NA
OI,0B,1430,PIBA,L,4.064,NA,NA
OI,0B,1429,PIBA,L,6.35,NA,NA
OI,0B,1428,PIBA,L,4.064,NA,NA
OI,0C,1427,PIBA,L,10.16,NA,NA
OI,0C,1425,PIBA,L,5.8420000000000005,NA,NA
OI,0C,1426,PIBA,L,13.716,NA,NA
OI,0C,1424,PIBA,L,5.8420000000000005,NA,NA
OI,0D,1423,PIBA,L,12.446,NA,NA
OI,0E,1418,PIBA,L,10.16,NA,NA
OI,0E,1419,PIBA,L,7.3660000000000005,8.4,33
OI,0E,1422,PIBA,L,3.048,NA,NA
OI,0E,1420,PIBA,L,9.652000000000001,NA,NA
OI,0E,1421,PIBA,L,7.3660000000000005,NA,NA
OI,0F,1415,PIBA,L,9.398000000000001,NA,NA
OI,0F,1416,PIBA,L,10.16,NA,NA
OI,0F,1414,PIBA,L,11.175999999999998,NA,NA
OI,0F,1417,PIBA,L,11.684000000000001,NA,NA
OI,0F,1413,PIBA,L,13.208,NA,NA
OI,0H,1410,PIBA,L,9.398000000000001,NA,NA
OI,0H,1409,PIBA,L,14.224,NA,NA
OI,0H,1411,PIBA,L,9.144,NA,NA
OI,0H,1412,PIBA,L,9.398000000000001,NA,NA
OI,0I,1407,PIBA,L,3.048,NA,NA
OI,0I,1408,PIBA,L,7.62,NA,NA
OI,0J,1406,PIBA,L,11.684000000000001,NA,NA
OI,0J,1405,PIBA,L,7.62,NA,NA
OI,1J,1438,PIBA,L,5.8420000000000005,NA,NA
OI,1J,1439,PIBA,L,11.684000000000001,NA,NA
OI,1J,1440,PIBA,L,5.334,NA,NA
OI,1I,1441,PIBA,L,6.35,NA,NA
OI,1I,1442,PIBA,L,10.16,NA,NA
OI,1I,1444,PIBA,L,14.478,NA,NA
OI,1I,1443,PIBA,L,11.43,NA,NA
OI,1H,1445,PIBA,L,9.144,8.6,34
OI,1H,1446,PIBA,L,6.604,NA,NA
OI,1H,1447,PIBA,L,10.922,NA,NA
OI,1G,1448,PIBA,L,8.89,NA,NA
OI,1G,1449,PIBA,L,9.652000000000001,NA,NA
OI,1F,1450,PIBA,L,12.7,NA,NA
OI,1F,1451,PIBA,L,8.636000000000001,NA,NA
OI,1F,1452,PIBA,L,8.89,NA,NA
OI,1E,1453,PIBA,L,7.112,NA,NA
