stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
3,0A,6,l,NA,NA,7.365996022,PIBA
3,0A,9,d,NA,NA,8.381995474,PIBA
3,0A,8,l,NA,NA,9.397994925,PIBA
3,0A,7,l,NA,NA,11.17599396,PIBA
3,0A,2,d,NA,NA,10.15999451,PIBA
3,0A,1,d,NA,NA,14.98599191,PIBA
3,0A,3,l,NA,NA,13.46199273,PIBA
3,0A,4,l,NA,NA,7.365996022,PIBA
3,0A,5,l,NA,NA,8.635995337,PIBA
3,0B,10,d,NA,NA,10.66799424,PIBA
3,0B,11,l,NA,NA,10.41399438,PIBA
3,0B,12,d,11.7,37,10.9219941,PIBA
3,0B,15,l,NA,NA,8.127995611,PIBA
3,0B,16,l,NA,NA,6.349996571,PIBA
3,0B,13,l,NA,NA,8.635995337,PIBA
3,0B,18,l,NA,NA,3.55599808,PIBA
3,0B,17,l,NA,NA,9.397994925,PIBA
3,0B,20,l,NA,NA,13.71599259,PIBA
3,0B,19,l,NA,NA,4.571997531,PIBA
3,0C,21,l,NA,NA,5.33399712,PIBA
3,0C,22,l,NA,NA,12.44599328,PIBA
3,0C,23,l,NA,NA,3.809997943,PIBA
3,0C,24,l,NA,NA,8.127995611,PIBA
3,0D,25,l,NA,NA,5.587996982,PIBA
3,0D,26,l,NA,NA,7.619995885,PIBA
3,0D,27,l,NA,NA,7.873995748,PIBA
3,0D,28,l,NA,NA,5.841996845,PIBA
3,0D,30,l,NA,NA,3.809997943,PIBA
3,0D,29,l,12.3,37,11.93799355,PIBA
3,0D,31,l,NA,NA,9.651994788,PIBA
3,0D,32,l,NA,NA,3.301998217,PIBA
3,0D,33,l,NA,NA,5.841996845,PIBA
3,0D,34,d,NA,NA,11.68399369,PIBA
3,0D,35,l,NA,NA,4.571997531,PIBA
3,0E,36,d,NA,NA,10.15999451,PIBA
3,0E,37,l,NA,NA,10.15999451,PIBA
3,0E,38,l,NA,NA,11.42999383,PIBA
3,0E,39,d,NA,NA,8.635995337,PIBA
3,0F,40,l,NA,NA,11.68399369,PIBA
3,0F,41,l,NA,NA,10.9219941,PIBA
3,0F,42,l,10.7,37,10.66799424,PIBA
3,0F,43,d,NA,NA,10.41399438,PIBA
3,0G,44,l,NA,NA,10.41399438,PIBA
