month,year,stand,quad,temp_C
6,1981,1,0A,10.555555555555555
8,1981,1,0A,14.444444444444445
9,1981,1,0A,9.444444444444445
11,1981,1,0A,5
5,1982,1,0A,3.888888888888889
6,1982,1,0A,8.88888888888889
7,1982,1,0A,18.88888888888889
8,1982,1,0A,13.333333333333334
9,1982,1,0A,12.777777777777779
10,1982,1,0A,3.888888888888889
5,1983,1,0A,3.888888888888889
6,1983,1,0A,10
7,1983,1,0A,15.555555555555555
8,1983,1,0A,18.88888888888889
9,1983,1,0A,7.777777777777778
10,1983,1,0A,9.444444444444445
5,1984,1,0A,3.888888888888889
6,1984,1,0A,11.666666666666666
7,1984,1,0A,14.444444444444445
8,1984,1,0A,20.555555555555557
9,1984,1,0A,12.777777777777779
10,1984,1,0A,5.555555555555555
5,1985,1,0A,2.7777777777777777
6,1985,1,0A,8.88888888888889
7,1985,1,0A,13.333333333333334
9,1985,1,0A,21.666666666666668
10,1985,1,0A,6.666666666666667
5,1986,1,0A,-0.5555555555555556
6,1986,1,0A,15.555555555555555
7,1986,1,0A,13.333333333333334
8,1986,1,0A,15.555555555555555
9,1986,1,0A,17.77777777777778
10,1986,1,0A,6.111111111111111
5,1987,1,0A,10.555555555555555
6,1987,1,0A,10.555555555555555
7,1987,1,0A,15.833333333333332
8,1987,1,0A,15.555555555555555
9,1987,1,0A,8.055555555555555
10,1987,1,0A,10.555555555555555
5,1988,1,0A,5
6,1988,1,0A,11.11111111111111
7,1988,1,0A,20
8,1988,1,0A,15
9,1988,1,0A,12.222222222222221
10,1988,1,0A,2.7777777777777777
5,1989,1,0A,6.111111111111111
6,1989,1,0A,6.666666666666667
7,1989,1,0A,15.555555555555555
8,1989,1,0A,17.77777777777778
9,1989,1,0A,8.88888888888889
10,1989,1,0A,10
5,1990,1,0A,2.7777777777777777
6,1990,1,0A,10
7,1990,1,0A,12.777777777777779
8,1990,1,0A,8.88888888888889
9,1990,1,0A,11.666666666666666
10,1990,1,0A,1.6666666666666667
8,1995,1,0A,13.88888888888889
8,2000,1,0A,16.11111111111111
8,2005,1,0A,15
8,2010,1,0A,16.666666666666668
6,1981,1,0C,10
8,1981,1,0C,14.444444444444445
9,1981,1,0C,8.88888888888889
11,1981,1,0C,5.555555555555555
5,1982,1,0C,3.3333333333333335
6,1982,1,0C,8.88888888888889
7,1982,1,0C,16.666666666666668
8,1982,1,0C,13.333333333333334
9,1982,1,0C,12.777777777777779
10,1982,1,0C,5
