sp.code.1982,sci.name.1980
PIBA,Pinus banksiana
PIGL,Picea glauca
PIMA,Picea mariana
POTR,Populus tremuloides
POBA,Populus balsamifera
BEPA,Betula papyrifera
LALA,Larix laricina
VAMY,Vaccinium myrtilloides
VAVI,Vaccinium vitis-idaea
ARUV,Arctostaphylos uva-ursi
ROAC,Rosa acicularis
PRPE,Prunus pensylvanica
AMAL,Amelanchier alnifolia
RUST,Rubus strigosus
LODI,Lonicera dioica
VIED,Viburnum edule
HUTO,Hudsonia tomentosa
SABE,Salix bebbiana
ALCR,Alnus crispa
LEGR,Ledum groenlandicum
SAPS,Salix pseudomonticola
SYAL,Symphoricarpos albus
BEPU,Betula pumila
SASC,Salix scouleriana
SHCA,Sheperdia canadensis
SASP,Salix sp.
VACA,Vaccinium caespitosum
SAMY,Salix myrtillifolia
MACA,Maianthemum canadense
ASLA,Aster laevis
ANMU,Anemone multifida
GABO,Galium boreale
MELI,Melampyrum lineare
LIBO,Linnaea borealis
CARO,Campanula rotundifolia
SODE,Solidago decumbens
VIAD,Viola adunca
APAN,Apocynum androsaemifolium
COPA,Comandra pallida
FRVI,Fragaria virginiana
POTRI,Potentilla tridentata
GELI,Geocaulon lividum
PYVI,Pyrola virens
HICA,Hieracium canadense
PYSE,Pyrola secunda
EPAN,Epilobium angustifolium
ARCA,Artemisia campestris
ARNU,Aralia nudicaulis
COCA,Cornus canadensis
LIPH,Lilium philadelphicum
ANPA,Anemone patens
TRBO,Trientalis borealis
VIRE,Viola renifolia
GORE,Goodyera repens
LAOC,Lathyrus ochroleucus
VIAM,Vicia americana
PEPA,Petasites palmatus
ASCI,Aster ciliolatus
ACMI,Achillea millefolium
ANRA,Antennaria racemosa
DRSP,Draba sp.
SESP,Senecio sp.
SESE,Senecio sp.
SECY,Senecio cymbalarioides
STLO,Stellaria longipes
RACE,Ranunculus sp.
MINT,Labiatae sp.
GEBI,Geranium bicknellii
ARLY,Arabis lyallii
CHEN,Chenopodium sp.
PELA,Pedicularis labradorica
AQFL,Aquilegia flavescens
GEAM,Gentianella amarella
RUAC,Rubus acaulis
PYAS,Pyrola asarifolia
MINU,Mitella nuda
ORPU,Oryzopsis pungens
ELIN,Elymus innovatus
CXRI,Carex richardsonii
CXFO,Carex foenea
ORAS,Oryzopsis asperifolia
AGSC,Agrostis scabra
BRCI,Bromus ciliatus
SCPU,Schizachne purpurascens
JUBA,Juncus balticus
ELGL,Elymus glaucus
CACA,Calamagrostis canadensis
CAIN,Calamagrostis inexpansa
FESA,Festuca saximontana
BRPU,Bromus pumpellianus
CXSP,Carex sp.
EQVA,Equisetum variegatum
LYTR,Lycopodium tristachyum
LYAN,Lycopodium annotinum
EQSY,Equisetum sylvaticum
EQSC,Equisetum scirpoides
SEDE,Selaginella densa
EQPR,Equisetum pratense
LYCL,Lycopodium clavatum
EQAR,Equisetum arvense
PRVI,Prunus virginiana
LOVI,Lonicera villosa
PEGR,Pedicularis groenlandica
EMNI,Empetrum nigrum
