stand,year,month,day,quad,TEMP
FY,1981,8,NA,0A,0
FY,1981,8,NA,0C,0
FY,1981,8,NA,0E,0
FY,1981,8,NA,0G,0
FY,1981,8,NA,0I,0
FY,1981,8,NA,2A,0
FY,1981,8,NA,2C,0
FY,1981,8,NA,2E,0
FY,1981,8,NA,2G,0
FY,1981,8,NA,2I,0
FY,1981,8,NA,4A,0
FY,1981,8,NA,4C,0
FY,1981,8,NA,4E,0
FY,1981,8,NA,4G,0
FY,1981,8,NA,4I,0
FY,1981,8,NA,6A,0
FY,1981,8,NA,6C,0
FY,1981,8,NA,6E,0
FY,1981,8,NA,6G,0
FY,1981,8,NA,6I,0
FY,1981,8,NA,8A,0
FY,1981,8,NA,8C,0
FY,1981,8,NA,8E,0
FY,1981,8,NA,8G,0
FY,1981,8,NA,8I,0
MD,1981,8,NA,0A,0
MD,1981,8,NA,0C,0
MD,1981,8,NA,0E,0
MD,1981,8,NA,0G,0
MD,1981,8,NA,0I,0
MD,1981,8,NA,2A,0
MD,1981,8,NA,2C,0
MD,1981,8,NA,2E,0
MD,1981,8,NA,2G,0
MD,1981,8,NA,2I,0
MD,1981,8,NA,4A,0
MD,1981,8,NA,4C,0
MD,1981,8,NA,4E,0
MD,1981,8,NA,4G,0
MD,1981,8,NA,4I,0
MD,1981,8,NA,6A,0
MD,1981,8,NA,6C,0
MD,1981,8,NA,6E,0
MD,1981,8,NA,6G,0
MD,1981,8,NA,6I,0
MD,1981,8,NA,8A,0
MD,1981,8,NA,8C,0
MD,1981,8,NA,8E,0
MD,1981,8,NA,8G,0
MD,1981,8,NA,8I,0
ML,1981,8,NA,0A,0
ML,1981,8,NA,0C,0
ML,1981,8,NA,0E,0
ML,1981,8,NA,0G,0
ML,1981,8,NA,0I,0
ML,1981,8,NA,2A,0
ML,1981,8,NA,2C,0
ML,1981,8,NA,2E,0
ML,1981,8,NA,2G,0
ML,1981,8,NA,2I,0
ML,1981,8,NA,4A,0
ML,1981,8,NA,4C,0
ML,1981,8,NA,4E,0
ML,1981,8,NA,4G,0
ML,1981,8,NA,4I,0
ML,1981,8,NA,6A,0
ML,1981,8,NA,6C,0
ML,1981,8,NA,6E,0
ML,1981,8,NA,6G,0
ML,1981,8,NA,6I,0
ML,1981,8,NA,8A,0
ML,1981,8,NA,8C,0
ML,1981,8,NA,8E,0
ML,1981,8,NA,8G,0
ML,1981,8,NA,8I,0
OI,1981,8,NA,0A,0
OI,1981,8,NA,0C,0
OI,1981,8,NA,0E,0
OI,1981,8,NA,0G,0
OI,1981,8,NA,0I,0
OI,1981,8,NA,2A,0
OI,1981,8,NA,2C,0
OI,1981,8,NA,2E,0
OI,1981,8,NA,2G,0
OI,1981,8,NA,2I,0
OI,1981,8,NA,4A,0
OI,1981,8,NA,4C,0
OI,1981,8,NA,4E,0
OI,1981,8,NA,4G,0
OI,1981,8,NA,4I,0
OI,1981,8,NA,6A,0
OI,1981,8,NA,6C,0
OI,1981,8,NA,6E,0
OI,1981,8,NA,6G,0
OI,1981,8,NA,6I,0
OI,1981,8,NA,8A,0
OI,1981,8,NA,8C,0
OI,1981,8,NA,8E,0
OI,1981,8,NA,8G,0
OI,1981,8,NA,8I,0
SJ,1981,8,NA,0A,0
SJ,1981,8,NA,0C,0
SJ,1981,8,NA,0E,0
SJ,1981,8,NA,0G,0
SJ,1981,8,NA,0I,0
SJ,1981,8,NA,2A,0
SJ,1981,8,NA,2C,0
SJ,1981,8,NA,2E,0
SJ,1981,8,NA,2G,0
SJ,1981,8,NA,2I,0
SJ,1981,8,NA,4A,0
SJ,1981,8,NA,4C,0
SJ,1981,8,NA,4E,0
SJ,1981,8,NA,4G,0
SJ,1981,8,NA,4I,0
SJ,1981,8,NA,6A,0
SJ,1981,8,NA,6C,0
SJ,1981,8,NA,6E,0
SJ,1981,8,NA,6G,0
SJ,1981,8,NA,6I,0
SJ,1981,8,NA,8A,0
SJ,1981,8,NA,8C,0
SJ,1981,8,NA,8E,0
SJ,1981,8,NA,8G,0
SJ,1981,8,NA,8I,0
RY,1981,8,NA,0A,0
RY,1981,8,NA,0C,0
RY,1981,8,NA,0E,0
RY,1981,8,NA,0G,0
RY,1981,8,NA,0I,0
RY,1981,8,NA,2A,0
RY,1981,8,NA,2C,0
RY,1981,8,NA,2E,0
RY,1981,8,NA,2G,0
RY,1981,8,NA,2I,0
RY,1981,8,NA,4A,0
RY,1981,8,NA,4C,0
RY,1981,8,NA,4E,0
RY,1981,8,NA,4G,0
