"","accepted_name","genus","kingdom","order","family","class","division","sp.code","correct.sp.code","species"
"1","Achillea millefolium","Achillea","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ACMI","ACMI","millefolium"
"2","Agrostis scabra","Agrostis","Plantae","Poales","Poaceae","Magnoliopsida","Tracheophyta","AGSC","AGSC","scabra"
"3","Alnus crispa","Alnus","Plantae","Fagales","Betulaceae","Magnoliopsida","Tracheophyta","ALCR","ALCR","crispa"
"4","Amelanchier alnifolia","Amelanchier","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","AMAL","AMAL","alnifolia"
"5","Anemone multifida","Anemone","Plantae","Ranunculales","Ranunculaceae","Magnoliopsida","Tracheophyta","ANMU","ANMU","multifida"
"6","Anemone patens","Anemone","Plantae","Ranunculales","Ranunculaceae","Magnoliopsida","Tracheophyta","ANPA","ANPA","patens"
"7","Antennaria racemosa","Antennaria","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ANRA","ANRA","racemosa"
"8","Apocynum androsaemifolium","Apocynum","Plantae","Gentianales","Apocynaceae","Magnoliopsida","Tracheophyta","APAN","APAN","androsaemifolium"
"9","Aquilegia flavescens","Aquilegia","Plantae","Ranunculales","Ranunculaceae","Magnoliopsida","Tracheophyta","AQFL","AQFL","flavescens"
"10","Boechera lyallii","Boechera","Plantae","Brassicales","Brassicaceae","Magnoliopsida","Tracheophyta","ARLY","BOLY","lyallii"
"11","Aralia nudicaulis","Aralia","Plantae","Apiales","Araliaceae","Magnoliopsida","Tracheophyta","ARNU","ARNU","nudicaulis"
"12","Arctostaphylos uva-ursi","Arctostaphylos","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","ARUV","ARUV","uva-ursi"
"13","Artemisia campestris","Artemisia","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ARCA","ARCA","campestris"
"14","Symphyotrichum ciliolatus","Symphyotrichum","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ASCI","SYCI","ciliolatus"
"15","Symphyotrichum laevis","Symphyotrichum","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ASLA","SYLA","laevis"
