stand,year,month
BH,1983,8_8
BP,1983,5_9
BP,1983,5_20
BP,1983,6_6
BP,1983,6_17
BP,1983,7_1
BP,1983,7_14
BP,1983,8_7
BP,1983,8_25
BP,1983,9_12
BP,1983,9_23
BP,1983,10_8
FD,1983,8_9
FS,1983,8_9
JS,1983,5_7
JS,1983,5_23
JS,1983,6_3
JS,1983,6_19
JS,1983,7_3
JS,1983,7_20
JS,1983,8_10
JS,1983,8_28
JS,1983,9_8
JS,1983,9_25
JS,1983,10_7
LF,1983,5_7
LF,1983,5_22
LF,1983,6_4
LF,1983,6_18
LF,1983,7_2
LF,1983,7_19
LF,1983,8_10
LF,1983,8_24
LF,1983,9_11
LF,1983,9_24
LF,1983,10_7
MD,1983,8_11
MF,1983,8_11
ML,1983,5_5
ML,1983,5_18
ML,1983,6_1
ML,1983,6_15
ML,1983,6_29
ML,1983,7_13
ML,1983,8_6
ML,1983,8_23
ML,1983,9_7
ML,1983,9_21
ML,1983,10_6
OP,1983,8_12
RL,1983,8_8
SA,1983,5_10
SA,1983,5_21
SA,1983,6_5
SA,1983,6_20
SA,1983,7_4
SA,1983,7_16
SA,1983,8_10
SA,1983,8_26
SA,1983,9_10
SA,1983,9_27
SA,1983,10_9
SJ,1983,8_6
TT,1983,8_7
WO,1983,5_12
WO,1983,5_25
WO,1983,6_7
WO,1983,6_22
WO,1983,7_6
WO,1983,7_18
WO,1983,8_11
WO,1983,8_30
WO,1983,9_14
WO,1983,9_26
WO,1983,10_13
WY,1983,5_12
WY,1983,5_24
WY,1983,6_8
WY,1983,6_21
WY,1983,7_5
WY,1983,7_17
WY,1983,8_11
WY,1983,8_29
WY,1983,9_13
WY,1983,9_26
WY,1983,10_13
OI,1983,5_6
OI,1983,5_19
OI,1983,6_2
OI,1983,6_16
OI,1983,6_30
OI,1983,7_15
OI,1983,8_12
OI,1983,8_24
OI,1983,9_9
OI,1983,9_22
OI,1983,10_6
BH,1984,5_14
BH,1984,8_7
BP,1984,5_5
BP,1984,8_5
FD,1984,5_7
FD,1984,8_3
FS,1984,5_7
FS,1984,8_3
JS,1984,5_13
JS,1984,8_15
LF,1984,5_12
LF,1984,8_15
MD,1984,5_10
MD,1984,8_14
MF,1984,5_10
MF,1984,8_14
ML,1984,5_3
ML,1984,8_2
OI,1984,5_13
OI,1984,8_7
OP,1984,5_17
OP,1984,8_9
RL,1984,5_14
RL,1984,8_16
SA,1984,5_6
SA,1984,8_11
SJ,1984,5_9
SJ,1984,8_6
TT,1984,5_4
TT,1984,8_4
WO,1984,5_8
WO,1984,8_10
WY,1984,5_8
WY,1984,8_10
FA,1984,5_7
FA,1984,8_3
FY,1984,5_7
FY,1984,8_3
