sci.codes.1981,sci.name.1981
PIBA,Pinus banksiana
PIGL,Picea glauca
PIMA,Picea mariana
POTR,Populus tremuloides
POBA,Populus balsamifera
BEPA,Betula papyrifera
LALA,Larix laricina
VAMY,Vaccinium myrtilloides
VAVI,Vaccinium vitis-idaea
ARUV,Arctostaphylos uva-ursi
ROAC,Rosa acicularis
PRPE,Prunus pensylvanica
AMAL,Amelanchier alnifolia
RUID,Rubus idaeus
LODI,Lonicera dioica
VIED,Viburnum edule
HUTO,Hudsonia tomentosa
SABE,Salix bebbiana
ALCR,Alnus crispa
LEGR,Ledum groenlandicum
SAPS,Salix pseudomonticola
SYAL,Symphoricarpos albus
BEPU,Betula pumila
SASC,Salix scouleriana
SHCA,Shepherdia canadensis
VACA,Salix sp.
SAMY,Vaccinium caespitosum
MACA,Salix myrtillifolia
ASLA,Maianthemum canadense
ANMU,Aster laevis
GABO,Anemone multifida
MELI,Galium boreale
LIBO,Melampyrum lineare
CARO,Linnaea borealis
SOSP,Campanula rotundifolia
VIAD,Solidago spathulata
APAN,Viola adunca
COUM,Apocynum androsaemifolium
FRVI,Comandra umbellata
GELI,Fragaria virginiana
PYCH,Potentilla tridentata
HIUM,Geocaulon lividum
ORSE,Pyrola chlorantha
EPAN,Hieracium umbellatum
ARCA,Orthilia secunda
ARNU,Epilobium angustifolium
COCA,Artemisia campestris
LIPH,Aralia nudicaulis
ANPA,Cornus canadensis
TRBO,Lilium philadelphicum
VIRE,Anemone patens
GORE,Trientalis borealis
LAOC,Viola renifolia
VIAM,Goodyera repens
PEPA,Lathyrus ochroleucus
ASCI,Vicia americana
ACMI,Petasites palmatus
ANRA,Aster ciliolatus
SEIN,Achillea millefolium
SEST,Antennaria racemosa
STLO,Draba sp.
RASP,Senecio integerrimus
DRPA,Senecio streptanthifolius
GEBI,Stellaria longipes
ARLY,Ranunculus sp.
CHEN,Dracocephalum parviflorum
AQFL,Geranium bicknellii
GEAM,Arabis lyallii
RUAR,Chenopodium sp.
PYAS,Aquilegia flavescens
MINU,Gentianella amarella
ORPU,Rubus arcticus
ELIN,Pyrola asarifolia
CXRI,Mitella nuda
CXSI,Oryzopsis pungens
ORAS,Elymus innovatus
AGSC,Carex richardsonii
BRCI,Carex siccata
SCPU,Oryzopsis asperifolia
JUBA,Agrostis scabra
ELGL,Bromus ciliatus
CACA,Schizachne purpurascens
CAIN,Juncus balticus
FESA,Elymus glaucus
BRIN,Calamagrostis canadensis
CXsp,Calamagrostis inexpansa
EQVA,Festuca saximontana
LYCO,Bromus inermis
LYAN,Carex sp.
EQSY,Equisetum variegatum
EQSC,Lycopodium complanatum
SEDE,Lycopodium annotinum
EQPR,Equisetum sylvaticum
LYCL,Equisetum scirpoides
EQAR,Selaginella densa
TEMP,Equisetum pratense
PRVI,Lycopodium clavatum
LOCA,Equisetum arvense
PEGR,Soil temperature 5-10 cm degrees F
EMNI,Prunus virginiana
LYOB,Lonicera villosa
RUPU,Pedicularis groenlandica
PHFR,Empetrum nigrum
SOTR,Coptis trifolia
CHUM,Lycopodium obscurum
PIBA,Rubus pubescens
PIGL,Stellaria longipes--duplicate
PIMA,Erigeron sp.
POTR,Phacelia franklinii
POBA,Solanum triflorum
BEPA,Chimaphila umbellata
