sci.codes.1980s,sci.names.1980s
PIBA,Pinus banksiana
PIGL,Picea glauca
PIMA,Picea mariana
POTR,Populus tremuloides
POBA,Populus balsamifera
BEPA,Betula papyrifera
LALA,Larix laricina
VAMY,Vaccinium myrtilloides
VAVI,Vaccinium vitis-idaea
ARUV,Arctostaphylos uva-ursi
ROAC,Rosa acicularis
PRPE,Prunus pensylvanica
AMAL,Amelanchier alnifolia
RUID,Rubus idaeus
LODI,Lonicera dioica
VIED,Viburnum edule
HUTO,Hudsonia tomentosa
SABE,Salix bebbiana
ALCR,Alnus crispa
LEGR,Ledum groenlandicum
SAPS,Salix pseudomonticola
SYAL,Symphoricarpos albus
BEPU,Betula pumila
SASC,Salix scouleriana
SHCA,Shepherdia canadensis
VACA,Vaccinium caespitosum
SAMY,Salix myrtillifolia
MACA,Maianthemum canadense
ASLA,Aster laevis
ANMU,Anemone multifida
GABO,Galium boreale
MELI,Melampyrum lineare
LIBO,Linnaea borealis
CARO,Campanula rotundifolia
SOSP,Solidago spathulata
VIAD,Viola adunca
APAN,Apocynum androsaemifolium
COUM,Comandra umbellata
FRVI,Fragaria virginiana
GELI,Geocaulon lividum
PYCH,Pyrola chlorantha
HIUM,Hieracium umbellatum
ORSE,Orthilia secunda
EPAN,Epilobium angustifolium
ARCA,Artemisia campestris
ARNU,Aralia nudicaulis
COCA,Cornus canadensis
LIPH,Lilium philadelphicum
ANPA,Anemone patens
TRBO,Trientalis borealis
VIRE,Viola renifolia
GORE,Goodyera repens
LAOC,Lathyrus ochroleucus
VIAM,Vicia americana
PEPA,Petasites palmatus
ASCI,Aster ciliolatus
ACMI,Achillea millefolium
ANRA,Antennaria racemosa
SEIN,Senecio integerrimus
SEST,Senecio streptanthifolius
STLO,Stellaria longipes
RASP,Ranunculus sp.
DRPA,Dracocephalum parviflorum
GEBI,Geranium bicknellii
ARLY,Arabis lyallii
CHEN,Chenopodium sp.
AQFL,Aquilegia flavescens
GEAM,Gentianella amarella
RUAR,Rubus arcticus
PYAS,Pyrola asarifolia
MINU,Mitella nuda
ORPU,Oryzopsis pungens
ELIN,Elymus innovatus
CXRI,Carex richardsonii
CXSI,Carex siccata
ORAS,Oryzopsis asperifolia
AGSC,Agrostis scabra
BRCI,Bromus ciliatus
SCPU,Schizachne purpurascens
JUBA,Juncus balticus
ELGL,Elymus glaucus
CACA,Calamagrostis canadensis
CAIN,Calamagrostis inexpansa
FESA,Festuca saximontana
BRIN,Bromus inermis
CXsp,Carex sp.
EQVA,Equisetum variegatum
LYCO,Lycopodium complanatum
LYAN,Lycopodium annotinum
EQSY,Equisetum sylvaticum
EQSC,Equisetum scirpoides
SEDE,Selaginella densa
EQPR,Equisetum pratense
LYCL,Lycopodium clavatum
EQAR,Equisetum arvense
TEMP,Soil temperature 5-10 cm degrees F
PRVI,Prunus virginiana
LOCA,Lonicera villosa
PEGR,Pedicularis groenlandica
EMNI,Empetrum nigrum
LYOB,Lycopodium obscurum
RUPU,Rubus pubescens
PHFR,Phacelia franklinii
SOTR,Solanum triflorum
CHUM,Chimaphila umbellata
SALSP,Salix sp.
POTRI,Potentilla tridentata
DRASP,Draba sp.
COTRI,Coptis trifolia
ERISP,Erigeron sp.
PIBA,Pinus banksiana
PIGL,Picea glauca
PIMA,Picea mariana
POTR,Populus tremuloides
POBA,Populus balsamifera
BEPA,Betula papyrifera
LALA,Larix laricina
VAMY,Vaccinium myrtilloides
VAVI,Vaccinium vitis-idaea
ARUV,Arctostaphylos uva-ursi
ROAC,Rosa acicularis
PRPE,Prunus pensylvanica
AMAL,Amelanchier alnifolia
RUST,Rubus strigosus
LODI,Lonicera dioica
VIED,Viburnum edule
HUTO,Hudsonia tomentosa
SABE,Salix bebbiana
ALCR,Alnus crispa
LEGR,Ledum groenlandicum
SAPS,Salix pseudomonticola
SYAL,Symphoricarpos albus
BEPU,Betula pumila
SASC,Salix scouleriana
SHCA,Sheperdia canadensis
SASP,Salix sp.
VACA,Vaccinium caespitosum
SAMY,Salix myrtillifolia
MACA,Maianthemum canadense
ASLA,Aster laevis
ANMU,Anemone multifida
GABO,Galium boreale
MELI,Melampyrum lineare
LIBO,Linnaea borealis
CARO,Campanula rotundifolia
SODE,Solidago decumbens
VIAD,Viola adunca
APAN,Apocynum androsaemifolium
COPA,Comandra pallida
FRVI,Fragaria virginiana
POTRI,Potentilla tridentata
GELI,Geocaulon lividum
PYVI,Pyrola virens
HICA,Hieracium canadense
PYSE,Pyrola secunda
EPAN,Epilobium angustifolium
ARCA,Artemisia campestris
ARNU,Aralia nudicaulis
COCA,Cornus canadensis
LIPH,Lilium philadelphicum
ANPA,Anemone patens
TRBO,Trientalis borealis
VIRE,Viola renifolia
GORE,Goodyera repens
LAOC,Lathyrus ochroleucus
VIAM,Vicia americana
PEPA,Petasites palmatus
ASCI,Aster ciliolatus
ACMI,Achillea millefolium
ANRA,Antennaria racemosa
DRSP,Draba sp.
SESP,Senecio sp.
SESE,Senecio sp.
SECY,Senecio cymbalarioides
STLO,Stellaria longipes
RACE,Ranunculus sp.
MINT,Labiatae sp.
GEBI,Geranium bicknellii
ARLY,Arabis lyallii
CHEN,Chenopodium sp.
PELA,Pedicularis labradorica
AQFL,Aquilegia flavescens
GEAM,Gentianella amarella
RUAC,Rubus acaulis
PYAS,Pyrola asarifolia
MINU,Mitella nuda
ORPU,Oryzopsis pungens
ELIN,Elymus innovatus
CXRI,Carex richardsonii
CXFO,Carex foenea
ORAS,Oryzopsis asperifolia
AGSC,Agrostis scabra
BRCI,Bromus ciliatus
SCPU,Schizachne purpurascens
JUBA,Juncus balticus
ELGL,Elymus glaucus
CACA,Calamagrostis canadensis
CAIN,Calamagrostis inexpansa
FESA,Festuca saximontana
BRPU,Bromus pumpellianus
CXSP,Carex sp.
EQVA,Equisetum variegatum
LYTR,Lycopodium tristachyum
LYAN,Lycopodium annotinum
EQSY,Equisetum sylvaticum
EQSC,Equisetum scirpoides
SEDE,Selaginella densa
EQPR,Equisetum pratense
LYCL,Lycopodium clavatum
EQAR,Equisetum arvense
TEMP,Soil temperature
PRVI,Prunus virginiana
LOVI,Lonicera villosa
PEGR,Pedicularis groenlandica
EMNI,Empetrum nigrum
