quad,stand,year,month,day,PIBA,PIGL,PIMA,POTR,POBA,BEPA,LALA,VAMY,VAVI,ARUV,ROAC,PRPE,AMAL,RUID,LODI,VIED,HUTO,SABE,ALCR,LEGR,SAPS,SYAL,BEPU,SASC,SHCA,SALSP,VACA,SAMY,MACA,ASLA,ANMU,GABO,MELI,LIBO,CARO,SOSP,VIAD,APAN,COUM,FRVI,POTRI,GELI,PYCH,HIUM,ORSE,EPAN,ARCA,ARNU,COCA,LIPH,ANPA,TRBO,VIRE,GORE,LAOC,VIAM,PEPA,ASCI,ACMI,ANRA,DRASP,SEIN,SEST,STLO,RASP,DRPA,GEBI,ARLY,CHEN,AQFL,GEAM,RUAR,PYAS,MINU,ORPU,ELIN,CXRI,CXSI,ORAS,AGSC,BRCI,SCPU,JUBA,ELGL,CACA,CAIN,FESA,BRIN,CXSP,EQVA,LYCO,LYAN,EQSY,EQSC,SEDE,EQPR,LYCL,EQAR,TEMP,PRVI,LOCA,PEGR,EMNI,COTRI,LYOB,RUPU,ERISP,PHFR,SOTR,CHUM
0A,BH,1983,8,8,15,0,0,0,0,0,0,5,6,5,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5,0.01,0.5,1,0.01,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,NA,NA,NA,NA
0C,BH,1983,8,8,12,0,0,0,0,0,0,6,5,3,0.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.1,0.01,0.01,3,0.01,0.1,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,NA,NA,NA,NA
0E,BH,1983,8,8,10,0,0,0,0,0,0,2,7,8,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0.01,0.1,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,NA,NA,NA,NA
0G,BH,1983,8,8,12,0,0,0,0,0,0,2,5,6,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0.01,0.1,2,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,NA,NA,NA,NA
0I,BH,1983,8,8,10,0,0,0,0,0,0,4,6,4,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0,0,1,0.01,0.01,0.01,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,NA,NA,NA,NA
2A,BH,1983,8,8,12,0,0,0,0,0,0,10,10,4,4,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0.01,1,2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,NA,NA,NA,NA
2C,BH,1983,8,8,17,0,0,0,0,0,0,15,15,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.01,0.1,0.1,3,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,NA,NA,NA,NA
2E,BH,1983,8,8,12,0,0,0,0,0,0,1,6,8,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.1,0.01,0.1,1,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,NA,NA,NA,NA
2G,BH,1983,8,8,6,0,0,0,0,0,0,0.5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0,0,2,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,NA,NA,NA,NA
2I,BH,1983,8,8,12,0,0,0,0,0,0,0.5,3,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.01,0,0,0.01,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,NA,NA,NA,NA
