species.code,species,0A,0C,0E,0G,0I,2A,2C,2E,2G,2I,4A,4C,4E,4G,4I,6A,6C,6E,6G,6I,8A,8C,8E,8G,8I,Comments
Cla-mit,CLAMIT,75,70,80,75,20,20,25,15,20,15,60,75,60,5,95,45,60,80,50,65,7,10,20,15,95,
Pel-mal,PELMAL,2,0.5,0.5,2,1,2,1,1,1,0.5,2,4,2,2,1,0.5,1,1,1,1,,,0.5,1,1,
Pol-jun,POLJUN,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,
Cladonia spp,CLASPP,0.5,0.5,1,1,1,0.5,1,,0.5,,1,2,,0.5,5,0.5,0.5,1,0.5,0.5,0.5,1,,,1,
Cetr-eric,CETERI,0.5,0.5,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,
Ster-alp,STEALP,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
Pel-aph,PELAPH,,,0.5,,0.5,,,,,,,,0.5,,,,0.5,,,,1,,,2,,
Cladon-une,CLAUNC,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,
Ple-sch,PLESCH,,,1,,1,,7,10,8,10,0.5,,2,,,0.5,0.5,,0.5,,30,2,4,2,1,
Clad-stel,CLASTE,,,,0.5,0.5,,,0.5,,0.5,,,,,,,,1,,,0.5,,,,,
Pol-pil,POLPIL,,,,1,,,,,,,1,0.5,,,,,,,,,,,,,,
Pti-cri,PTICC,,,,,1,,,,,0.5,,,0.5,,,,,,,,0.5,2,2,1,,
Hyl-spl,HYLSPL,,,,,0.5,,0.5,1,0.5,2,,,,,,,,,,,0.5,1,,0.5,,
Dic-pol,DICPOL,,,,,0.5,,0.5,,0.5,0.5,,,,,,,,1,,,0.5,,0.5,,0.5,
Cla-coc,CLACOC,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,
Pti-cil,PTICIL,,,,,,,,,,,,,,,,,,1,,,,0.5,,,,
Pel-can,PELCAN,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
