repaired_name_1980,sp_name_1980,accepted_name,species,notes,kingdom,class,order,family,genus,code,division,unified_code
Amblystegium juratzkanum,Amblystegium juratzkanum,Amblystegium serpens,serpens,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Amblystegium,AMBJUR,Bryophyta,AMBSER
Aulacomnium palustre,Aulacomnium palustre,Aulacomnium palustre,palustre,NA,Plantae,Bryopsida,Aulacomniales,Aulacomniaceae,Aulacomnium,AULPAL,Bryophyta,AULPAL
Bacidia sphaeroides,Bacidia sphaeroides,Biatora sphaeroides,sphaeroides,NA,Fungi,Lecanoromycetes,Lecanorales,Ramalinaceae,Biatora,BACSPH,Ascomycota,BACSPH
Brachythecium,Brachythecium pseudotriquetrum,Bryum pseudotriquetrum,pseudotriquetrum,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,BRAPSE,Bryophyta,BRYPSE
Brachythecium salebrosum,Brachythecium salebrosum,Brachythecium salebrosum,salebrosum,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,BRASAL,Bryophyta,BRASAL
Bryum pseudotriquetrum,Bryum pseudotriquetum,Bryum pseudotriquetrum,pseudotriquetrum,NA,Plantae,Bryopsida,Bryales,Bryaceae,Bryum,BRYPSE,Bryophyta,BRYPSE
Campylium stellatum,Campylium stellatum,Campylium stellatum,stellatum,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Campylium,CAMSTE,Bryophyta,CAMSTE
Cephalozia lunulifolia,Cephalozia lunifolia,Cephalozia lunulifolia,lunulifolia,NA,Plantae,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Cephalozia,CEPLUN,Marchantiophyta,CEPLUN
Ceratodon purpureus,Ceratodon purpureus,Ceratodon purpureus,purpureus,NA,Plantae,Bryopsida,Dicranales,Ditrichaceae,Ceratodon,CERPUR,Bryophyta,CERPUR
Cetraria ericetorum,Cetraria ericetorum,Cetraria ericetorum,ericetorum,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,CETERI,Ascomycota,CETERI
Cetraria nivalis,Cetraria nivalis,Cetraria nivalis,nivalis,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,CETNIV,Ascomycota,CETNIV
Cladonia,Cladonia,Cladonia,NA,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASP,Ascomycota,CLASP
Cladonia,Cladonia,Cladonia,NA,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASPP,Ascomycota,CLASP
Cladonia cenotea,Cladonia cenotea,Cladonia cenotea,cenotea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACEN,Ascomycota,CLACEN
Cladonia chlorophaea,Cladonia chlorophaea,Cladonia chlorophaea,chlorophaea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACHL,Ascomycota,CLACHL
Cladonia coccifera,Cladonia coccifara,Cladonia coccifera,coccifera,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACOC,Ascomycota,CLACOC
Cladonia coniocraea,Cladonia coniocraea,Cladonia coniocraea,coniocraea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACON,Ascomycota,CLACON
Cladonia cornuta,Cladonia cornuta,Cladonia cornuta,cornuta,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACOR,Ascomycota,CLACOR
Cladonia crispata,Cladonia crispata,Cladonia crispata,crispata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACRP,Ascomycota,CLACRP
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,Mis-spelled? Makes the most sense… the T could have been easily misread as I,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACRI,Ascomycota,CLACRT
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACRT,Ascomycota,CLACRT
Cladonia fimbriata,Cladonia fimbriata,Cladonia fimbriata,fimbriata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAFIM,Ascomycota,CLAFIM
Cladonia furcata,Cladonia furcata,Cladonia furcata,furcata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAFUR,Ascomycota,CLAFUR
Cladonia gracilis,Cladonia gracilis,Cladonia gracilis,gracilis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAGRA,Ascomycota,CLAGRA
Cladina mitis,Cladina mitis,Cladonia mitis,mitis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAMIT,Ascomycota,CLAMIT
Cladonia multiformis,Cladonia multiformis,Cladonia multiformis,multiformis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAMUL,Ascomycota,CLAMUL
Cladonia capitata,Cladonia capitata,Cladonia peziziformis,peziziformis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACAP,Ascomycota,CLACAP
Cladonia phyllophora,Cladonia phyllophora,Cladonia phyllophora,phyllophora,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAPHY,Ascomycota,CLAPHY
Cladonia pyxidata,Cladonia pyxidata,Cladonia pyxidata,pyxidata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAPYX,Ascomycota,CLAPYX
Cladina rangiferina,Cladina rangiferina,Cladonia rangiferina,rangiferina,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLARAN,Ascomycota,CLARAN
Cladonia scabriuscula,Cladonia scabriusculata,Cladonia scabriuscula,scabriuscula,Misspelling?,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASEA,Ascomycota,CLASCA
Cladina stellaris,Cladina stellaris,Cladonia stellaris,stellaris,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASTE,Ascomycota,CLASTE
Cladonia subulata,Cladonia subulata,Cladonia subulata,subulata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASUB,Ascomycota,CLASUB
Cladonia gonecha,Cladonia gonecha,Cladonia sulphurina,sulphurina,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAGON,Ascomycota,CLAGON
Cladonia uncialis,Cladonia unciais,Cladonia uncialis,uncialis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAUNC,Ascomycota,CLAUNC
Cladonia verticillata,Cladonia verticillata,Cladonia verticillata,verticillata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAVER,Ascomycota,CLAVER
Dicranum,Dicranum,Dicranum,NA,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICSP,Bryophyta,DICSP
Orthodicranum,Orthodicranum,Dicranum,NA,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,ORTH,Bryophyta,DICSP
Orthodicranum flagellare,Orthodicranum flagillare,Dicranum flagellare,flagellare,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,ORTFLA,Bryophyta,DICFLA
Dicranum fuscescens,Dicranum fuscescens,Dicranum fuscescens,fuscescens,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICFUS,Bryophyta,DICFUS
Dicranum polysetum,Dicranum polysetum,Dicranum polysetum,polysetum,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICPOL,Bryophyta,DICPOL
Dicranum scoparium,Dicranum scoperium,Dicranum scoparium,scoparium,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICSCO,Bryophyta,DICSCO
Dicranum undulatum,Dicranum undulatum,Dicranum undulatum,undulatum,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICUND,Bryophyta,DICUND
Drepanocladus uncinatus,Drepanocladus uncinatus,Drepanocladus uncinatus,uncinatus,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus,DREUNC,Bryophyta,DREUNC
Helodium blandowii,Helodium blandowii,Elodium blandowii,blandowii,NA,Plantae,Bryopsida,Hypnales,Helodiaceae,Elodium,HELBLA,Bryophyta,ELOBLA
Eurhynchium,Eurhynchium,Eurhynchium,NA,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURSP,Bryophyta,EURSP
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,Mis-spelled?,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURPUI,Bryophyta,EURPUL
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURPUL,Bryophyta,EURPUL
Hylocomium splendens,Hylocomium splendens,Hylocomium splendens,splendens,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium,HYLSPL,Bryophyta,HYLSPL
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,NA,Fungi,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila,ICMERI,Ascomycota,ICMERI
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,NA,Fungi,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila,IMAERI,Ascomycota,ICMERI
Leptogium saturninum,Leptogium saturninum,Leptogium saturninum,saturninum,NA,Fungi,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,LEPSAT,Ascomycota,LEPSAT
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEP002,Marchantiophyta,MARSP2
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEP003,Marchantiophyta,MARSP3
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEPSP,Marchantiophyta,MARSP1
Mnium,Mnium,Mnium,NA,NA,Plantae,Bryopsida,Bryales,Mniaceae,Mnium,MNISP,Bryophyta,MNISP
Mnium cuspidatum,Mnium cuspidatum,Mnium cuspidatum,cuspidatum,NA,Plantae,Bryopsida,Bryales,Mniaceae,Mnium,MNICUS,Bryophyta,MNICUS
Orthotrichum speciosum,Orthotrichum speciosum,Orthotrichum speciosum,speciosum,NA,Plantae,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,ORTSPE,Bryophyta,ORTSPE
Parmelia sulcata,Parmelia sulcata,Parmelia sulcata,sulcata,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,PARSUL,Ascomycota,PARSUL
Peltigera,Peltigera,Peltigera,NA,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELSP,Ascomycota,PELSP
Peltigera aphthosa,Peltigera aphthosa,Peltigera aphthosa,aphthosa,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELAPH,Ascomycota,PELAPH
Peltigera canina,Peltigera canina,Peltigera canina,canina,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELCAN,Ascomycota,PELCAN
Peltigera horizontalis,Peltigera horizontalis,Peltigera horizontalis,horizontalis,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELHOR,Ascomycota,PELHOR
Peltigera malacea,Peltigera malacea,Peltigera malacea,malacea,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELMAL,Ascomycota,PELMAL
Peltigera polydactylon,Peltigera polydactylon,Peltigera polydactylon,polydactylon,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELPOL,Ascomycota,PELPOL
Peltigera pulverulenta,Peltigera pulverulenta,Peltigera pulverulenta,pulverulenta,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELPUL,Ascomycota,PELPUL
Peltigera rufescens,Peltigera rufescens,Peltigera rufescens,rufescens,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELRUF,Ascomycota,PELRUF
Plagiomnium cuspidatum,Plagiomnium cuspidatum,Plagiomnium cuspidatum,cuspidatum,NA,Plantae,Bryopsida,Bryales,Mniaceae,Plagiomnium,PLACUS,Bryophyta,PLACUS
Platismatia glauca,Platismatia glauca,Platismatia glauca,glauca,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Platismatia,PLAGLA,Ascomycota,PLAGLA
Pleurozium schreberi,Pleurozium schreberi,Pleurozium schreberi,schreberi,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Pleurozium,PLESCH,Bryophyta,PLESCH
Pohlia nutans,Pohlia nutans,Pohlia nutans,nutans,NA,Plantae,Bryopsida,Bryales,Mielichhoferiaceae,Pohlia,POHNUT,Bryophyta,POHNUT
Polytrichum juniperinum,Polytrichum juniperinum,Polytrichum juniperinum,juniperinum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLJUN,Bryophyta,POLJUN
Polytrichum piliferum,Polytrichum piliferum,Polytrichum piliferum,piliferum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLPIL,Bryophyta,POLPIL
Polytrichum strictum,Polytrichum strictum,Polytrichum strictum,strictum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLSTR,Bryophyta,POLSTR
Ptilidium,Ptilidium,Ptilidium,NA,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTISP,Marchantiophyta,PTISP
Ptilidium ciliare,Ptilidium ciliare,Ptilidium ciliare,ciliare,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTICIL,Marchantiophyta,PTICIL
