key,species,0A,0C,0E,0G,0I,2A,2C,2E,2G,2I,4A,4C,4E,4G,4I,6A,6C,6E,6G,6I,8A,8C,8E,8G,8I
1_1980_AUG08_25,PLESCH,0,0,0.5,0,50,15,1,2,0,25,0,1,25,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0
1_1980_AUG08_25,HYLSPL,0,0,0,0,0,0,0.5,0,0,0.5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,CLAMIT,80,4,20,70,3,50,30,4,85,30,20,40,15,70,60,80,90,70,60,90,95,25,85,60,65
1_1980_AUG08_25,PELMAL,0,0,1,4,0,0,2,1,0,1,2,3,1,1,2,1,0,1,0,0.5,0.5,2,0,0,0.5
1_1980_AUG08_25,POLJUN,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5
1_1980_AUG08_25,POLPIL,0.5,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0,1,0,0,0,0,0,2,0,1,0.5,1
1_1980_AUG08_25,STEALP,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
1_1980_AUG08_25,CLACOC,0.5,0.5,0.5,0,0,0,1,0.5,0,0,1,0.5,0.5,0,1,0.5,0.5,0,0,0,1,0,0.5,0,0.5
1_1980_AUG08_25,CLAUNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1_1980_AUG08_25,CLAPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,CLASP,0.5,1,2,0.5,0.5,1,1,2,1,1,3,2,3,0,2,2,2,1,1,1,1,0.5,2,1,1
1_1980_AUG08_25,VULPIN,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,DICPOL,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,PELAPH,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
1_1980_AUG08_25,PTICC,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,PELCAN,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,CETERI,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1980_AUG08_25,CLASTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
