key,species,0A,0C,0E,0G,0I,2A,2C,2E,2G,2I,4A,4C,4E,4G,4I,6A,6C,6E,6G,6I,8A,8C,8E,8G,8I
2_1980_AUG10_25,CLAMIT,75,70,80,75,20,20,25,15,20,15,60,75,60,5,95,45,60,80,50,65,7,10,20,15,95
2_1980_AUG10_25,PELMAL,2,0.5,0.5,2,1,2,1,1,1,0.5,2,4,2,2,1,0.5,1,1,1,1,0,0,0.5,1,1
2_1980_AUG10_25,POLJUN,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0
2_1980_AUG10_25,CLASP,0.5,0.5,1,1,1,0.5,1,0,0.5,0,1,2,0,0.5,5,0.5,0.5,1,0.5,0.5,0.5,1,0,0,1
2_1980_AUG10_25,CETERI,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1980_AUG10_25,STEALP,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1980_AUG10_25,PELAPH,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,2,0
2_1980_AUG10_25,CLAUNC,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1980_AUG10_25,PLESCH,0,0,1,0,1,0,7,10,8,10,0.5,0,2,0,0,0.5,0.5,0,0.5,0,30,2,4,2,1
2_1980_AUG10_25,CLASTE,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0
2_1980_AUG10_25,POLPIL,0,0,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1980_AUG10_25,PTICC,0,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,2,2,1,0
2_1980_AUG10_25,HYLSPL,0,0,0,0,0.5,0,0.5,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0.5,0
2_1980_AUG10_25,DICPOL,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0.5
2_1980_AUG10_25,CLACOC,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1980_AUG10_25,PTICIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0
2_1980_AUG10_25,PELCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
