sci_name_1980,repaired_name_1980,accepted_name,species,original_code,comments,unified_code,kingdom,division
Amblystegium juratzkanum,Amblystegium juratzkanum,Amblystegium serpens,serpens,AMBJUR,NA,AMBSER,Plantae,Bryophyta
Aulacomnium palustre,Aulacomnium palustre,Aulacomnium palustre,palustre,AULPAL,NA,AULPAL,Plantae,Bryophyta
Bacidia sphaeroides,Bacidia sphaeroides,Biatora sphaeroides,sphaeroides,BACSPH,NA,BACSPH,Fungi,Ascomycota
Brachythecium pseudotriquetrum,Brachythecium,Bryum pseudotriquetrum,pseudotriquetrum,BRAPSE,NA,BRYPSE,Plantae,Bryophyta
Brachythecium salebrosum,Brachythecium salebrosum,Brachythecium salebrosum,salebrosum,BRASAL,NA,BRASAL,Plantae,Bryophyta
Bryum pseudotriquetum,Bryum pseudotriquetrum,Bryum pseudotriquetrum,pseudotriquetrum,BRYPSE,NA,BRYPSE,Plantae,Bryophyta
Campylium stellatum,Campylium stellatum,Campylium stellatum,stellatum,CAMSTE,NA,CAMSTE,Plantae,Bryophyta
Cephalozia lunifolia,Cephalozia lunulifolia,Cephalozia lunulifolia,lunulifolia,CEPLUN,NA,CEPLUN,Plantae,Marchantiophyta
Ceratodon purpureus,Ceratodon purpureus,Ceratodon purpureus,purpureus,CERPUR,NA,CERPUR,Plantae,Bryophyta
Cetraria cucullata,,,,CETCUC,,CETCUC,Fungi,Ascomycota
Cetraria ericetorum,Cetraria ericetorum,Cetraria ericetorum,ericetorum,CETERI,NA,CETERI,Fungi,Ascomycota
Cetraria halei,,,,CETHAL,,CETHAL,Fungi,Ascomycota
Cetraria nivalis,Cetraria nivalis,Cetraria nivalis,nivalis,CETNIV,NA,CETNIV,Fungi,Ascomycota
Cladonia,Cladonia,Cladonia,NA,CLASP,NA,CLASP,Fungi,Ascomycota
Cladonia,Cladonia,Cladonia,NA,CLASPP,NA,CLASP,Fungi,Ascomycota
Cladonia cenotea,Cladonia cenotea,Cladonia cenotea,cenotea,CLACEN,NA,CLACEN,Fungi,Ascomycota
Cladonia chlorophaea,Cladonia chlorophaea,Cladonia chlorophaea,chlorophaea,CLACHL,NA,CLACHL,Fungi,Ascomycota
Cladonia coccifara,Cladonia coccifera,Cladonia coccifera,coccifera,CLACOC,NA,CLACOC,Fungi,Ascomycota
Cladonia coniocraea,Cladonia coniocraea,Cladonia coniocraea,coniocraea,CLACON,NA,CLACON,Fungi,Ascomycota
Cladonia cornuta,Cladonia cornuta,Cladonia cornuta,cornuta,CLACOR,NA,CLACOR,Fungi,Ascomycota
Cladonia crispata,Cladonia crispata,Cladonia crispata,crispata,CLACRP,NA,CLACRP,Fungi,Ascomycota
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,CLACRI,Mis-spelled? Makes the most sense… the T could have been easily misread as I,CLACRT,Fungi,Ascomycota
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,CLACRT,NA,CLACRT,Fungi,Ascomycota
Cladonia fimbriata,Cladonia fimbriata,Cladonia fimbriata,fimbriata,CLAFIM,NA,CLAFIM,Fungi,Ascomycota
Cladonia furcata,Cladonia furcata,Cladonia furcata,furcata,CLAFUR,NA,CLAFUR,Fungi,Ascomycota
Cladonia gracilis,Cladonia gracilis,Cladonia gracilis,gracilis,CLAGRA,NA,CLAGRA,Fungi,Ascomycota
Cladina mitis,Cladina mitis,Cladonia mitis,mitis,CLAMIT,NA,CLAMIT,Fungi,Ascomycota
Cladonia multiformis,Cladonia multiformis,Cladonia multiformis,multiformis,CLAMUL,NA,CLAMUL,Fungi,Ascomycota
Cladonia capitata,Cladonia capitata,Cladonia peziziformis,peziziformis,CLACAP,NA,CLACAP,Fungi,Ascomycota
Cladonia phyllophora,Cladonia phyllophora,Cladonia phyllophora,phyllophora,CLAPHY,NA,CLAPHY,Fungi,Ascomycota
Cladonia pyxidata,Cladonia pyxidata,Cladonia pyxidata,pyxidata,CLAPYX,NA,CLAPYX,Fungi,Ascomycota
Cladina rangiferina,Cladina rangiferina,Cladonia rangiferina,rangiferina,CLARAN,NA,CLARAN,Fungi,Ascomycota
Cladonia scabriusculata,Cladonia scabriuscula,Cladonia scabriuscula,scabriuscula,CLASEA,Misspelling?,CLASCA,Fungi,Ascomycota
Cladina stellaris,Cladina stellaris,Cladonia stellaris,stellaris,CLASTE,NA,CLASTE,Fungi,Ascomycota
Cladonia subulata,Cladonia subulata,Cladonia subulata,subulata,CLASUB,NA,CLASUB,Fungi,Ascomycota
Cladonia gonecha,Cladonia gonecha,Cladonia sulphurina,sulphurina,CLAGON,NA,CLAGON,Fungi,Ascomycota
Cladonia unciais,Cladonia uncialis,Cladonia uncialis,uncialis,CLAUNC,NA,CLAUNC,Fungi,Ascomycota
Cladonia verticillata,Cladonia verticillata,Cladonia verticillata,verticillata,CLAVER,NA,CLAVER,Fungi,Ascomycota
Dicranum,Dicranum,Dicranum,NA,DICSP,NA,DICSP,Plantae,Bryophyta
Orthodicranum,Orthodicranum,Dicranum,NA,ORTH,NA,DICSP,Plantae,Bryophyta
Orthodicranum flagillare,Orthodicranum flagellare,Dicranum flagellare,flagellare,ORTFLA,NA,DICFLA,Plantae,Bryophyta
Dicranum fuscescens,Dicranum fuscescens,Dicranum fuscescens,fuscescens,DICFUS,NA,DICFUS,Plantae,Bryophyta
Dicranum polysetum,Dicranum polysetum,Dicranum polysetum,polysetum,DICPOL,NA,DICPOL,Plantae,Bryophyta
Dicranum scoperium,Dicranum scoparium,Dicranum scoparium,scoparium,DICSCO,NA,DICSCO,Plantae,Bryophyta
Dicranum undulatum,Dicranum undulatum,Dicranum undulatum,undulatum,DICUND,NA,DICUND,Plantae,Bryophyta
Drepanocladus uncinatus,Drepanocladus uncinatus,Drepanocladus uncinatus,uncinatus,DREUNC,NA,DREUNC,Plantae,Bryophyta
Helodium blandowii,Helodium blandowii,Elodium blandowii,blandowii,HELBLA,NA,ELOBLA,Plantae,Bryophyta
Eurhynchium,Eurhynchium,Eurhynchium,NA,EURSP,NA,EURSP,Plantae,Bryophyta
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,EURPUI,Mis-spelled?,EURPUL,Plantae,Bryophyta
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,EURPUL,NA,EURPUL,Plantae,Bryophyta
Hylocomium splendens,Hylocomium splendens,Hylocomium splendens,splendens,HYLSPL,NA,HYLSPL,Plantae,Bryophyta
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,ICMERI,NA,ICMERI,Fungi,Ascomycota
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,IMAERI,NA,ICMERI,Fungi,Ascomycota
Leptogium saturninum,Leptogium saturninum,Leptogium saturninum,saturninum,LEPSAT,NA,LEPSAT,Fungi,Ascomycota
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEP002,Originally 'hepatic species',MARSP2,Plantae,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEP003,Originally 'hepatic species',MARSP3,Plantae,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEPSP,Originally 'hepatic species',MARSP1,Plantae,Marchantiophyta
Mnium,Mnium,Mnium,NA,MNISP,NA,MNISP,Plantae,Bryophyta
Mnium cuspidatum,Mnium cuspidatum,Mnium cuspidatum,cuspidatum,MNICUS,NA,MNICUS,Plantae,Bryophyta
Orthotrichum speciosum,Orthotrichum speciosum,Orthotrichum speciosum,speciosum,ORTSPE,NA,ORTSPE,Plantae,Bryophyta
Parmelia sulcata,Parmelia sulcata,Parmelia sulcata,sulcata,PARSUL,NA,PARSUL,Fungi,Ascomycota
Peltigera,Peltigera,Peltigera,NA,PELSP,NA,PELSP,Fungi,Ascomycota
Peltigera aphthosa,Peltigera aphthosa,Peltigera aphthosa,aphthosa,PELAPH,NA,PELAPH,Fungi,Ascomycota
Peltigera canina,Peltigera canina,Peltigera canina,canina,PELCAN,NA,PELCAN,Fungi,Ascomycota
Peltigera horizontalis,Peltigera horizontalis,Peltigera horizontalis,horizontalis,PELHOR,NA,PELHOR,Fungi,Ascomycota
Peltigera malacea,Peltigera malacea,Peltigera malacea,malacea,PELMAL,NA,PELMAL,Fungi,Ascomycota
Peltigera polydactylon,Peltigera polydactylon,Peltigera polydactylon,polydactylon,PELPOL,NA,PELPOL,Fungi,Ascomycota
Peltigera pulverulenta,Peltigera pulverulenta,Peltigera pulverulenta,pulverulenta,PELPUL,NA,PELPUL,Fungi,Ascomycota
Peltigera rufescens,Peltigera rufescens,Peltigera rufescens,rufescens,PELRUF,NA,PELRUF,Fungi,Ascomycota
Plagiomnium cuspidatum,Plagiomnium cuspidatum,Plagiomnium cuspidatum,cuspidatum,PLACUS,NA,PLACUS,Plantae,Bryophyta
Platismatia glauca,Platismatia glauca,Platismatia glauca,glauca,PLAGLA,NA,PLAGLA,Fungi,Ascomycota
Pleurozium schreberi,Pleurozium schreberi,Pleurozium schreberi,schreberi,PLESCH,NA,PLESCH,Plantae,Bryophyta
Pohlia nutans,Pohlia nutans,Pohlia nutans,nutans,POHNUT,NA,POHNUT,Plantae,Bryophyta
Polytrichum juniperinum,Polytrichum juniperinum,Polytrichum juniperinum,juniperinum,POLJUN,NA,POLJUN,Plantae,Bryophyta
Polytrichum piliferum,Polytrichum piliferum,Polytrichum piliferum,piliferum,POLPIL,NA,POLPIL,Plantae,Bryophyta
Polytrichum strictum,Polytrichum strictum,Polytrichum strictum,strictum,POLSTR,NA,POLSTR,Plantae,Bryophyta
Ptilidium,Ptilidium,Ptilidium,NA,PTISP,NA,PTISP,Plantae,Marchantiophyta
Ptilidium ciliare,Ptilidium ciliare,Ptilidium ciliare,ciliare,PTICIL,NA,PTICIL,Plantae,Marchantiophyta
Ptilidium crista-castrensis,Ptilidium crista-castrensis,Ptilidium crista-castrensis,crista-castrensis,PTICC,NA,PTICC,Plantae,Marchantiophyta
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,PITPUL,Mis-spelled?,PTIPUL,Plantae,Marchantiophyta
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,PTIPUL,NA,PTIPUL,Plantae,Marchantiophyta
Pylaisiella polyantha,Pylaisiella polyantha,Pylaisia polyantha,polyantha,PYLPOL,NA,PYLPOL,Plantae,Bryophyta
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,triquetrus,RHYTRI,NA,RHYTRI,Plantae,Bryophyta
Drepanocladus revolvens,Drepanocladus revolvens,Scorpidium revolvens,revolvens,DREREV,NA,SCOREV,Plantae,Bryophyta
Sphagnum angustifolium,Sphagnum angustifolium,Sphagnum angustifolium,angustifolium,SPHANG,NA,SPHANG,Plantae,Bryophyta
Sphagnum fuscum,Sphagnum fuscum,Sphagnum fuscum,fuscum,SPHFUS,NA,SPHFUS,Plantae,Bryophyta
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,SPHMEM,Mis-spelled?,SPHNEM,Plantae,Bryophyta
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,SPHNEM,NA,SPHNEM,Plantae,Bryophyta
Sphagnum russowii,Sphagnum russowii,Sphagnum russowii,russowii,SPHRUS,NA,SPHRUS,Plantae,Bryophyta
Sphagnum warnstorfii,Sphagnum warnstorfii,Sphagnum warnstorfii,warnstorfii,SPHWAR,NA,SPHWAR,Plantae,Bryophyta
Stereocaulon alpinum,Stereocaulon alpinum,Stereocaulon alpinum,alpinum,STEALP,NA,STEALP,Fungi,Ascomycota
Thuidium recognitum,Thuidium recognitum,Thuidium recognitum,recognitum,THUREC,NA,THUREC,Plantae,Bryophyta
Tomentypnum falcifolium,Tomentypnum falcifolium,Tomentypnum falcifolium,falcifolium,TOMFAL,NA,TOMFAL,Plantae,Bryophyta
Tomentypnum nitens,Tomentypnum nitens,Tomentypnum nitens,nitens,TOMNIT,NA,TOMNIT,Plantae,Bryophyta
Cetraria pinastri,Cetraria pinastri,Vulpicida pinastri,pinastri,CETPIN,NA,VULPIN,Fungi,Ascomycota
