original_code,strata,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code,kingdom,division
AMBJUR,,Amblystegium juratzkanum,Schimp.,,Amblystegium serpens,(Hedw.) Schimp.,NA,AMBSER,Plantae,Bryophyta
AULPAL,,Aulacomnium palustre,(Hedw.) Schwägr.,,Aulacomnium palustre,(Hedw.) Schwägr.,NA,AULPAL,Plantae,Bryophyta
BACSPH,,Bacidia sphaeroides,(Dicks.) Zahlbr.,,Biatora sphaeroides,(Dicks.) Hornem.,NA,BACSPH,Fungi,Ascomycota
BRAPSE,,Brachythecium,,,?,,NA,?,Plantae,Bryophyta
BRASAL,,Brachythecium salebrosum,(Hoffm. Ex F. Weber & D. Mohr) Schimp.,,Brachythecium salebrosum,(Hoffm. Ex F. Weber & D. Mohr) Schimp.,NA,BRASAL,Plantae,Bryophyta
BRYPSE,,Bryum pseudotriquetrum,,common green bryum moss,Ptychostomum pseudotriquetrum,,NA,PTYPSE,Plantae,Bryophyta
CAMSTE,,Campylium stellatum,,,Campylium stellatum,,NA,CAMSTE,Plantae,Bryophyta
CEPLUN,,Cephalozia lunulifolia,,,Cephalozia lunulifolia,,NA,CEPLUN,Plantae,Marchantiophyta
CERPUR,,Ceratodon purpureus,,,Ceratodon purpureus,,NA,CERPUR,Plantae,Bryophyta
CETCUC,,Cetraria cucullata,,,Cetraria cucullata,,only in AOS stands,CETCUC,Fungi,Ascomycota
CETERI,,Cetraria ericetorum,,,Cetraria ericetorum,,NA,CETERI,Fungi,Ascomycota
CETHAL,,Cetraria halei,,,Cetraria halei,,only in AOS stands,CETHAL,Fungi,Ascomycota
CETPIN,,Cetraria pinastri,,,Cetraria pinastri,,NA,CETPIN,Fungi,Ascomycota
CETNIV,,Cetraria nivalis,,,Cetraria nivalis,,NA,CETNIV,Fungi,Ascomycota
CLASP,,Cladonia,,,Cladonia,,NA,CLASP,Fungi,Ascomycota
CLASPP,,Cladonia,,,Cladonia,,NA,CLASP,Fungi,Ascomycota
CLACEN,,Cladonia cenotea,,,Cladonia cenotea,,NA,CLACEN,Fungi,Ascomycota
CLACHL,,Cladonia chlorophaea,,,Cladonia chlorophaea,,NA,CLACHL,Fungi,Ascomycota
CLACOC,,Cladonia coccifera,,,Cladonia coccifera,,NA,CLACOC,Fungi,Ascomycota
CLACON,,Cladonia coniocraea,,,Cladonia coniocraea,,NA,CLACON,Fungi,Ascomycota
CLACOR,,Cladonia cornuta,,,Cladonia cornuta,,NA,CLACOR,Fungi,Ascomycota
CLACRP,,Cladonia crispata,,,Cladonia crispata,,NA,CLACRP,Fungi,Ascomycota
CLACRI,,Cladonia cristatella,,,Cladonia cristatella,,Mis-spelled? Makes the most sense‚Ä¶ the T could have been easily misread as I,CLACRT,Fungi,Ascomycota
CLACRT,,Cladonia cristatella,,,Cladonia cristatella,,NA,CLACRT,Fungi,Ascomycota
CLAFIM,,Cladonia fimbriata,,,Cladonia fimbriata,,NA,CLAFIM,Fungi,Ascomycota
CLAFUR,,Cladonia furcata,,,Cladonia furcata,,NA,CLAFUR,Fungi,Ascomycota
CLAAMA,,Cladonia amaurocraea,,,Cladonia amaurocraea,,only in AOS stands,CLAAMA,Fungi,Ascomycota
CLAGRA,,Cladonia gracilis,,,Cladonia gracilis,,NA,CLAGRA,Fungi,Ascomycota
CLAMIT,,Cladina mitis,,,Cladonia mitis,,NA,CLAMIT,Fungi,Ascomycota
CLAMUL,,Cladonia multiformis,,,Cladonia multiformis,,NA,CLAMUL,Fungi,Ascomycota
CLACAP,,Cladonia capitata,,,Cladonia peziziformis,,NA,CLACAP,Fungi,Ascomycota
CLACAR,,Cladonia cariosa,,,Cladonia cariosa,,only in AOS stands,CLACAR,Fungi,Ascomycota
CLAPHY,,Cladonia phyllophora,,,Cladonia phyllophora,,NA,CLAPHY,Fungi,Ascomycota
CLAPYX,,Cladonia pyxidata,,,Cladonia pyxidata,,NA,CLAPYX,Fungi,Ascomycota
CLARAN,,Cladina rangiferina,,,Cladonia rangiferina,,NA,CLARAN,Fungi,Ascomycota
CLASEA,,Cladonia scabriuscula,,,Cladonia scabriuscula,,Misspelling?,CLASCA,Fungi,Ascomycota
CLASQU,,Cladonia squamosa,,,Cladonia squamosa,,only in AOS stands,CLASQU,Fungi,Ascomycota
CLASTE,,Cladina stellaris,,,Cladonia stellaris,,NA,CLASTE,Fungi,Ascomycota
CLASUB,,Cladonia subulata,,,Cladonia subulata,,NA,CLASUB,Fungi,Ascomycota
CLAGON,,Cladonia gonecha,,,Cladonia sulphurina,,NA,CLAGON,Fungi,Ascomycota
CLAUNC,,Cladonia uncialis,,,Cladonia uncialis,,NA,CLAUNC,Fungi,Ascomycota
CLAVER,,Cladonia verticillata,,,Cladonia verticillata,,NA,CLAVER,Fungi,Ascomycota
DICSP,,Dicranum,,,Dicranum,,NA,DICSP,Plantae,Bryophyta
ORTH,,Orthodicranum,,,Dicranum,,NA,DICSP,Plantae,Bryophyta
ORTFLA,,Orthodicranum flagellare,,,Dicranum flagellare,,NA,DICFLA,Plantae,Bryophyta
DICFUS,,Dicranum fuscescens,,,Dicranum fuscescens,,NA,DICFUS,Plantae,Bryophyta
DICPOL,,Dicranum polysetum,,,Dicranum polysetum,,NA,DICPOL,Plantae,Bryophyta
DICSCO,,Dicranum scoparium,,,Dicranum scoparium,,NA,DICSCO,Plantae,Bryophyta
DICUND,,Dicranum undulatum,,,Dicranum undulatum,,NA,DICUND,Plantae,Bryophyta
DISCAP,,Distichium capillaceum,,,Distichium capillaceum,,only in AOS stands,DISCAP,Plantae,Bryophyta
DITFLE,,Ditrichum flexicaule,,,Ditrichum flexicaule,,only in AOS stands,DITFLE,Plantae,Bryophyta
DREUNC,,Drepanocladus uncinatus,,,Drepanocladus uncinatus,,NA,DREUNC,Plantae,Bryophyta
HELBLA,,Helodium blandowii,,,Elodium blandowii,,NA,ELOBLA,Plantae,Bryophyta
EURSP,,Eurhynchium,,,Eurhynchium,,NA,EURSP,Plantae,Bryophyta
EURPUI,,Eurhynchium pulchellum,,,Eurhynchium pulchellum,,Mis-spelled?,EURPUL,Plantae,Bryophyta
EURPUL,,Eurhynchium pulchellum,,,Eurhynchium pulchellum,,NA,EURPUL,Plantae,Bryophyta
EVEMES,,Evernia mesomorpha,,,Evernia mesomorpha,,only in AOS stands,EVEMES,Fungi,Ascomycota
HYLSPL,,Hylocomium splendens,,,Hylocomium splendens,,NA,HYLSPL,Plantae,Bryophyta
HYPPHY,,Hypogymnia physodes,,,Hypogymnia physodes,,only in AOS stands,HYPPHY,Fungi,Ascomycota
ICMERI,,Icmadophila ericetorum,,,Icmadophila ericetorum,,NA,ICMERI,Fungi,Ascomycota
IMAERI,,Icmadophila ericetorum,,,Icmadophila ericetorum,,NA,ICMERI,Fungi,Ascomycota
LECGRA,,Lecidea granulosa,,,Lecidea granulosa,,only in AOS stands,LECGRA,Fungi,Ascomycota
LEPSAT,,Leptogium saturninum,,,Leptogium saturninum,,NA,LEPSAT,Fungi,Ascomycota
HEP002,,Marchantiophyta,,,Marchantiophyta,,Originally 'hepatic species',MARSP2,Plantae,Marchantiophyta
HEP003,,Marchantiophyta,,,Marchantiophyta,,Originally 'hepatic species',MARSP3,Plantae,Marchantiophyta
HEPSP,,Marchantiophyta,,,Marchantiophyta,,Originally 'hepatic species',MARSP1,Plantae,Marchantiophyta
MNISP,,Mnium,,,Mnium,,NA,MNISP,Plantae,Bryophyta
MNICUS,,Mnium cuspidatum,,,Mnium cuspidatum,,NA,MNICUS,Plantae,Bryophyta
ORTSPE,,Orthotrichum speciosum,,,Orthotrichum speciosum,,NA,ORTSPE,Plantae,Bryophyta
PARAMB,,Parmeliopsis ambigua,,,Parmeliopsis ambigua,,only in AOS stands,PARAMB,Fungi,Ascomycota
PARHYP,,Parmeliopsis hyperopta,,,Parmeliopsis hyperopta,,only in AOS stands,PARHYP,Fungi,Ascomycota
PARELE,,Parmelia elegantula,,,Parmelia elegantula,,only in AOS stands,PARELE,Fungi,Ascomycota
PARSUL,,Parmelia sulcata,,,Parmelia sulcata,,NA,PARSUL,Fungi,Ascomycota
PELSP,,Peltigera,,,Peltigera,,NA,PELSP,Fungi,Ascomycota
