key,species,0A,0C,0E,0G,0I,2A,2C,2E,2G,2I,4A,4C,4E,4G,4I,6A,6C,6E,6G,6I,8A,8C,8E,8G,8I
3_1980_AUG16_25,PLESCH,80,20,50,20,40,40,45,35,50,35,55,40,35,45,60,55,60,50,40,35,50,30,50,30,50
3_1980_AUG16_25,HYLSPL,0.5,5,0,10,25,8,5,10,8,10,10,10,10,3,5,2,5,5,1,8,10,10,10,10,5
3_1980_AUG16_25,PTICC,5,40,30,20,10,5,8,25,7,10,15,5,2,5,5,4,15,10,10,10,20,25,10,0,5
3_1980_AUG16_25,DICPOL,1,0,4,0.5,0.5,0.5,1,1,5,4,0,3,2,1,2,1,0.5,1,0.5,1,5,1,2,1,1
3_1980_AUG16_25,DICFUS,0,0.5,0,1,0,2,0,0,0,0,0,0,1,0.5,2,0,0.5,0.5,0.5,0,0,0,1,5,5
3_1980_AUG16_25,BRASAL,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0
3_1980_AUG16_25,POLJUN,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0
3_1980_AUG16_25,PTISP,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5
3_1980_AUG16_25,CLAMIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,0,0,0,0,0,1,1,1
3_1980_AUG16_25,PELAPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
3_1980_AUG16_25,PELCAN,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,1
3_1980_AUG16_25,CLASP,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
3_1980_AUG16_25,CLASTE,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
3_1980_AUG16_25,ICMERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
