stand,east_west,north_south,contour_value
1,0,A,10
1,1,A,9.43
1,2,A,9.23
1,3,A,8.08
1,4,A,7.07
1,5,A,7.54
1,6,A,8.54
1,7,A,9.06
1,8,A,10.24
1,9,A,11.15
1,10,A,12.16
1,0,B,9.14
1,1,B,9.4
1,2,B,9.16
1,3,B,7.91
1,4,B,6.56
1,5,B,7.08
1,6,B,8.04
1,7,B,8.65
1,8,B,9.83
1,9,B,11.06
1,10,B,12.16
1,0,C,8.24
1,1,C,9.31
1,2,C,9.01
1,3,C,7.22
1,4,C,5.48
1,5,C,6.21
1,6,C,6.86
1,7,C,6.99
1,8,C,8.24
1,9,C,10.07
1,10,C,11.68
1,0,D,7.56
1,1,D,8.39
1,2,D,7.42
1,3,D,5.91
1,4,D,4.64
1,5,D,5.02
1,6,D,5.91
1,7,D,6.41
1,8,D,7.61
1,9,D,9.84
1,10,D,11.46
1,0,E,7.06
1,1,E,7.15
1,2,E,6.22
1,3,E,6.27
1,4,E,4.15
1,5,E,4.59
1,6,E,5.59
1,7,E,6.15
1,8,E,7.36
1,9,E,9.79
1,10,E,11.44
1,0,F,6.41
1,1,F,7.23
1,2,F,6.06
1,3,F,6.47
1,4,F,4.61
1,5,F,4.59
1,6,F,5.4
1,7,F,6.3
1,8,F,7.39
1,9,F,9.68
1,10,F,11.1
1,0,G,6.19
1,1,G,7.17
1,2,G,6.36
1,3,G,7.11
1,4,G,5.35
1,5,G,5.46
1,6,G,5.91
1,7,G,6.65
1,8,G,7.48
1,9,G,9.7
1,10,G,10.81
1,0,H,6.86
1,1,H,7.56
1,2,H,7.15
1,3,H,7.79
1,4,H,6.1
1,5,H,6.35
1,6,H,6.36
1,7,H,6.31
1,8,H,7.71
1,9,H,9.9
1,10,H,10.64
1,0,I,7.85
1,1,I,8.66
1,2,I,7.73
1,3,I,8.86
1,4,I,7.06
1,5,I,7.16
1,6,I,7.03
1,7,I,6.76
1,8,I,8.13
1,9,I,10.23
1,10,I,10.72
1,0,J,8.69
1,1,J,9.52
1,2,J,8.83
1,3,J,9.77
1,4,J,7.91
1,5,J,8.02
1,6,J,7.64
1,7,J,7.46
1,8,J,8.72
1,9,J,10.59
1,10,J,11.02
1,0,K,9.94
1,1,K,10.82
1,2,K,9.82
1,3,K,10.78
1,4,K,8.96
1,5,K,8.94
1,6,K,8.34
1,7,K,7.74
1,8,K,8.91
1,9,K,10.75
1,10,K,10.6
3,0,A,10
3,1,A,10.03
3,2,A,8.76
3,3,A,7.41
3,4,A,7.65
3,5,A,7.37
3,6,A,8.22
3,7,A,9.39
3,8,A,10.53
3,9,A,10.76
3,10,A,10.58
3,0,B,9.6
3,1,B,8.24
3,2,B,7.25
3,3,B,7.18
3,4,B,7.52
3,5,B,7.46
3,6,B,8.22
3,7,B,9.53
3,8,B,10.4
3,9,B,10.47
3,10,B,10.76
3,0,C,8.8
3,1,C,7.28
3,2,C,6.57
3,3,C,7.32
3,4,C,7.64
3,5,C,7.61
3,6,C,8.53
3,7,C,9.58
3,8,C,9.87
3,9,C,10.96
3,10,C,11.88
3,0,D,8.59
3,1,D,7.63
3,2,D,6.97
3,3,D,7.66
3,4,D,8.2
3,5,D,8.06
3,6,D,8.95
3,7,D,10.09
3,8,D,10.97
3,9,D,12.38
3,10,D,13.04
3,0,E,8.97
3,1,E,7.89
3,2,E,7.81
3,3,E,8.71
3,4,E,8.91
3,5,E,8.85
3,6,E,9.64
3,7,E,10.95
3,8,E,12.48
3,9,E,13.48
3,10,E,14.4
3,0,F,9.61
3,1,F,8.9
3,2,F,8.9
3,3,F,9.86
3,4,F,9.88
3,5,F,10.34
3,6,F,10.71
3,7,F,11.95
3,8,F,13.29
3,9,F,14.99
3,10,F,15.13
3,0,G,9.8
3,1,G,9.59
3,2,G,9.63
3,3,G,11.39
3,4,G,11.03
3,5,G,11.42
3,6,G,12.16
3,7,G,13.2
3,8,G,14.27
3,9,G,15.84
3,10,G,17.23
3,0,H,10.23
3,1,H,9.87
3,2,H,10.38
3,3,H,11.21
3,4,H,12.26
3,5,H,12.86
3,6,H,13.23
3,7,H,14.38
3,8,H,15.08
3,9,H,16.81
3,10,H,18.42
3,0,I,10.63
3,1,I,10.52
3,2,I,11.04
3,3,I,11.84
3,4,I,13.52
3,5,I,14.31
3,6,I,15.98
3,7,I,15.63
3,8,I,16.2
3,9,I,17.94
3,10,I,19.67
3,0,J,10.76
3,1,J,11.37
3,2,J,11.93
3,3,J,13.03
3,4,J,15.08
3,5,J,15.56
3,6,J,17.06
3,7,J,17.25
3,8,J,17.13
3,9,J,18.99
3,10,J,20.18
3,0,K,11.29
3,1,K,11.99
3,2,K,13.23
3,3,K,14.7
3,4,K,15.96
3,5,K,16.9
3,6,K,17.54
3,7,K,18
3,8,K,19.08
3,9,K,19.92
3,10,K,21.08
4,0,A,10
4,1,A,10.51
4,2,A,10.39
4,3,A,9.53
4,4,A,9.48
4,5,A,9.4
4,6,A,9.71
4,7,A,9.4
4,8,A,8.45
4,9,A,8.63
4,10,A,8.27
4,0,B,9.79
4,1,B,10.29
4,2,B,9.4
4,3,B,8.86
4,4,B,8.52
4,5,B,8.44
4,6,B,8.12
4,7,B,7.25
4,8,B,6.36
4,9,B,6.12
4,10,B,6
4,0,C,9.63
4,1,C,9.71
