stand,corner,elevation_ft,lat,long
1,NE,1947,55.22888888888889,-114.28583333333333
1,SE,1965,55.21944444444445,-114.28583333333333
1,SW,1952,55.222500000000004,-114.3
1,NW,1914,55.22138888888889,-114.29916666666666
1,Means,1945,55.22305555555556,-114.29277777777777
2,NE,1967,55.10333333333334,-114.3736111111111
2,SE,1967,55.09444444444445,-114.37277777777777
2,SW,1970,55.09305555555556,-114.12583333333333
2,NW,2010,55.102222222222224,-114.12444444444444
2,Means,1968,55.098333333333336,-114.11861111111111
3,NE,1867,55.31,-114.29527777777778
3,SE,2060,55.29972222222222,-114.29305555555557
3,SW,1968,55.32805555555556,-114.31
3,NW,1934,55.31305555555556,-114.30583333333334
3,Means,1957,55.31277777777778,-114.30111111111111
4,NE,2000,55.349444444444444,-114.29277777777779
4,SE,1955,55.34305555555556,-114.28083333333333
4,SW,2031,55.3425,-114.29388888888889
4,NW,2000,55.349444444444444,-114.29277777777779
4,Means,1997,55.346111111111114,-114.31777777777778
5,NE,2100,55.29972222222222,-114.36611111111111
5,SE,2017,55.291666666666664,-114.36833333333333
5,SW,1933,55.29111111111111,-114.37944444444445
5,NW,2123,55.29888888888889,-114.37944444444445
5,Means,2083,55.29527777777778,-114.37333333333333
6,NE,2108,55.31972222222222,-114.4011111111111
6,SE,2066,55.31666666666666,-114.39916666666666
6,SW,2103,55.31111111111111,-114.4161111111111
6,NW,2108,55.31833333333333,-114.41361111111111
6,Means,2097,55.31638888888889,-114.4075
7,NE,2014,55.18972222222222,-114.1036111111111
7,SE,1994,55.181666666666665,-114.10388888888889
7,SW,1991,55.18277777777777,-114.11805555555556
7,NW,2011,55.19,-114.11777777777777
7,Means,2003,55.18611111111111,-114.11083333333333
8,NE,2051,55.244166666666665,-114.30555555555556
8,SE,1942,55.23638888888889,-114.27833333333334
8,SW,2073,55.237500000000004,-114.29027777777779
8,NW,1921,55.243611111111115,-114.29111111111112
8,Means,1997,55.24055555555556,-114.29138888888889
