component,date,biomass_g_per_m2,stand,trap_number
alder_leaves,1983-06-07,0.1,1,1
aspen_leaves,1983-06-07,0,1,1
female_cones,1983-06-07,0,1,1
fir_needles,1983-06-07,0,1,1
male_cones,1983-06-07,0.08,1,1
pine_needles,1983-06-07,5.53,1,1
spruce_needles,1983-06-07,0,1,1
structural,1983-06-07,0.22,1,1
total_litter,1983-06-07,5.93,1,1
alder_leaves,1983-06-07,0.52,1,2
aspen_leaves,1983-06-07,0,1,2
female_cones,1983-06-07,0,1,2
fir_needles,1983-06-07,0,1,2
male_cones,1983-06-07,0.08,1,2
pine_needles,1983-06-07,10.08,1,2
spruce_needles,1983-06-07,0,1,2
structural,1983-06-07,1.12,1,2
total_litter,1983-06-07,11.8,1,2
alder_leaves,1983-06-07,0.16,1,3
aspen_leaves,1983-06-07,0,1,3
female_cones,1983-06-07,0,1,3
fir_needles,1983-06-07,0,1,3
male_cones,1983-06-07,0.04,1,3
pine_needles,1983-06-07,7.08,1,3
spruce_needles,1983-06-07,0,1,3
structural,1983-06-07,0.2,1,3
total_litter,1983-06-07,7.48,1,3
alder_leaves,1983-06-07,0,1,4
aspen_leaves,1983-06-07,0,1,4
female_cones,1983-06-07,0,1,4
fir_needles,1983-06-07,0,1,4
male_cones,1983-06-07,0.12,1,4
pine_needles,1983-06-07,4.08,1,4
spruce_needles,1983-06-07,0,1,4
structural,1983-06-07,0.08,1,4
total_litter,1983-06-07,4.28,1,4
alder_leaves,1983-06-07,0.32,1,5
aspen_leaves,1983-06-07,0,1,5
female_cones,1983-06-07,0,1,5
fir_needles,1983-06-07,0,1,5
male_cones,1983-06-07,0.12,1,5
pine_needles,1983-06-07,1.88,1,5
spruce_needles,1983-06-07,0,1,5
structural,1983-06-07,0.04,1,5
total_litter,1983-06-07,2.36,1,5
alder_leaves,1983-06-07,0,1,6
aspen_leaves,1983-06-07,0,1,6
female_cones,1983-06-07,0,1,6
fir_needles,1983-06-07,0,1,6
male_cones,1983-06-07,0.12,1,6
pine_needles,1983-06-07,1.48,1,6
spruce_needles,1983-06-07,0,1,6
structural,1983-06-07,0.12,1,6
total_litter,1983-06-07,1.72,1,6
alder_leaves,1983-06-07,0,1,7
aspen_leaves,1983-06-07,0,1,7
female_cones,1983-06-07,0,1,7
fir_needles,1983-06-07,0,1,7
male_cones,1983-06-07,0.08,1,7
pine_needles,1983-06-07,9.04,1,7
spruce_needles,1983-06-07,0,1,7
structural,1983-06-07,0.08,1,7
total_litter,1983-06-07,9.2,1,7
alder_leaves,1983-06-07,0,1,8
aspen_leaves,1983-06-07,0,1,8
female_cones,1983-06-07,0,1,8
fir_needles,1983-06-07,0,1,8
male_cones,1983-06-07,0.16,1,8
pine_needles,1983-06-07,6.32,1,8
spruce_needles,1983-06-07,0,1,8
structural,1983-06-07,0.24,1,8
total_litter,1983-06-07,6.72,1,8
alder_leaves,1983-06-07,0,1,9
aspen_leaves,1983-06-07,0,1,9
female_cones,1983-06-07,0,1,9
fir_needles,1983-06-07,0,1,9
male_cones,1983-06-07,0,1,9
pine_needles,1983-06-07,7.52,1,9
spruce_needles,1983-06-07,0,1,9
structural,1983-06-07,0,1,9
total_litter,1983-06-07,7.52,1,9
alder_leaves,1983-06-07,0,1,10
aspen_leaves,1983-06-07,0,1,10
female_cones,1983-06-07,0,1,10
fir_needles,1983-06-07,0,1,10
male_cones,1983-06-07,0.08,1,10
pine_needles,1983-06-07,7.8,1,10
spruce_needles,1983-06-07,0,1,10
structural,1983-06-07,0.28,1,10
total_litter,1983-06-07,8.16,1,10
alder_leaves,1983-07-02,0,1,1
aspen_leaves,1983-07-02,0,1,1
female_cones,1983-07-02,0,1,1
fir_needles,1983-07-02,0,1,1
male_cones,1983-07-02,0.44,1,1
pine_needles,1983-07-02,5.6,1,1
spruce_needles,1983-07-02,0,1,1
structural,1983-07-02,0,1,1
total_litter,1983-07-02,6.04,1,1
alder_leaves,1983-07-02,0.44,1,2
aspen_leaves,1983-07-02,0,1,2
female_cones,1983-07-02,0,1,2
fir_needles,1983-07-02,0,1,2
male_cones,1983-07-02,7.4,1,2
pine_needles,1983-07-02,33.24,1,2
spruce_needles,1983-07-02,0,1,2
