component,sample_date,biomass,stand
pine_needles,1983-06-07,5.53,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.1,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,0.22,1
male_cones,1983-06-07,0.08,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,5.93,1
pine_needles,1983-07-02,5.6,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,0,1
male_cones,1983-07-02,0.44,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,6.04,1
pine_needles,1983-08-07,5.12,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,1.2,1
male_cones,1983-08-07,0.04,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,6.36,1
pine_needles,1983-09-07,6.38,1
spruce_needles,1983-09-07,0,1
fir_needles,1983-09-07,0,1
alder_leaves,1983-09-07,0.23,1
aspen_leaves,1983-09-07,0,1
structural,1983-09-07,1.78,1
male_cones,1983-09-07,0.08,1
female_cones,1983-09-07,0,1
total_litter,1983-09-07,8.47,1
pine_needles,1983-10-07,2.72,1
spruce_needles,1983-10-07,0,1
fir_needles,1983-10-07,0,1
alder_leaves,1983-10-07,0,1
aspen_leaves,1983-10-07,0.36,1
structural,1983-10-07,0,1
male_cones,1983-10-07,0,1
female_cones,1983-10-07,0,1
total_litter,1983-10-07,3.08,1
pine_needles,1983-11-07,6.52,1
spruce_needles,1983-11-07,0,1
fir_needles,1983-11-07,0,1
alder_leaves,1983-11-07,0.36,1
aspen_leaves,1983-11-07,0,1
structural,1983-11-07,0.12,1
male_cones,1983-11-07,0,1
female_cones,1983-11-07,0,1
total_litter,1983-11-07,7,1
pine_needles,1984-05-07,25.4,1
spruce_needles,1984-05-07,0,1
fir_needles,1984-05-07,0,1
alder_leaves,1984-05-07,0,1
aspen_leaves,1984-05-07,0.48,1
structural,1984-05-07,0.24,1
male_cones,1984-05-07,0,1
female_cones,1984-05-07,0,1
total_litter,1984-05-07,26.12,1
pine_needles,1983-06-07,10.08,1
spruce_needles,1983-06-07,0,1
fir_needles,1983-06-07,0,1
alder_leaves,1983-06-07,0.52,1
aspen_leaves,1983-06-07,0,1
structural,1983-06-07,1.12,1
male_cones,1983-06-07,0.08,1
female_cones,1983-06-07,0,1
total_litter,1983-06-07,11.8,1
pine_needles,1983-07-02,33.24,1
spruce_needles,1983-07-02,0,1
fir_needles,1983-07-02,0,1
alder_leaves,1983-07-02,0.44,1
aspen_leaves,1983-07-02,0,1
structural,1983-07-02,4.76,1
male_cones,1983-07-02,7.4,1
female_cones,1983-07-02,0,1
total_litter,1983-07-02,45.84,1
pine_needles,1983-08-07,20.36,1
spruce_needles,1983-08-07,0,1
fir_needles,1983-08-07,0,1
alder_leaves,1983-08-07,0,1
aspen_leaves,1983-08-07,0,1
structural,1983-08-07,3.64,1
male_cones,1983-08-07,0.88,1
female_cones,1983-08-07,0,1
total_litter,1983-08-07,24.88,1
pine_needles,1983-09-07,9.72,1
