component,date
pine_needles,1983-06-07
spruce_needles,1983-06-07
fir_needles,1983-06-07
alder_leaves,1983-06-07
aspen_leaves,1983-06-07
structural,1983-06-07
empty,1983-06-07
male_cones,1983-06-07
female_cones,1983-06-07
total_litter,1983-06-07
pine_needles,1983-07-02
spruce_needles,1983-07-02
fir_needles,1983-07-02
alder_leaves,1983-07-02
aspen_leaves,1983-07-02
structural,1983-07-02
empty,1983-07-02
male_cones,1983-07-02
female_cones,1983-07-02
total_litter,1983-07-02
pine_needles,1983-08-07
spruce_needles,1983-08-07
fir_needles,1983-08-07
alder_leaves,1983-08-07
aspen_leaves,1983-08-07
structural,1983-08-07
empty,1983-08-07
male_cones,1983-08-07
female_cones,1983-08-07
total_litter,1983-08-07
pine_needles,1983-09-07
spruce_needles,1983-09-07
fir_needles,1983-09-07
alder_leaves,1983-09-07
aspen_leaves,1983-09-07
structural,1983-09-07
empty,1983-09-07
male_cones,1983-09-07
female_cones,1983-09-07
total_litter,1983-09-07
pine_needles,1983-10-07
spruce_needles,1983-10-07
fir_needles,1983-10-07
alder_leaves,1983-10-07
aspen_leaves,1983-10-07
structural,1983-10-07
empty,1983-10-07
male_cones,1983-10-07
female_cones,1983-10-07
total_litter,1983-10-07
pine_needles,1983-11-07
spruce_needles,1983-11-07
fir_needles,1983-11-07
alder_leaves,1983-11-07
aspen_leaves,1983-11-07
structural,1983-11-07
empty,1983-11-07
male_cones,1983-11-07
female_cones,1983-11-07
total_litter,1983-11-07
pine_needles,1984-05-07
spruce_needles,1984-05-07
fir_needles,1984-05-07
alder_leaves,1984-05-07
aspen_leaves,1984-05-07
structural,1984-05-07
empty,1984-05-07
male_cones,1984-05-07
female_cones,1984-05-07
total_litter,1984-05-07
