Hondo-SEADYN Project ,,,,,,,,,,,,,,,,
SEADYN 2010 burned stand regeneration plot assessment,,,,,,,,,,,,,,,,
"Stand 3: Measured August 7, 2010 by Janelle Sakamoto and Jacqueline Taylor.",,,,,,,,,,,,,,,,
"Stand 4: Measured August 6, 2010 by Janelle Sakamoto and Mallory Hazell.",,,,,,,,,,,,,,,,
"Stand 6: Measured August 4, 2010 by Janelle Sakamoto, Jacqueline Taylor and Laura Chittick.",,,,,,,,,,,,,,,,
"Stand 8: Measured August 5, 2010 by Jacqueline Taylor and Mallory Hazell. For conifer seedlings (SB) under 1.3m height the crew measured root collar diameter (rcd).",,,,,,,,,,,,,,,,
"(dbh and rcd measured in cm, ht measured in m)",,,,,,,,,,,,,,,,

,,,,Tallest,,,,,,Representative,,,,,,
stand ,plot,species,count,dbh1,ht1,rcd1,dbh2,ht2,rcd2,avgdbh1,avght1,avgrcd1,avgdbh2,avght2,avgrcd2,comments
3,5J,PJ,61,3.8,4,.,2.9,3.5,.,1.6,2.6,.,1.2,2,.,.
3,7H,AW,1,3.9,5.8,.,.,.,.,3.9,5.8,.,.,.,.,.
3,7H,PJ,47,2.4,3.2,.,2.2,3,.,0.9,2,.,0.9,1.8,.,.
3,9D,PJ,118,2.5,3.5,.,2.2,2.5,.,0.4,1.4,.,0.4,1.5,.,.
3,3F,PJ,135,2.3,2.9,.,1.9,2.9,.,0.5,1.7,.,0.7,1.7,.,.
3,1E,PJ,85,2.1,2.9,.,2.4,2.9,.,0.7,1.9,.,0.9,1.7,.,.
4,1A,PJ,3,2.1,2.2,.,4.1,3,.,2.1,2.2,.,4.1,3,.,Tallest = representative
4,3D,PJ,4,5.1,3.3,.,4.7,3,.,4.7,3,.,1.9,2.2,.,Tallest = representative
4,5F,AW,42,3.1,4.8,.,3,5.1,.,1.6,3.2,.,1.3,2.9,.,.
4,5F,PJ,1,3.2,3,.,.,.,.,3.2,3,.,.,.,.,.
4,7I,PJ,2,2.3,1.9,.,2.3,2.9,.,2.3,1.9,.,2.3,2.9,.,.
4,7I,PB,2,0.3,1.4,.,0.6,1.9,.,0.3,1.4,.,0.6,1.9,.,.
4,9H,PJ,1,4.5,3.7,.,.,.,.,4.5,3.7,.,.,.,.,.
6,1I,AW,31,3.8,6.3,.,2.1,4,.,0.8,2.1,.,0.9,2.2,.,.
6,1I,PB,4,1.9,3.3,.,2.2,3.3,.,0.6,2,.,1.9,3.3,.,Tallest = representative
6,3A,AW,24,2.6,4.7,.,2.8,4.2,.,1.7,3.1,.,1.4,2.9,.,.
6,3A,PB,8,2.1,3.9,.,1.2,2.6,.,0.9,2.2,.,1.1,2.4,.,.
6,5D,AW,29,5.5,8,.,4.9,8.4,.,3.3,5.4,.,2.8,5.8,.,.
6,7G,AW,10,3.6,6.7,.,2.7,4.6,.,1.5,3,.,1,2.8,.,.
6,7G,PB,24,2.6,4.4,.,3.1,4.3,.,2,3.3,.,1.6,3.1,.,.
6,7G,BW,1,0.3,1.5,.,.,.,.,0.3,1.5,.,.,.,.,.
6,9B,AW,43,4.7,7.4,.,4.6,6.6,.,3.2,5.8,.,3,4.7,.,.
6,9B,PB,7,1.1,2,.,0.6,1.9,.,0.6,1.8,.,0.5,1.8,.,.
6,9B,BW,1,2.1,3.6,.,.,.,.,2.1,3.6,.,.,.,.,.
8,1B,PB,17,1.3,2.1,.,0.8,1.8,.,0.7,1.6,.,0.3,1.4,.,.
8,1B,SB,18,.,0.9,1.2,.,1.1,1.4,.,0.6,1,.,0.5,1,.
8,5A,BW,1,0.4,1.6,.,.,.,.,0.4,1.6,.,.,.,.,.
8,5A,PJ,1,1,1.6,.,.,.,.,1,1.6,.,.,.,.,.
8,5A,SB,43,.,1.2,1.6,0.5,1.3,.,.,0.7,0.8,.,0.7,0.9,.
8,7D,BW,1,0.6,1.8,.,.,.,.,0.6,1.8,.,.,.,.,.
8,7D,PB,1,0.8,1.7,.,.,.,.,0.8,1.7,.,.,.,.,.
8,7D,SB,27,.,1.2,1.5,0.6,1.3,.,.,0.8,1.2,.,1,1.1,.
8,9I,BW,1,0.4,1.4,.,.,.,.,0.4,1.4,.,.,.,.,.
8,9I,PB,1,0.4,1.5,.,.,.,.,0.4,1.5,.,.,.,.,.
8,9I,SB,36,1.1,1.7,.,0.4,1.3,.,.,0.7,1,.,0.8,1.2,.
8,3J,PB,3,0.6,1.7,.,0.9,1.9,.,0.6,1.7,.,0.9,1.9,.,Tallest = representative
8,3J,BW,1,0.5,1.6,.,.,.,.,0.5,1.6,.,.,.,.,.
8,3J,SB,6,.,0.6,0.9,.,0.6,0.9,.,0.5,0.9,.,0.5,0.7,Tallest trees are two separate trees
