stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
1,6,10,1983,402,8,26,3,NA
1,6,10,1983,407,4,26,8,NA
1,6,10,1983,429,9,70,10,NA
1,6,10,1983,430,7,21,3,NA
1,6,10,1983,436,7,59,6,NA
1,6,10,1983,443,7,20,2,NA
1,6,10,1983,445,6,26,3.5,NA
1,6,10,1983,448,5,55,6,NA
1,6,10,1983,450,5,28,2,NA
1,6,10,1983,458,2,10,2,NA
1,6,10,1983,459,5,7,2,NA
1,6,10,1983,461,10,27,9,NA
1,6,10,1983,467,5,8,2.5,50% dead
1,6,10,1983,475,7,52,9,NA
1,6,10,1983,480,4,10,1.5,NA
1,6,10,1983,481,5,45,6,NA
1,6,10,1983,486,5,51,8,NA
1,6,10,1983,489,4,6,1,new growth at base of dead stem
1,6,10,1983,493,5,12,2,NA
1,6,10,1983,495,3,6,1,possibly same bevet(?) as 461
1,6,10,1983,496,12,33.5,11.5,NA
1,6,10,1983,498,4,14.5,3,NA
1,6,10,1983,600,5,10,4.5,NA
1,6,10,1983,601,10,13,11.5,NA
1,7,11,1983,602,3,6,2,NA
1,6,10,1983,604,3,7,1,NA
1,7,11,1983,606,4,4,2,NA
1,7,11,1983,607,7,4,6.5,NA
1,6,10,1983,608,5,7,5,NA
1,6,10,1983,609,7,28,12,NA
1,6,10,1983,610,5,11,4.5,NA
1,6,10,1983,611,8,28,7.5,NA
1,6,10,1983,612,6,6,6,50% dead
1,7,11,1983,613,6,17,4,NA
1,6,10,1983,614,6,15,2.5,NA
1,6,10,1983,619,5,12,2,NA
1,6,10,1983,620,3,9,2,NA
1,6,10,1983,621,7,14,3.5,NA
1,6,10,1983,622,6,8,2.5,NA
1,7,11,1983,628,2,3,1.5,old stock browsed down
1,6,10,1983,631,22,210,38.5,NA
1,6,10,1983,632,4,8,1,NA
1,7,11,1983,634,9,29,8.5,NA
1,7,11,1983,636,4,5,3,NA
1,6,10,1983,637,4,5,1,NA
1,7,11,1983,638,8,5,2,NA
1,6,10,1983,639,8,11,12,NA
1,6,10,1983,644,22,36,9,NA
1,6,10,1983,647,5,12,2.5,NA
1,7,11,1983,648,3,7,2,NA
1,7,11,1983,650,4,4,1,NA
1,6,10,1983,654,4,12,3,NA
1,7,11,1983,657,10,16,10,NA
1,7,11,1983,660,4,3,3,NA
1,7,11,1983,661,9,8,8,dead top
1,6,10,1983,662,3,6,2,NA
1,6,10,1983,666,4,9,1.1,NA
1,6,10,1983,675,10,12,8,NA
1,7,11,1983,676,4,5,4,NA
1,7,11,1983,678,4,5,2,NA
1,6,10,1983,681,8,36,11,NA
1,6,10,1983,686,10,11,7.5,NA
1,7,11,1983,689,7,9,6,NA
