stand,month,day,year,id,age,height_cm,diameter_mm,browsed,notes
5,5,27,1983,299,4,6,4.5,1982,
5,5,27,1983,337,32.5,210,31,,half dead
5,5,27,1983,279,4,5,0.5,,
5,5,27,1983,366,37.5,270,35,,half dead
5,5,27,1983,328,37.5,220,24,,
5,5,27,1983,314,17.5,31,9,1982,
5,5,27,1983,212,27.5,160,27,,
5,5,27,1983,317,27.5,60,25,"1979, 1978, 1976",
5,5,27,1983,227,27.5,110,13,1978,
5,5,27,1983,295,2,16,2,,close together
5,5,27,1983,282,2,11,2,,close together
5,5,27,1983,375,2,42,4.5,,close together
5,5,27,1983,206,2,11,2,,close together
5,5,27,1983,290,2,27,4,,close together
5,5,27,1983,213,2,3,1.5,,
5,5,27,1983,382,2,14,3,,
5,5,27,1983,272,37.5,240,25,,
5,5,27,1983,389,37.5,310,40,,
5,5,27,1983,307,42.5,250,30,,
5,5,27,1983,218,57.5,330,32,,
5,5,27,1983,377,50,220,19,,
5,5,27,1983,305,45,310,38,,
5,5,27,1983,278,3,3,1,,
5,5,27,1983,357,47.5,270,29,,
5,5,27,1983,301,1,19,2,,
5,5,27,1983,338,2.5,20,6,,
5,5,27,1983,385,17.5,52,9,"1981, 1982",
5,5,27,1983,280,2,22,3,1982,
5,5,27,1983,556,3,17,2,1982,
5,5,27,1983,503,3,3,5,,
5,5,27,1983,87,2,12,3,1982,
5,5,27,1983,537,2.5,2.5,3,1982,
5,5,27,1983,527,2.5,3,3,1982,
5,5,27,1983,566,50,250,35,,
5,5,27,1983,517,45.5,260,32,,
5,5,27,1983,549,57.5,300,31,,
5,5,27,1983,582,47.5,230,28,,
5,5,27,1983,592,57.5,340,33,,
5,5,27,1983,557,1,20,3,,
5,5,27,1983,572,57.5,400,45,,
5,5,27,1983,544,52.5,230,24,,
5,5,27,1983,540,47.5,260,36,,
5,5,27,1983,595,2,27,4,,
5,5,27,1983,560,2,6,2,1982,
5,5,27,1983,524,2,8,3,,
5,5,27,1983,528,2,5,3.5,1982,
5,5,27,1983,509,10,6,7,,only one live branch
5,5,27,1983,533,22.5,190,29,,
5,5,27,1983,581,52.5,210,23,,
5,5,27,1983,589,52.5,230,26,,
5,5,28,1983,562,42.5,150,27,,
5,5,28,1983,555,42.5,200,18,,
5,5,28,1983,522,27.5,210,29,,
5,5,28,1983,542,10,15,11,1982,
5,5,28,1983,543,2,11,2,,top died away
5,5,28,1983,599,2,19,2.5,,
5,5,28,1983,780,45,340,35,,
