stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
7,5,20,1985,71,112,23,,
7,5,20,1985,56,48,14,,
7,5,20,1985,34,99,23,,
7,5,20,1985,89,148,33,,
7,5,20,1985,40,116,19,,
7,5,20,1985,46,133,27,,
7,5,20,1985,5,7,10,,
7,5,20,1985,17,103,20,,
7,5,20,1985,94,1,1,,
7,5,20,1985,93,86,22,,
7,5,20,1985,2,68,15,,
7,5,20,1985,92,86,22,,
7,5,20,1985,64,197,29,,
7,5,20,1985,18,12,3,,
7,5,20,1985,49,7,1,,
7,5,20,1985,24,6,1,,
7,5,20,1985,1,18,5,,
7,5,20,1985,68,12,2,,
7,5,20,1985,69,13,2,,
7,5,20,1985,86,8,1,,
7,5,20,1985,54,56,8,,
7,5,20,1985,99,16,4,1984,
7,5,20,1985,12,10,2,,
7,5,20,1985,72,23,7,,
7,5,20,1985,3,22,5,,
7,5,20,1985,15,17,4,,
7,5,20,1985,8,22,4,,
7,5,20,1985,10,25,4,,
7,5,20,1985,61,19,7,,
7,5,20,1985,32,17,3,,
7,5,20,1985,11,21,6,,
7,5,20,1985,27,27,2,,
7,5,20,1985,888,118,23,,
7,5,20,1985,812,201,42,,
7,5,20,1985,868,36,8,,
7,5,20,1985,850,61,15,,
7,5,20,1985,876,45,20,,
7,5,20,1985,809,89,13,,
7,5,20,1985,889,84,12,,
7,5,20,1985,872,72,19,,double tree
7,5,20,1985,822,46,24,,
7,5,20,1985,808,110,20,,
7,5,20,1985,818,116,17,,
7,5,20,1985,835,106,26,,
7,5,20,1985,815,51,10,,
7,5,20,1985,823,105,15,,
7,5,20,1985,826,95,21,,
7,5,20,1985,820,77,15,,
7,5,20,1985,830,38,25,,double tree
7,5,20,1985,885,213,37,,
7,5,20,1985,810,84,17,,
7,5,20,1985,811,82,9,,
7,5,20,1985,819,104,19,,
7,5,20,1985,805,278,35,,
7,5,20,1985,863,118,25,,
7,5,20,1985,873,210,30,,
7,5,20,1985,857,149,28,,
