stand,species_code,tree_tag,quad,base_coord_S_m,base_coord_W_m,substratum,year_dead
7,LALA,49,4E,2.5,4.3,NA,NA
7,LALA,24,4E,2.3,4.3,NA,NA
1,PIBA,628,8I,4.1,0,FF,NA
1,PIBA,661,8E,0.6,0,FF,NA
3,PIGL,640,0E,0.9,0,FF,NA
3,BEPA,649,0C,3.2,0,DL,1984
3,BEPA,672,0C,3.6,0,DL,1985
3,BEPA,921,8G,0.1,0,DL,NA
4,POBA,821,4D,2.7,0,FF,NA
5,PIGL,218,7I,4.3,0,FF,NA
5,PIGL,385,9G,3.1,0,DL,NA
5,PIGL,562,1D,0.2,0,DL,NA
6,ABBA,741,6E,3.2,0,FF,NA
7,PIMA,837,4G,4.9,0,NA,NA
1,PIBA,701,4C,1,0.1,FF,NA
2,PIBA,794,3E,4.8,0.1,FF,NA
3,PIGL,119,4D,3.9,0.1,FF,1985
3,BEPA,922,8H,4.8,0.1,DL,NA
4,ABBA,379,4E,3.3,0.1,FF,NA
4,ABBA,393,4H,4.6,0.1,FF,NA
4,POTR,883,4H,3.7,0.1,DL,NA
6,ABBA,959,4D,4.4,0.1,DL,1984
6,ABBA,743,6E,4.9,0.1,DL,NA
6,ABBA,920,4A,0.3,0.1,FF,NA
6,ABBA,709,6C,4.8,0.1,FF,NA
7,LALA,72,4F,0.4,0.1,NA,NA
7,PIMA,834,4G,4.1,0.1,NA,NA
7,PIMA,859,4G,3.7,0.1,NA,1984
2,PIBA,446,6I,0.35,0.2,FF,NA
2,PIBA,789,6H,3.9,0.2,FF,NA
3,PIMA,635,0F,4.3,0.2,T,NA
3,PIGL,908,8B,0.4,0.2,FF,NA
3,BEPA,923,8G,0.2,0.2,DL,NA
3,BEPA,945,8F,3.4,0.2,DL,NA
3,POTR,990,8J,4,0.2,FF,NA
4,POTR,874,4H,4.2,0.2,FF,NA
5,PIGL,589,1D,2,0.2,FF,NA
7,LALA,3,4F,0.7,0.2,NA,NA
7,PIMA,886,4G,4.2,0.2,NA,NA
7,PIMA,894,4G,4.3,0.2,NA,NA
7,PIMA,839,4G,3.9,0.2,NA,1984
7,PIMA,861,4G,3.8,0.2,NA,NA
7,PIMA,809,4G,4.9,0.2,NA,NA
1,PIBA,480,4F,1.5,0.3,M,NA
1,PIBA,600,6A,4,0.3,HS,NA
1,PIBA,675,2F,4.8,0.3,T,NA
3,PIMA,633,0F,3.9,0.3,T,NA
5,PIGL,317,8H,4.2,0.3,FF,1985
6,ABBA,558,4F,0.2,0.3,FF,NA
7,PIMA,34,4E,0.2,0.3,NA,NA
7,PIMA,872,4G,5,0.3,NA,NA
7,PIMA,885,4G,2,0.3,NA,NA
7,PIMA,810,4G,0.1,0.3,NA,NA
2,PIBA,492,6H,4.4,0.4,FF,NA
2,PIBA,761,0G,5,0.4,FF,NA
3,PIMA,110,2A,4.8,0.4,FF,NA
3,PIMA,112,2C,2.5,0.4,FF,NA
3,PIMA,155,2C,2.7,0.4,FF,1984
3,PIMA,189,2C,2.8,0.4,FF,NA
3,POTR,942,8J,4.7,0.4,FF,NA
3,BEPA,954,8I,0.9,0.4,DL,NA
3,POTR,980,8G,2.7,0.4,DL,NA
3,BEPA,984,8F,3.4,0.4,DL,NA
6,ABBA,772,6H,1.3,0.4,FF,NA
6,ABBA,753,6C,4.9,0.4,FF,NA
7,PIMA,40,4E,1.5,0.4,NA,NA
7,PIMA,889,4G,4.9,0.4,NA,NA
1,PIBA,730,6F,3.4,0.5,FF,NA
1,POTR,793,4F,0.6,0.5,FF,1985
2,PIBA,98,4F,3.5,0.5,M,NA
3,PIMA,101,2C,2.7,0.5,FF,1984
3,PIGL,133,4H,3.2,0.5,DL,NA
3,PIMA,138,2C,2,0.5,FF,1984
3,PIMA,144,2C,1.8,0.5,FF,1984
3,PIMA,183,2C,2,0.5,FF,1984
3,PIMA,188,2C,2.3,0.5,FF,1984
3,PIMA,197,2C,1.8,0.5,FF,NA
3,BEPA,605,0C,3.9,0.5,DL,NA
3,POTR,904,8G,2.6,0.5,FF,1985
4,ABBA,304,4F,3.8,0.5,DL,1984
6,ABBA,928,6J,4.5,0.5,FF,NA
6,ABBA,748,6C,4.9,0.5,FF,NA
7,PIMA,814,4G,4.9,0.5,NA,NA
7,PIMA,864,4G,1,0.5,NA,1984
2,PIBA,55,4G,5,0.6,FF,NA
3,PIMA,103,2C,2,0.6,FF,NA
3,PIMA,115,2C,2.7,0.6,FF,NA
3,PIMA,123,2C,2.1,0.6,FF,1984
3,PIMA,173,2C,2.3,0.6,FF,NA
3,PIGL,193,6J,2.5,0.6,DL,NA
3,BEPA,926,8H,4.2,0.6,DL,1985
5,PIGL,305,8I,0.8,0.6,FF,NA
5,POTR,599,1J,2,0.6,FF,1984
6,ABBA,725,6G,0.2,0.6,FF,NA
7,PIMA,812,4G,3,0.6,NA,NA
1,POTR,448,4F,2.3,0.7,HS,1985
2,PIGL,57,4E,3,0.7,T,NA
2,PIBA,426,6E,3.4,0.7,FF,NA
2,PIBA,487,9A,2,0.7,FF,NA
3,PIGL,659,0H,5,0.7,FF,NA
3,PIMA,669,0F,4.5,0.7,DL,NA
3,POTR,900,8F,1.5,0.7,FF,NA
3,POTR,952,8I,2.2,0.7,FF,NA
3,PIGL,963,8H,3.7,0.7,DL,NA
5,POTR,280,9F,0.5,0.7,FF,NA
7,LALA,54,4E,0.7,0.7,NA,NA
7,LALA,15,4F,1.6,0.75,NA,NA
1,PIBA,636,0F,1,0.8,FF,NA
1,PIBA,690,0E,4.1,0.8,FF,1984
2,PIBA,462,2B,5,0.8,FF,NA
2,PIBA,468,2E,1.6,0.8,DL,NA
2,PIBA,799,6G,3.5,0.8,FF,NA
3,PIMA,165,2C,2.7,0.8,FF,NA
3,PIMA,184,2C,2.7,0.8,FF,NA
3,PIGL,630,0E,1.7,0.8,DL,NA
3,POTR,912,8H,0.5,0.8,FF,NA
3,PIGL,931,8C,0.4,0.8,FF,NA
3,POTR,937,8I,3.9,0.8,FF,1984
3,POTR,961,8I,3.9,0.8,FF,NA
3,POTR,971,8I,2.6,0.8,FF,NA
4,ABBA,327,4E,3,0.8,FF,NA
7,PIMA,841,4G,3.6,0.8,NA,NA
7,PIMA,842,4G,5,0.8,NA,NA
1,PIBA,660,8J,4.9,0.9,FF,NA
1,PIBA,727,4B,1.2,0.9,FF,NA
2,PIBA,472,0A,3.6,0.9,FF,NA
3,PIMA,100,2C,2.5,0.9,FF,NA
3,PIMA,118,2C,2.6,0.9,FF,NA
3,PIMA,126,2C,2.6,0.9,FF,NA
3,PIMA,128,2C,2.6,0.9,FF,NA
3,POTR,948,8I,4.1,0.9,FF,NA
3,POTR,962,8I,3.9,0.9,FF,NA
