stand,sensor_id,temp_C,matric_potential_bars,date
1,9,-0.7,7.9331,1982-05-07
1,36,-0.7,0.2935,1982-05-07
1,6,-0.31,2.3068,1982-05-07
1,14,0.11,5.8611,1982-05-07
1,29,-0.7,0.6334,1982-05-07
2,23,2.9,2.995,1982-05-07
2,15,0.91,21.35,1982-05-07
2,22,0.91,0.3006,1982-05-07
2,30,-3.11,0.8729,1982-05-07
2,3,-0.3,0.4762,1982-05-07
2,25,0.51,6.9435,1982-05-07
3,12,-3.51,7.6283,1982-05-07
3,65,0.11,10.713,1982-05-07
3,26,1.31,0.9454,1982-05-07
3,18,-2.3,6.165,1982-05-07
1,2,0.5,0.3437,1982-05-11
1,6,0.87,3.6203,1982-05-11
1,36,0.48,0.3015,1982-05-11
1,14,7.21,7.3697,1982-05-11
1,9,-0.31,8.3381,1982-05-11
1,29,2.03,0.6238,1982-05-11
2,23,4.86,3.0626,1982-05-11
2,25,2.9,7.5047,1982-05-11
2,3,0.1,0.519,1982-05-11
2,15,1.7,29.026,1982-05-11
2,22,2.11,0.546,1982-05-11
2,30,-3.11,0.9392,1982-05-11
3,12,-3.51,7.6283,1982-05-11
3,26,1.71,0.7695,1982-05-11
3,65,-0.29,11.9127,1982-05-11
3,18,-2.3,5.9255,1982-05-11
1,6,3.94,2.8309,1982-05-15
1,29,5.08,3.6838,1982-05-15
1,9,-0.31,7.6954,1982-05-15
1,36,2.79,0.3858,1982-05-15
1,2,0.1,0.3038,1982-05-15
2,25,5.25,9.7266,1982-05-15
2,22,3.29,0.4597,1982-05-15
2,30,-2.71,1.068,1982-05-15
2,23,7.21,4.4398,1982-05-15
2,3,-0.3,0.5224,1982-05-15
3,12,-3.11,17.1577,1982-05-15
3,26,2.9,0.7426,1982-05-15
3,18,-2.3,5.9255,1982-05-15
3,65,-0.29,11.9127,1982-05-15
1,2,2.84,0.3706,1982-05-19
1,6,5.08,4.6965,1982-05-19
1,36,4.32,0.4777,1982-05-19
1,9,1.25,8.2106,1982-05-19
1,29,5.84,1.3501,1982-05-19
2,25,6.82,11.2416,1982-05-19
2,23,8,5.1465,1982-05-19
2,3,1.28,0.6101,1982-05-19
2,15,5.2,26.7438,1982-05-19
2,22,4.86,0.5994,1982-05-19
2,30,-1.92,1.1779,1982-05-19
3,18,-2.71,6.7197,1982-05-19
3,26,3.69,0.9211,1982-05-19
3,12,-2.31,17.2957,1982-05-19
3,65,0.11,14.6037,1982-05-19
1,6,5.84,5.0323,1982-05-23
1,29,5.46,2.9689,1982-05-23
1,9,2.41,9.3391,1982-05-23
1,2,4.38,0.3682,1982-05-23
1,36,4.7,0.7496,1982-05-23
2,30,-1.13,1.2926,1982-05-23
2,23,5.64,5.8566,1982-05-23
2,22,5.25,0.7473,1982-05-23
2,3,2.06,0.5697,1982-05-23
2,15,5.59,27.7853,1982-05-23
2,25,6.42,13.9418,1982-05-23
3,26,4.86,1.0705,1982-05-23
3,12,-1.52,17.6504,1982-05-23
3,18,-2.71,5.6022,1982-05-23
1,6,5.46,4.8626,1982-05-27
1,9,2.79,9.7319,1982-05-27
1,14,13.81,1.359,1982-05-27
1,2,5.53,0.3532,1982-05-27
1,29,6.6,6.3792,1982-05-27
1,36,4.7,2.3413,1982-05-27
2,22,5.25,0.953,1982-05-27
2,23,8,13.8771,1982-05-27
2,30,-0.36,1.4121,1982-05-27
2,3,3.61,0.7902,1982-05-27
2,25,7.21,5.6755,1982-05-27
3,12,-0.36,19.2057,1982-05-27
3,18,-1.51,5.8536,1982-05-27
3,65,1.3,23.6109,1982-05-27
3,26,4.47,0.6687,1982-05-27
1,6,6.6,6.3792,1982-05-31
1,36,4.7,5.8681,1982-05-31
1,2,5.53,0.3386,1982-05-31
1,9,2.41,10.5589,1982-05-31
1,29,8.12,2.2262,1982-05-31
2,25,8.79,8.4215,1982-05-31
2,22,4.86,1.1833,1982-05-31
2,3,3.99,0.8168,1982-05-31
2,30,-0.36,1.5321,1982-05-31
3,12,-0.36,20.6452,1982-05-31
3,18,-1.11,8.1488,1982-05-31
3,65,1.3,24.4795,1982-05-31
3,26,5.25,0.9073,1982-05-31
1,6,8.51,6.882,1982-06-04
1,36,6.6,23.2148,1982-06-04
1,9,3.94,10.0926,1982-06-04
1,2,7.06,0.3329,1982-06-04
1,29,7.36,2.94,1982-06-04
2,22,6.82,1.6195,1982-06-04
2,30,0.41,1.5366,1982-06-04
2,3,5.14,0.8564,1982-06-04
2,25,8.79,12.2658,1982-06-04
3,26,6.82,1.2548,1982-06-04
3,18,0.06,7.1343,1982-06-04
1,6,6.98,5.9447,1982-06-08
1,2,7.45,0.3279,1982-06-08
1,9,4.32,8.1802,1982-06-08
1,29,6.98,12.9299,1982-06-08
2,22,5.64,2.771,1982-06-08
2,3,6.29,0.9861,1982-06-08
2,30,0.79,1.738,1982-06-08
3,26,6.42,2.5031,1982-06-08
3,18,1.22,8.1769,1982-06-08
1,6,8.12,9.4135,1982-06-12
1,9,4.7,8.4893,1982-06-12
1,2,7.45,0.3148,1982-06-12
2,22,6.82,4.6601,1982-06-12
2,3,5.91,0.9566,1982-06-12
2,30,1.18,1.8093,1982-06-12
3,12,1.93,26.3666,1982-06-12
3,18,1.6,6.6845,1982-06-12
3,26,7.21,4.4398,1982-06-12
1,6,10.07,22.2542,1982-06-16
1,9,6.6,8.9507,1982-06-16
1,2,9.4,0.316,1982-06-16
2,30,2.68,2.1083,1982-06-16
2,22,9.19,9.5887,1982-06-16
3,26,10,21.56,1982-06-16
3,18,2.74,8.5565,1982-06-16
1,9,7.36,9.5741,1982-06-20
1,2,9.79,0.3238,1982-06-20
2,22,9.19,19.3357,1982-06-20
2,3,8.61,1.0633,1982-06-20
2,30,3.06,2.3781,1982-06-20
3,18,3.12,8.2007,1982-06-20
1,9,7.74,9.4957,1982-06-24
1,2,10.19,0.3187,1982-06-24
2,3,9,1.1495,1982-06-24
2,30,4.18,2.6446,1982-06-24
3,18,3.88,9.623,1982-06-24
1,2,10.19,0.3063,1982-06-28
1,9,8.12,9.4135,1982-06-28
2,30,4.18,3.1243,1982-06-28
2,3,12.65,0.0747,1982-06-28
3,18,3.5,9.6503,1982-06-28
1,9,8.51,10.057,1982-07-02
1,2,10.19,0.3187,1982-07-02
1,14,16.58,2.0758,1982-07-02
2,30,4.18,3.6739,1982-07-02
2,3,9,1.0936,1982-07-02
3,18,3.88,9.623,1982-07-02
1,6,11.27,7.8464,1982-07-06
1,36,10.86,7.0035,1982-07-06
1,9,9.28,7.3283,1982-07-06
1,2,11.4,0.2708,1982-07-06
1,14,16.58,1.8702,1982-07-06
1,29,12.08,0.5448,1982-07-06
2,22,11.65,1.7822,1982-07-06
2,23,14.7,0.9203,1982-07-06
2,30,5.67,3.2912,1982-07-06
2,3,10.19,1.0238,1982-07-06
2,25,13.36,10.8776,1982-07-06
3,26,11.23,0.3131,1982-07-06
3,18,5,8.7435,1982-07-06
1,6,11.67,3.748,1982-07-10
1,2,11.4,0.3162,1982-07-10
1,9,9.67,8.251,1982-07-10
1,14,22.51,17.6499,1982-07-10
1,29,12.91,1.0034,1982-07-10
1,36,10.86,1.1256,1982-07-10
2,22,11.65,1.6072,1982-07-10
2,23,13.36,4.5924,1982-07-10
2,25,14.25,10.5884,1982-07-10
2,3,10.59,0.7864,1982-07-10
2,30,6.04,3.1235,1982-07-10
3,26,11.23,0.7817,1982-07-10
3,18,5.38,8.6941,1982-07-10
1,6,11.67,5.3098,1982-07-14
1,9,10.07,8.5104,1982-07-14
1,29,13.33,1.9908,1982-07-14
1,2,11.81,0.3507,1982-07-14
1,36,11.27,1.344,1982-07-14
2,22,12.07,1.7405,1982-07-14
2,23,14.7,5.0202,1982-07-14
2,25,14.7,13.1078,1982-07-14
2,3,10.99,0.7008,1982-07-14
2,30,6.41,3.511,1982-07-14
3,26,11.65,1.8773,1982-07-14
3,18,5.38,8.0059,1982-07-14
1,6,12.08,3.5563,1982-07-18
1,29,13.33,0.5866,1982-07-18
1,9,14.63,10.8682,1982-07-18
1,36,11.67,0.4662,1982-07-18
1,14,22.51,3.3678,1982-07-18
1,2,12.23,0.345,1982-07-18
2,25,14.7,5.0202,1982-07-18
2,23,14.25,3.823,1982-07-18
2,30,7.15,3.7399,1982-07-18
2,22,12.07,1.0499,1982-07-18
2,3,10.99,0.6103,1982-07-18
3,18,6.13,7.5888,1982-07-18
3,26,12.93,0.5729,1982-07-18
1,6,12.08,4.203,1982-07-22
1,2,12.23,0.3592,1982-07-22
1,9,8.51,5.8244,1982-07-22
1,36,8.89,0.5092,1982-07-22
1,14,12.93,4.8686,1982-07-22
1,29,8.89,0.5092,1982-07-22
2,22,11.65,1.0735,1982-07-22
2,23,12.07,5.9555,1982-07-22
2,3,11.4,0.626,1982-07-22
2,30,6.78,3.3283,1982-07-22
