stand_code,corner,latitude_degrees,longitude_degrees,elevation_m
1,NE,55.22888888888889,-114.28583333333333,593.4456
1,SE,55.21944444444445,-114.28583333333333,598.932
1,SW,55.222500000000004,-114.3,594.9696
1,NW,55.22138888888889,-114.29916666666666,583.3872
1,Means,55.22305555555556,-114.29277777777777,592.836
2,NE,55.10333333333334,-114.3736111111111,599.5416
2,SE,55.09444444444445,-114.37277777777777,599.5416
2,SW,55.09305555555556,-114.12583333333333,600.456
2,NW,55.102222222222224,-114.12444444444444,612.648
2,Means,55.098333333333336,-114.11861111111111,599.8464
3,NE,55.31,-114.29527777777778,569.0616
3,SE,55.29972222222222,-114.29305555555557,627.888
3,SW,55.32805555555556,-114.31,599.8464
3,NW,55.31305555555556,-114.30583333333334,589.4832
3,Means,55.31277777777778,-114.30111111111111,596.4936
4,NE,55.349444444444444,-114.29277777777779,609.6
4,SE,55.34305555555556,-114.28083333333333,595.884
4,SW,55.3425,-114.29388888888889,619.0488
4,NW,55.349444444444444,-114.29277777777779,609.6
4,Means,55.346111111111114,-114.31777777777778,608.6856
5,NE,55.29972222222222,-114.36611111111111,640.08
5,SE,55.291666666666664,-114.36833333333333,614.7816
5,SW,55.29111111111111,-114.37944444444445,589.1784
5,NW,55.29888888888889,-114.37944444444445,647.0904
5,Means,55.29527777777778,-114.37333333333333,634.8984
6,NE,55.31972222222222,-114.4011111111111,642.5184
6,SE,55.31666666666666,-114.39916666666666,629.7168
6,SW,55.31111111111111,-114.4161111111111,640.9944
6,NW,55.31833333333333,-114.41361111111111,642.5184
6,Means,55.31638888888889,-114.4075,639.1656
7,NE,55.18972222222222,-114.1036111111111,613.8672
7,SE,55.181666666666665,-114.10388888888889,607.7712
7,SW,55.18277777777777,-114.11805555555556,606.8568
7,NW,55.19,-114.11777777777777,612.9528
7,Means,55.18611111111111,-114.11083333333333,610.5144
8,NE,55.244166666666665,-114.30555555555556,625.1448
8,SE,55.23638888888889,-114.27833333333334,591.9216
8,SW,55.237500000000004,-114.29027777777779,631.8504
8,NW,55.243611111111115,-114.29111111111112,585.5208
8,Means,55.24055555555556,-114.29138888888889,608.6856
