stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
6,6,26,1984,927,40,10,,
6,6,26,1984,618,285,64,,
6,6,26,1984,986,161,30,,
6,6,26,1984,909,260,55,,
6,6,26,1984,920,77,16,,
6,6,26,1984,907,400,42,,
6,6,26,1984,950,53,14,,
6,6,26,1984,919,22,5,,
6,6,26,1984,988,115,17,,
6,6,26,1984,917,37,19,,
6,6,26,1984,523,10,25,,
6,6,26,1984,502,115,18,1983,
6,6,26,1984,558,10,35,,
6,6,26,1984,949,242,34,,
6,6,26,1984,565,215,30,,
6,6,26,1984,505,35,38,,
6,6,26,1984,519,4,1,,
6,6,26,1984,409,480,32,,
6,6,26,1984,466,190,30,,
6,6,26,1984,977,143,17,,
6,6,26,1984,944,195,27,,
6,6,26,1984,955,165,26,,
6,6,26,1984,987,300,35,,
6,6,26,1984,501,128,19,,
6,6,26,1984,447,200,25,1983,
6,6,26,1984,414,95,27,1983,
6,6,26,1984,774,257,39,,
6,6,26,1984,710,150,30,,
6,6,26,1984,739,187,33,,
6,6,26,1984,717,290,37,,
6,6,26,1984,764,276,36,,
6,6,26,1984,728,239,35,,
6,6,26,1984,762,97,16,,
6,6,26,1984,709,265,34,,
6,6,26,1984,753,280,42,,
6,6,26,1984,729,345,48,,
6,6,26,1984,724,93,16,,
6,6,26,1984,766,200,28,,
6,6,26,1984,748,40,7,,
6,6,26,1984,750,187,25,,
6,6,26,1984,782,97,12,,
6,6,26,1984,767,120,26,,squished by log
6,6,26,1984,797,10,3,,
6,6,26,1984,713,98,19,,
6,6,26,1984,796,346,51,,
6,6,26,1984,741,250,42,,
6,6,26,1984,743,155,25,,
6,6,26,1984,776,170,23,,
6,6,26,1984,763,271,38,,
6,6,26,1984,779,60,12,,
6,6,26,1984,783,135,30,,
6,6,26,1984,725,5,2,,
6,6,26,1984,772,19,3,,
6,6,26,1984,778,15,3,,
6,6,26,1984,726,15,24,,fallen on by 5140
6,6,26,1984,914,212,28,,
6,6,26,1984,902,170,23,,
6,6,26,1984,906,287,46,,
6,6,26,1984,928,235,41,,
6,6,26,1984,519,4,1,,
6,6,26,1984,505,315,35,,
6,6,26,1984,565,207,29,,
6,6,26,1984,949,223,31,,
6,6,26,1984,558,18,4,1977,
6,6,26,1984,554,31,6,,
6,6,26,1984,502,114,17,,
6,6,26,1984,510,27,6,1976,
6,6,26,1984,523,9,2,1982,
6,6,26,1984,579,43,4,,fire blight
6,6,26,1984,988,108,16,1979,
6,6,26,1984,917,28,18,,"top dead, girdled"
6,6,26,1984,959,3,2,,only 1984 growth
6,6,26,1984,977,179,17,,
6,6,26,1984,944,144,26,,
6,6,26,1984,955,169,24,,
6,6,26,1984,987,290,36,,
6,6,26,1984,907,361,38,,
6,6,26,1984,950,55,13,1983,
6,6,26,1984,919,20,5,"1983, 1982, 1981",
6,6,26,1984,409,245,31,,
6,6,26,1984,466,200,31,,girdled
6,6,26,1984,501,108,18,,
6,6,26,1984,447,180,23,,girdled
6,6,26,1984,927,38,11,,
6,6,26,1984,618,274,57,,
6,6,26,1984,986,146,21,,
6,6,26,1984,909,233,41,,
6,6,26,1984,920,75,18,1965,"browsed 'a long time ago', so put in 1965"
6,6,26,1984,774,242,37,,
6,6,26,1984,710,157,29,1981,
6,6,26,1984,739,183,34,,
6,6,26,1984,717,276,34,,
6,6,26,1984,764,259,45,,
6,6,26,1984,709,252,35,,
6,6,26,1984,753,260,40,,
6,6,26,1984,729,335,41,,
6,6,26,1984,728,227,32,,
6,6,26,1984,762,92,12,,
6,6,26,1984,724,92,13,,
6,6,26,1984,766,192,25,,
6,6,26,1984,748,41,5,,
6,6,26,1984,750,180,23,,
6,6,26,1984,782,100,10,,
6,6,26,1984,767,152,25,,
6,6,26,1984,797,9,2,,
6,6,26,1984,713,88,17,1979,
6,6,26,1984,796,324,48,,
6,6,26,1984,741,253,38,,
6,6,26,1984,743,168,22,,
6,6,26,1984,776,163,21,,
6,6,26,1984,763,252,34,,
6,6,26,1984,779,48,9,,
6,6,26,1984,783,166,27,,
6,6,26,1984,725,6,1,,
6,6,26,1984,772,17,2,,
6,6,26,1984,778,14,2,,
6,6,26,1984,726,206,21,"1983, 1980",
6,6,26,1984,914,192,25,,
6,6,26,1984,902,164,22,1979,
6,6,26,1984,906,269,39,,
6,6,26,1984,928,217,38,,
