"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","0A","2720","POTR",10,NA,"0.8",NA,"1","1982","1.3",NA,"0",NA,"1.8","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","0A","2721","PIGL",14.2,NA,"1","1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.3","22.7","18.1",NA,NA,""
"5","0A","2718","PIGL",10.5,"1.3",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.2","14.8","14.1",NA,NA,""
"5","0A","2719","POTR",16,"2.2",NA,NA,"1.9","1982","3.1",NA,"0.6",NA,"0","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.9",NA,NA,"DD",NA,""
"5","0B","2759","POTR",22,NA,"0.4",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.9","24.4",NA,"LL",NA,""
"5","0B","2753","POTR",9.8,NA,"1.8",NA,"0.7","1982","1.5",NA,"2.2",NA,"0","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.5",NA,NA,"DD",NA,"Data_is_different_than_the_original_data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0B","2754","POTR",19,NA,"2.1",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","21.7",NA,"LL",NA,""
"5","0B","2756","POTR",12.8,"0.8",NA,"0.4",NA,"1982","2.1","0.6",NA,"0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.9",NA,NA,"DD",NA,""
"5","0B","2757","PIGL",14,"0.8",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.9","23.2","17",NA,NA,""
"5","0B","2755","POTR",22.2,"0.9",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.4","26.4","23.3",NA,NA,""
"5","0B","2877","POTR",20.2,"0.9",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","24.7",NA,"LL",NA,""
"5","0B","2758","POTR",21.5,"2.7",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.7","24.9",NA,"LL",NA,""
"5","0C","2760","PIGL",3.8,NA,"0.2",NA,"2","1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.1",NA,NA,"DL",NA,""
"5","0C","2259","PIGL",8,NA,"0.3",NA,"2.4","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.9","10.4","11.6","DS",NA,""
"5","0C","2260","PIGL",4,NA,"0.6",NA,"2","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8",NA,NA,"DL",NA,""
