stand,year,month,PLOT,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA
2,1980,8,0A,5,0,NA,0,0,50,0,4,NA,0,0,1,0,0.5,NA,0,1,0.5,0,0.5,0,0,0,NA,0.5,NA,0,0.5,0,NA,0,NA,0,0,2,0,0,0,1,5,0.5
2,1980,8,0C,5,0,NA,0,2,50,0,3,NA,0,0,0,0,0,NA,0,0.5,0,0,0,0,0,0,NA,0.5,NA,0,0.5,0,NA,0,NA,0,0,0.5,0,0,0,0,0,0.5
2,1980,8,0E,5,0,NA,20,0.5,30,0.5,3,NA,0,0,0,0.5,0.5,NA,0,10,0.5,0,0.5,0,0,0,NA,0,NA,0,0,0.5,NA,0,NA,0,0,1,0,0,0,0,2,1
2,1980,8,0G,20,0,NA,0,1,55,0,1,NA,0,0,0,0,0.5,NA,0,5,0,0,0.5,0,0,0,NA,0,NA,0,0.5,0,NA,0.5,NA,0,0,0.5,0,0,0,0,0,0.5
2,1980,8,0I,50,0,NA,40,2,15,0,2,NA,0,5,0,0,0,NA,0,0,0,0,0,0,0,0.5,NA,0,NA,0,0,0,NA,0,NA,0.5,0,0.5,0,0,0,0,1,0.5
2,1980,8,2A,20,0,NA,0,0,30,0,3,NA,0,0,3,0,0.5,NA,0,1,0.5,0,0.5,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0,0,4,0.5,0,0,1,10,1
2,1980,8,2C,20,0,NA,35,0,2,1,5,NA,2,0,1,0,0.5,NA,0,0.5,0,0,0,1,0,0,NA,0,NA,0,0,0.5,NA,0,NA,1,0,0.5,0,0,0,1,10,2
2,1980,8,2E,15,0,NA,0,3,0,0,5,NA,0,0,55,0,0.5,NA,0,1,0,0,0,0,0,0,NA,0,NA,0.5,0,0,NA,0,NA,0,0,3,0,0,0,0,50,2
2,1980,8,2G,20,0,NA,25,0,10,0.5,5,NA,0,0,0,0,0,NA,0,0.5,0.5,0,0,1,0,0.5,NA,0,NA,0,0,0.5,NA,0,NA,0,0,0,0,0,0,3,15,3
2,1980,8,2I,35,0,NA,15,1,3,0.5,3,NA,0,0,0,0,0.5,NA,5,1,0.5,0,0,0.5,0,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,0,0,0.5,0,0.5,20,1
2,1980,8,4A,5,0,NA,0,1,30,0,2,NA,0,0,1,0,0.5,NA,0,1,0,0,0.5,0,0,0,NA,0,NA,0,0.5,0,NA,0,NA,0.5,0,2,0,0,0,2,0,0
2,1980,8,4C,10,1,NA,5,0.5,10,0.5,2,NA,0,0,2,0,0,NA,0,1,0,0,0.5,0,0,0,NA,0.5,NA,0,1,0,NA,0,NA,0,0,0,0,0,0,0,0,0.5
2,1980,8,4E,20,0,NA,20,0,0,0,5,NA,0,0,0,0,0.5,NA,0,1,0.5,0,0.5,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,1,0,0,0,3,15,0.5
2,1980,8,4G,20,0,NA,0,0,50,0,1,NA,0,0,0,0,1,NA,0,2,0,0,0.5,0,0,0,NA,0,NA,0,0.5,0,NA,0.5,NA,0,0,0.5,0,0,0,2,20,0.5
2,1980,8,4I,0,0,NA,1,0,10,0,1,NA,0,1,0,0,0,NA,0,1,0.5,0,0.5,0.5,0.5,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,1,0,0,0,0,10,0
2,1980,8,6A,40,0,NA,15,1,0,0,3,NA,0,0,0,0,0.5,NA,0,0.5,0.5,0.5,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,0.5,0,0,0,0,2,0.5
2,1980,8,6C,30,0,NA,20,0,10,0,5,NA,0,0,0,0,0,NA,0,1,0,0.5,0.5,0,0,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,1,0,0,0,1,3,1
2,1980,8,6E,40,0,NA,10,0.5,5,0,5,NA,0,0,3,0,0.5,NA,0,2,0,0,0,0,0.5,0,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,0.5,0,5,10,1
2,1980,8,6G,30,0,NA,0,0,40,0.5,2,NA,0,0,0,0,0.5,NA,0,1,0.5,0,0.5,0,0,0,NA,0,NA,0,1,0.5,NA,0,NA,0,0,1,0,0.5,0,1,20,0.5
2,1980,8,6I,3,0,NA,2,0.5,30,0.5,3,NA,0,0,0,0,0.5,NA,0,2,0,0,1,0,0,0,NA,0,NA,0.5,0.5,0.5,NA,0,NA,0,0.5,0,0,0.5,1,5,3,5
2,1980,8,8A,50,0,NA,30,0,0,0,5,NA,0,0,0,0,0,NA,0.5,0,0,0,0,5,0,0,NA,0,NA,0,0,0,NA,0,NA,0.5,0,0.5,0,0,0,0,15,0
2,1980,8,6C,35,0,NA,20,0,0,0.5,10,NA,0,0,0,0,0,NA,5,0,0.5,0,0,3,0,0,NA,0,NA,0,0,0,NA,0,NA,1,0,0,0,0,0,0,15,0.5
