Quad,Temp_F,Month,Year,Stand
0A,NA,8,1980,2
0C,NA,8,1980,2
0E,NA,8,1980,2
0G,NA,8,1980,2
0I,NA,8,1980,2
2A,NA,8,1980,2
2C,NA,8,1980,2
2E,NA,8,1980,2
2G,NA,8,1980,2
2I,NA,8,1980,2
4A,NA,8,1980,2
4C,NA,8,1980,2
4E,NA,8,1980,2
4G,NA,8,1980,2
4I,NA,8,1980,2
6A,NA,8,1980,2
6C,NA,8,1980,2
6E,NA,8,1980,2
6G,NA,8,1980,2
6I,NA,8,1980,2
8A,NA,8,1980,2
6C,NA,8,1980,2
8E,NA,8,1980,2
8G,NA,8,1980,2
8I,NA,8,1980,2
0A,NA,5,1981,2
0C,NA,5,1981,2
0E,NA,5,1981,2
0G,NA,5,1981,2
0I,NA,5,1981,2
2A,NA,5,1981,2
2C,NA,5,1981,2
2E,NA,5,1981,2
2G,NA,5,1981,2
2I,NA,5,1981,2
4A,NA,5,1981,2
4C,NA,5,1981,2
4E,NA,5,1981,2
4G,NA,5,1981,2
4I,NA,5,1981,2
6A,NA,5,1981,2
6C,NA,5,1981,2
6E,NA,5,1981,2
6G,NA,5,1981,2
6I,NA,5,1981,2
8A,NA,5,1981,2
8C,NA,5,1981,2
8E,NA,5,1981,2
8G,NA,5,1981,2
8I,NA,5,1981,2
0A,56,6,1981,2
0C,55,6,1981,2
0E,55,6,1981,2
0G,54,6,1981,2
0I,51,6,1981,2
2A,53,6,1981,2
2C,51,6,1981,2
2E,52,6,1981,2
2G,52,6,1981,2
2I,50,6,1981,2
4A,57,6,1981,2
4C,56,6,1981,2
4E,54,6,1981,2
4G,53,6,1981,2
4I,54,6,1981,2
6A,53,6,1981,2
6C,52,6,1981,2
6E,53,6,1981,2
6G,53,6,1981,2
6I,55,6,1981,2
8A,51,6,1981,2
8C,52,6,1981,2
8E,50,6,1981,2
8G,52,6,1981,2
8I,54,6,1981,2
0A,NA,7,1981,2
0C,NA,7,1981,2
0E,NA,7,1981,2
0G,NA,7,1981,2
0I,NA,7,1981,2
2A,NA,7,1981,2
2C,NA,7,1981,2
2E,NA,7,1981,2
2G,NA,7,1981,2
2I,NA,7,1981,2
4A,NA,7,1981,2
4C,NA,7,1981,2
4E,NA,7,1981,2
4G,NA,7,1981,2
4I,NA,7,1981,2
6A,NA,7,1981,2
6C,NA,7,1981,2
6E,NA,7,1981,2
6G,NA,7,1981,2
6I,NA,7,1981,2
8A,NA,7,1981,2
8C,NA,7,1981,2
8E,NA,7,1981,2
8G,NA,7,1981,2
8I,NA,7,1981,2
0A,54,8,1981,2
0C,54,8,1981,2
0E,52,8,1981,2
0G,53,8,1981,2
0I,53,8,1981,2
2I,52,8,1981,2
2G,53,8,1981,2
2E,52,8,1981,2
2C,54,8,1981,2
2A,54,8,1981,2
4A,56,8,1981,2
4C,55,8,1981,2
4E,55,8,1981,2
4G,54,8,1981,2
4I,53,8,1981,2
6I,54,8,1981,2
6G,54,8,1981,2
6E,54,8,1981,2
6C,54,8,1981,2
6A,NA,8,1981,2
8A,52,8,1981,2
8C,52,8,1981,2
8E,52,8,1981,2
8G,52,8,1981,2
8I,53,8,1981,2
0A,44,9,1981,2
0C,46,9,1981,2
0E,46,9,1981,2
0G,46,9,1981,2
0I,45,9,1981,2
2I,45,9,1981,2
2G,46,9,1981,2
2E,46,9,1981,2
2C,46,9,1981,2
2A,46,9,1981,2
4A,46,9,1981,2
4C,46,9,1981,2
4E,46,9,1981,2
4G,45,9,1981,2
4I,46,9,1981,2
6I,47,9,1981,2
6G,46,9,1981,2
6E,46,9,1981,2
6C,45,9,1981,2
6A,44,9,1981,2
8A,NA,9,1981,2
8C,43,9,1981,2
8E,45,9,1981,2
8G,45,9,1981,2
8I,45,9,1981,2
0A,36,10,1981,2
0C,36,10,1981,2
0E,36,10,1981,2
0G,37,10,1981,2
0I,37,10,1981,2
2I,38,10,1981,2
2G,37,10,1981,2
2E,36,10,1981,2
2C,37,10,1981,2
2A,37,10,1981,2
4A,36,10,1981,2
4C,35,10,1981,2
4E,36,10,1981,2
4G,36,10,1981,2
4I,34,10,1981,2
6I,35,10,1981,2
6G,36,10,1981,2
6E,37,10,1981,2
6C,37,10,1981,2
6A,37,10,1981,2
8A,37,10,1981,2
8C,37,10,1981,2
8E,38,10,1981,2
8G,37,10,1981,2
8I,38,10,1981,2
0A,39,5,1982,2
0C,42,5,1982,2
0E,39,5,1982,2
0G,40,5,1982,2
0I,36,5,1982,2
2I,37,5,1982,2
2G,39,5,1982,2
2E,44,5,1982,2
2C,40,5,1982,2
2A,40,5,1982,2
4A,50,5,1982,2
4C,51,5,1982,2
4E,44,5,1982,2
4G,45,5,1982,2
4I,42,5,1982,2
6I,49,5,1982,2
6G,43,5,1982,2
6E,46,5,1982,2
6C,45,5,1982,2
6A,44,5,1982,2
8A,48,5,1982,2
8C,44,5,1982,2
8E,43,5,1982,2
8G,41,5,1982,2
8I,45,5,1982,2
0A,47,6,1982,2
0C,48,6,1982,2
0E,48,6,1982,2
0G,48,6,1982,2
0I,46,6,1982,2
2I,47,6,1982,2
2G,48,6,1982,2
2E,46,6,1982,2
2C,47,6,1982,2
2A,48,6,1982,2
4A,52,6,1982,2
4C,52,6,1982,2
4E,53,6,1982,2
4G,51,6,1982,2
4I,50,6,1982,2
6I,50,6,1982,2
6G,51,6,1982,2
6E,53,6,1982,2
6C,51,6,1982,2
6A,49,6,1982,2
8A,48,6,1982,2
8C,48,6,1982,2
8E,46,6,1982,2
8G,45,6,1982,2
8I,46,6,1982,2
0A,61,7,1982,2
0C,60,7,1982,2
0E,57,7,1982,2
0G,60,7,1982,2
0I,56,7,1982,2
2I,57,7,1982,2
2G,57,7,1982,2
2E,58,7,1982,2
2C,59,7,1982,2
2A,59,7,1982,2
4A,63,7,1982,2
4C,63,7,1982,2
4E,62,7,1982,2
4G,62,7,1982,2
4I,60,7,1982,2
6I,58,7,1982,2
6G,58,7,1982,2
6E,58,7,1982,2
6C,58,7,1982,2
6A,58,7,1982,2
8A,55,7,1982,2
8C,56,7,1982,2
8E,54,7,1982,2
8G,55,7,1982,2
8I,57,7,1982,2
0A,57,8,1982,2
0C,56,8,1982,2
0E,56,8,1982,2
0G,56,8,1982,2
0I,56,8,1982,2
2I,56,8,1982,2
2G,56,8,1982,2
2E,58,8,1982,2
2C,56,8,1982,2
2A,57,8,1982,2
4A,58,8,1982,2
4C,58,8,1982,2
4E,60,8,1982,2
4G,59,8,1982,2
4I,58,8,1982,2
6I,58,8,1982,2
6G,58,8,1982,2
6E,58,8,1982,2
6C,57,8,1982,2
6A,57,8,1982,2
8A,55,8,1982,2
8C,56,8,1982,2
8E,56,8,1982,2
8G,55,8,1982,2
8I,56,8,1982,2
0A,45,9,1982,2
0C,47,9,1982,2
0E,47,9,1982,2
0G,46,9,1982,2
0I,46,9,1982,2
2I,46,9,1982,2
2G,46,9,1982,2
2E,48,9,1982,2
2C,47,9,1982,2
