Month,Year,Stand,Quad,ABBA,BEPA,PIBA,PIGL,PIMA,POTR,ALCR,AMAL,ARUV,LEGR,LODI,PRPE,ROAC,RUID,VAMY,VAVI,VIED,ACRU,ANMU,ANPA,ARNU,CARO,COCA,EPAN,FRVI,GABO,GELI,GORE,HIUM,LIBO,LIPH,MACA,MELI,ORSE,PYCH,RUPU,VIAD,VIRE,CXSI,CXRI,ELGL,ELIN,ORPU,SCPU,DRCA,EQVA,LYAN,LYCO,ORAS,SOSP,CACA,ROWO,TRBO,COTR,DITR,COST,FZSB,UNKA,ORC1,ASCI,COAU,GEBI,CXHO,CXAE,CRTE,TRHY,TAOF,RILA,2IPH,DOTR
8,2000,3,0A,0,2,13,0.5,0,0,9,0,0.5,0,0.5,0,2,0.5,0.5,3,0,0,0.01,0,3,0,0,0.01,0,0.5,0.1,0,0.01,2,0,3,0,0,0,0,0.1,0,0,0,0,0.5,0.01,0,0.1,0,0,0,0,0,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,0C,0,0.1,7,3,0,0,8,0,0,0.1,0,0,1,3,1,0.1,0,0,0,0,6,0.01,0.5,2,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,0E,0,0,15,6,3,0,3,0,0,0,0,2,0.5,0.1,0.5,0.5,0,0,0,0,2,0,2,0,0,0.01,0.01,0,0,0.5,0,1,0,0.5,0,0,0,0.01,0,0,0,0.01,0,0,0,0,2,0,0,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,0G,6,0,10,6,0,0,11,0,0,0,0,0,1,1,0.1,0.1,0,0,0,0,5,0,5,0,0,0.01,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.01,0,0,0.5,0,11,0.5,0,0,0.01,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,0I,0,1,17,7,0,0,4,0,2,0,0,0,3,2,0.5,3,0,0,0,0,12,0.01,10,0,0,0.5,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,2I,0,1,8,5,0,0,12,0,0,0,0,0,1,0,0.5,1,0.1,0,0,0,5,0,10,0,0,0,0,0,0,2,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,2G,0,0,10,10,0,0,9,0,0,0,0,0,3,1,2,1,0,0,0,0,7,0,2,0,0,0.01,0,0,0,4,0,2,0,0,0,1,0,0,0.01,0,0,0.1,0,0,0,0,2,0.01,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,2E,0,0,6,0,0,0,7,0,0,0.5,0,14,1,0.5,1,0.5,0,0,0,0,3,0,4,0,0.1,0,0,0,0,2,0,0.5,0,0,0,0.1,0.1,1,0,0,0,0.01,0,0,1,0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,2C,0,0,17,0.5,1,0,17,0,0,0,0,4,3,2,2,1,0,0,0,0,5,0,0,1,0,0.1,0,0,0,1,0,2,0,0.1,0,2,0,0.5,0,0,0,0.1,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,3,2A,0,1,13,16,0,0,7,0,0,0,0,0.5,0.5,3,0.5,0.5,0,0,0,0,2,0,3,0.5,0,0.01,0,0,0,1,0,0.5,0,0,0,0,0,0.1,0,0,0,1,0,0,0.01,0,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
