Month,Year,Stand,Quad,BEPA,PIGL,POBA,POTR,AMAL,LODI,LOIN,PRPE,RIGL,RILA,RITR,ROAC,RUID,SYAL,VAVI,VIED,ACMI,ARNU,ASCI,ASCO,ACRU,COCA,COTR,EPAN,FRVE,FRVI,GABO,GATR,GORE,LAOC,LIBO,MACA,MEPA,MINU,OSCH,PEPA,PYAS,ORSE,PYCH,RUPU,TRBO,VIRE,CACA,ELIN,SCPU,EQSY,HIUM,VIAM,ELGL,BRCI,VAMY,MOUN,AGTR,LYCO,DITR,ABBA,TAOF,RIOX
8,2000,5,0A,0,40,0,11,0,1,1,0,0,0,0.5,3,0.5,0.1,0.1,2,0.1,3,2,0,0,5,0,0.5,0,0.5,0.5,0,0,0.01,10,1,1,1,0,0.5,0.1,0.01,0,3,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,NA,NA
8,2000,5,0C,0,27,0,30,0.5,1,0.5,0,0,0,0.5,3,0,0,0,4,0.1,1,2,1,0.5,9,0,0.1,0,0.5,0.5,0,0,0.5,4,2,2,3,0,0.5,0.5,0.1,0,4,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,0E,0,45,0,15,0,1,3,0,0,0,0.5,4,0,0,0,6,0,1,3,0.5,0,5,0,0.5,0,0.1,0.5,0.1,0.1,0,0.1,0.5,4,2,0,0.5,0.5,0,0,5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,0G,0,15,0,6,0,0,3,0,0,0,1,3,0,0,0,3,0.01,0.5,3,0,0,5,0,1,0,1,1,0,0.1,2,10,1,1,1,0,1,1,0.1,0,2,0,0.1,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,0I,0,8,0,16,0,0,0,0,0,0,2,4,0,0,0,6,0,2,2,1,0,15,0,2,0,0.5,0.5,0.1,0.1,1,3,0.5,2,3,0,2,0.5,0,0,3,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,2I,0,40,0,6,0,0,0,0,0,0,1,3,0,0,0,3,0,6,1,0,0,5,0,0.1,0,0,0.1,0,0,0,3,0.5,2,3,0,0.5,0.1,0,0,6,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,2G,0,40,0,16,0.1,0.5,5,0,0,0.01,0.5,4,0,0,0,3,0.5,1,2,0,0,9,0,0,0,0,0.5,0.1,0,0,5,1,1,3,0,0.5,0.5,0,0,2,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NA,NA
8,2000,5,2E,0,50,0,30,0,0.5,2,0,0,0.1,0.5,1,0,0,0.01,3,0.01,7,2,1,0,3,0,0,0,0.1,0.5,0,0,0.5,3,1,2,2,0,0.5,0.5,0.1,0.1,1,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,2C,0,9,0,21,1,0.5,3,0,0,0.5,1,2,0,0,0.01,4,0,8,2,0.5,0.5,7,0,0,0,0,0.5,0,0,0.5,9,1,3,4,0,1,1,0,0,5,0,1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,2A,0,55,0,8,0.1,0.1,1,0,0,0.1,0.5,1,0,0,0,2,0.01,4,2,0.5,0.1,2,0,0,0,0.5,0.1,0,0,0,8,1,2,1,0,1,0.1,0,0,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4A,0,50,0,30,0,0.1,1,0,0,0.5,1,1,0,0,0,0.5,0.1,4,2,0,0.1,3,0,0,0,0.1,0.5,0,0,1,6,0.1,4,3,0,0.5,1,0.1,0,2,0.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4C,0,28,0,30,0,0.5,1,0,0,0,0.5,3,0,0,0,3,0,6,1,0.5,0,5,0,0,0,0.1,0.5,0,0,0.1,5,0.5,3,3,0,0.1,0.5,0,0,4,0,0.1,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,NA,NA
8,2000,5,4E,0,30,0,30,0,0.5,0.1,0,0,0.1,0.5,1,0,0,0,1,0,3,0.5,0,0,2,0,0,0.1,0.01,0.1,0.1,0,0.1,2,0.5,1,2,0,0.5,0.5,0,0,2,0,0.5,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4G,0,37,0,33,1,0,0.5,0,0,0.5,0.5,3,0,0,0,2,0.1,2,3,0,0,4,0,0.1,0,0.1,0.5,0,0,0.5,3,1,2,3,0,1,0.1,0,0,3,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA
8,2000,5,4I,0,22,0,28,0,0,0,0,0,0,1,2,0,0,0,3,0.1,4,3,0.5,0,4,0,0,0,0.1,0.5,0,0,0.1,5,1,1,4,0,0.5,0.5,0,0,3,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,6I,0,60,0,20,0,0,1,0,0,0.01,0.5,2,0,0,0,3,0,10,4,0,0,2,0,0,0,0.01,0.1,0.1,0,0.1,2,2,4,5,0,0.1,1,0,0,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,6G,0,28,0,14,0,0,0.5,0,0,0,1,1,0,0,0,3,0.01,6,0,0.1,0,4,0,0,0,0.1,0.1,0,0,0.1,3,2,3,6,0,1,0.1,0,0,3,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,6E,0,30,0,25,1,0,0,0,0,0.01,1,1,0,0,0,3,0.01,5,2,0,0.5,5,0,0,0,0.1,0.1,0,0,0,4,2,2,3,0,0.1,0.1,0,0,2,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,6C,0,44,0,25,0.1,0.1,0.5,0,0,0,0.5,0.5,0,0,0,2,0.1,2,2,0,0,4,0,0,0,0.01,0.1,0.01,0.1,0.1,3,2,3,4,0,1,0,0,0,4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,6A,0,45,0,30,0,0.5,0,0,0,0,1,1,0,0,0,1,0,5,1,0,0,1,0,0,0,0,0.1,0,0,0,7,1,2,2,0,0.1,0.5,0.1,0,3,0.1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,8A,0,31,0,17,0,0.5,5,0,0,0,0,7,0,0.1,0,4,0,9,1,2,0,4,0,0.5,0,0.5,1,0.1,0,1,2,2,8,2,0,2,0,0,0,6,0,0.5,1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,NA,NA
8,2000,5,8C,0,40,0,25,0,0.5,2,0,0,0.1,0,1,0,0,0,2,0,6,1,0,1,3,0,0,0,0,0.1,0.1,0,0,3,1,1,2,0,0.5,0,0.1,0,3,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,8E,0,40,0,30,0,0.5,0,0,0,0,0.5,2,0,0,0.01,2,0,5,2,1,0,3,0,0,0,0,0.1,0.1,0,0,2,0.5,2,3,0,1,0,0,0,2,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,8G,0,44,0,15,1,0.1,6,0,0,0,1,3,0,0,0,5,0,7,2,3,0.5,3,0,0,0,0.5,0.5,0.1,0,1,2,0.5,4,4,0,1,0,0,0,3,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,8I,0,38,0,30,0,0.5,1,0,0,0,0.5,3,0,0,0,3,0.01,11,3,0,0,4,0,0,0,0.1,0.5,0.1,0,0.1,3,2,4,4,0,2,0.5,0,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4A.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4E.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2000,5,4G.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
