Quad,Temp_F,Month,Year,Stand
0A,57,8,2000,7
0C,54,8,2000,7
0E,54,8,2000,7
0G,55,8,2000,7
0I,56,8,2000,7
2I,57,8,2000,7
2G,58,8,2000,7
2E,58,8,2000,7
2C,57,8,2000,7
2A,58,8,2000,7
4A,59,8,2000,7
4C,59,8,2000,7
4E,61,8,2000,7
4G,57,8,2000,7
4I,58,8,2000,7
6I,57,8,2000,7
6G,63,8,2000,7
6E,60,8,2000,7
6C,61,8,2000,7
6A,56,8,2000,7
8A,60,8,2000,7
8C,61,8,2000,7
8E,61,8,2000,7
8G,63,8,2000,7
8I,64,8,2000,7
0A,55,8,2005,7
0C,53,8,2005,7
0E,52,8,2005,7
0G,55,8,2005,7
0I,53,8,2005,7
2I,53,8,2005,7
2G,53,8,2005,7
2E,54,8,2005,7
2C,55,8,2005,7
2A,58,8,2005,7
4A,56,8,2005,7
4C,57,8,2005,7
4E,55,8,2005,7
4G,52,8,2005,7
4I,53,8,2005,7
6I,56,8,2005,7
6G,53,8,2005,7
6E,54,8,2005,7
6C,57,8,2005,7
6A,51,8,2005,7
8A,55,8,2005,7
8C,57,8,2005,7
8E,57,8,2005,7
8G,58,8,2005,7
8I,57,8,2005,7
0A,57,8,2010,7
0C,60,8,2010,7
0E,60,8,2010,7
0G,59,8,2010,7
0I,58,8,2010,7
2I,58,8,2010,7
2G,59,8,2010,7
2E,64,8,2010,7
2C,57,8,2010,7
2A,58,8,2010,7
4A,60,8,2010,7
4C,62,8,2010,7
4E,61,8,2010,7
4G,59,8,2010,7
4I,57,8,2010,7
6I,61,8,2010,7
6G,60,8,2010,7
6E,61,8,2010,7
6C,60,8,2010,7
6A,59,8,2010,7
8A,59,8,2010,7
8C,60,8,2010,7
8E,60,8,2010,7
8G,56,8,2010,7
8I,61,8,2010,7
0A,60,8,1981,7
0C,60,8,1981,7
0E,60,8,1981,7
0G,66,8,1981,7
0I,65,8,1981,7
2I,68,8,1981,7
2G,58,8,1981,7
2E,63,8,1981,7
2C,64,8,1981,7
2A,64,8,1981,7
4A,62,8,1981,7
4C,62,8,1981,7
4E,62,8,1981,7
4G,63,8,1981,7
4I,68,8,1981,7
6I,62,8,1981,7
6G,62,8,1981,7
6E,68,8,1981,7
6C,64,8,1981,7
6A,59,8,1981,7
8A,63,8,1981,7
8C,68,8,1981,7
8E,58,8,1981,7
8G,66,8,1981,7
8I,68,8,1981,7
0A,56,6,1981,7
0C,44,6,1981,7
0E,54,6,1981,7
0G,46,6,1981,7
0I,50,6,1981,7
2I,51,6,1981,7
2G,49,6,1981,7
2E,57,6,1981,7
2C,54,6,1981,7
2A,46,6,1981,7
4A,46,6,1981,7
4C,50,6,1981,7
4E,50,6,1981,7
4G,48,6,1981,7
4I,43,6,1981,7
6I,53,6,1981,7
6G,53,6,1981,7
6E,46,6,1981,7
6C,46,6,1981,7
6A,60,6,1981,7
8A,55,6,1981,7
8C,55,6,1981,7
8E,50,6,1981,7
8G,57,6,1981,7
8I,46,6,1981,7
0A,33,11,1981,7
0C,33,11,1981,7
0E,33,11,1981,7
0G,32,11,1981,7
0I,34,11,1981,7
2I,33,11,1981,7
2G,34,11,1981,7
