stand,year,month,date
1,1995,8,1995-08-08
1,1990,9,1990-09-02
1,1990,10,1990-10-07
1,1990,5,1990-05-03
1,1990,6,1990-06-02
1,1990,7,1990-07-03
1,1990,8,1990-08-03
1,1989,9,1989-09-06
1,1989,10,1989-10-01
1,1989,5,1989-05-01
1,1989,6,1989-05-29
1,1989,7,1989-07-01
1,1989,8,1989-07-30
1,1988,9,1988-09-02
1,1988,10,1988-10-03
1,1988,5,1988-05-02
1,1988,6,1988-05-30
1,1988,7,1988-06-30
1,1988,8,1988-07-30
1,1987,9,1987-09-07
1,1987,10,1987-10-03
1,1987,5,1987-05-02
1,1987,6,1987-06-02
1,1987,7,1987-06-30
1,1987,8,1987-08-01
1,1986,9,1986-09-01
1,1986,10,1986-10-07
1,1986,5,1986-05-06
1,1986,6,1986-06-02
1,1986,7,1986-07-08
1,1986,8,1986-08-04
1,1985,9,1985-09-01
1,1985,10,1985-10-01
1,1985,5,1985-05-01
1,1985,6,1985-06-02
1,1985,7,1985-07-01
1,1985,8,1985-08-03
1,1984,9,1984-09-06
1,1984,10,1984-10-02
1,1984,5,1984-05-05
1,1984,6,1984-06-04
1,1984,7,1984-07-06
1,1984,8,1984-08-02
1,1983,9,1983-09-08
1,1983,10,1983-10-06
1,1983,5,1983-05-06
1,1983,6,1983-06-05
1,1983,7,1983-07-02
1,1983,8,1983-08-03
1,1982,9,1982-09-09
1,1982,10,1982-10-10
1,1982,5,1982-05-11
1,1982,6,1982-06-10
1,1982,7,1982-07-11
1,1982,8,1982-08-08
1,1981,9,1981-09-24
1,1981,11,1981-11-05
1,1981,5,1981-05-12
1,1981,6,1981-06-11
1,1981,7,1981-07-14
1,1981,8,1981-08-17
1,1980,8,1980-08-08
1,2015,8,2015-07-21
1,2010,8,2010-08-02
1,2005,8,2005-08-02
1,2000,8,2000-08-02
2,1995,8,1995-08-11
2,1990,9,
2,1990,10,
2,1990,5,
2,1990,6,
2,1990,7,
2,1990,8,1990-08-02
2,1989,9,
2,1989,10,
2,1989,5,
2,1989,6,
2,1989,7,
2,1989,8,
2,1988,9,
2,1988,10,
2,1988,5,
2,1988,6,
2,1988,7,
2,1988,8,
2,1987,9,
2,1987,10,
2,1987,5,
2,1987,6,
2,1987,7,
2,1987,8,
2,1986,9,1986-09-01
2,1986,10,1986-10-07
2,1986,5,1986-05-07
2,1986,6,1986-05-31
2,1986,7,1986-06-30
2,1986,8,1986-08-03
2,1985,9,
2,1985,10,
2,1985,5,
2,1985,6,
2,1985,7,
2,1985,8,
2,1984,9,
2,1984,10,
2,1984,5,1984-05-04
2,1984,6,
2,1984,7,
2,1984,8,1984-07-31
2,1983,9,1983-09-09
2,1983,10,1983-10-04
2,1983,5,1983-05-04
2,1983,6,1983-06-06
2,1983,7,1983-07-03
2,1983,8,1983-08-04
2,1982,9,1982-09-11
2,1982,10,1982-10-10
2,1982,5,1982-05-10
2,1982,6,1982-06-11
2,1982,7,1982-07-11
2,1982,8,1982-08-09
2,1981,9,
2,1981,11,
2,1981,5,
2,1981,6,
2,1981,7,
2,1981,8,1981-08-18
2,1980,8,1980-08-10
2,2015,8,
2,2010,8,
2,2005,8,2005-08-06
2,2000,8,2000-08-02
3,1995,8,1995-08-10
3,1990,9,1990-09-02
3,1990,10,1990-10-07
3,1990,5,1990-05-01
3,1990,6,1990-06-01
3,1990,7,1990-07-02
3,1990,8,1990-08-01
3,1989,9,1989-09-04
3,1989,10,1989-10-01
3,1989,5,1989-04-29
3,1989,6,1989-05-29
3,1989,7,1989-07-03
3,1989,8,1989-07-30
3,1988,9,1988-09-02
3,1988,10,1988-10-02
3,1988,5,1988-04-04
3,1988,6,1988-06-02
3,1988,7,1988-07-01
3,1988,8,1988-07-30
3,1987,9,1987-09-06
3,1987,10,1987-10-04
3,1987,5,1987-05-02
3,1987,6,1987-06-03
3,1987,7,1987-07-03
3,1987,8,1987-08-01
3,1986,9,1986-09-03
3,1986,10,1986-10-05
3,1986,5,1986-05-06
3,1986,6,1986-05-31
3,1986,7,1986-06-30
3,1986,8,1986-08-02
3,1985,9,1985-09-02
3,1985,10,1985-09-29
3,1985,5,1985-05-30
3,1985,6,1985-06-02
3,1985,7,1985-07-02
3,1985,8,1985-08-04
3,1984,9,1984-09-07
3,1984,10,1984-10-01
3,1984,5,1984-05-05
3,1984,6,1984-06-04
3,1984,7,1984-07-08
3,1984,8,1984-08-02
3,1983,9,1983-09-08
3,1983,10,1983-10-06
3,1983,5,1983-05-04
3,1983,6,1983-06-05
3,1983,7,1983-07-02
3,1983,8,1983-08-03
3,1982,9,1982-09-09
3,1982,10,1982-10-09
3,1982,5,1982-05-10
3,1982,6,1982-06-10
3,1982,7,1982-07-10
3,1982,8,1982-08-09
3,1981,9,1981-09-22
3,1981,11,1981-11-05
3,1981,5,1981-05-12
3,1981,6,1981-06-03
3,1981,7,1981-07-14
3,1981,8,1981-08-16
3,1980,8,1980-08-16
3,2015,8,2015-07-26
3,2010,8,2010-08-07
3,2005,8,2005-08-02
3,2000,8,2000-08-01
3,2001,9,2001-09-22
4,1995,8,1995-08-10
4,1985,9,1985-08-31
4,1985,8,1985-08-07
4,1984,9,1984-09-07
4,1984,10,1984-09-30
4,1984,5,1984-05-05
4,1984,6,1984-06-05
4,1984,7,1984-07-06
4,1984,8,1984-07-30
4,1983,9,1983-09-09
4,1983,10,1983-10-05
4,1983,5,1983-05-06
4,1983,6,1983-06-06
4,1983,7,1983-07-03
4,1983,8,1983-08-04
4,1982,9,1982-09-10
4,1982,10,1982-10-10
4,1982,5,1982-05-09
4,1982,6,1982-06-11
4,1982,7,1982-07-09
4,1982,8,1982-08-09
4,1981,5,1981-05-11
4,1981,6,1981-06-11
4,1981,7,1981-07-13
4,1980,8,1981-08-18
4,1980,8,1980-08-17
4,2015,8,2015-07-23
4,2010,8,2010-08-06
4,2001,9,2001-09-18
4,2000,8,2000-08-03
5,1995,8,1995-08-09
5,1990,9,1990-09-01
5,1990,10,1990-10-08
5,1990,5,1990-05-02
5,1990,6,1990-05-31
5,1990,7,1990-07-01
5,1990,8,1990-07-31
5,1989,9,1989-09-05
5,1989,10,1989-10-02
5,1989,5,1989-04-29
5,1989,6,1989-05-30
5,1989,7,1989-07-02
5,1989,8,1989-07-29
5,1988,9,1988-09-01
5,1988,10,1988-10-02
5,1988,5,1988-05-01
5,1988,6,1988-06-01
5,1988,7,1988-07-01
5,1988,8,1988-07-29
5,1987,9,1987-09-05
5,1987,10,1987-10-03
5,1987,5,1987-05-03
5,1987,6,1987-06-01
5,1987,7,1987-07-01
5,1987,8,1987-07-31
5,1986,9,1986-09-02
5,1986,10,1986-10-06
5,1986,5,1986-05-05
5,1986,6,1986-06-01
5,1986,7,1986-07-01
5,1986,8,1986-08-01
5,1985,9,1985-08-31
5,1985,10,1985-09-28
5,1985,5,1985-05-02
5,1985,6,1985-06-01
5,1985,7,1985-07-01
5,1985,8,1985-08-07
5,1984,9,1984-09-05
5,1984,10,1984-09-30
5,1984,5,1984-05-03
5,1984,6,1984-06-06
5,1984,7,1984-07-07
5,1984,8,1984-08-01
5,1983,9,1983-09-07
5,1983,10,1983-10-05
5,1983,5,1983-05-07
5,1983,6,1983-06-04
5,1983,7,1983-07-01
5,1983,8,1983-08-05
5,1982,9,1982-09-10
5,1982,10,1982-10-09
5,1982,5,1982-05-07
5,1982,6,1982-06-09
5,1982,7,1982-07-09
5,1982,8,1982-08-08
5,1981,9,1981-09-23
5,1981,11,1981-11-04
5,1981,5,1981-05-11
5,1981,6,1981-06-12
5,1981,7,1981-07-13
5,1981,8,1981-08-17
5,1980,8,1980-08-11
5,2015,8,2015-07-24
5,2010,8,2010-08-04
5,2005,8,2005-08-04
5,2000,8,2000-08-05
6,1995,8,1995-08-09
6,1990,9,1990-09-01
6,1990,10,1990-10-08
6,1990,5,1990-05-02
6,1990,6,1990-05-31
6,1990,7,1990-07-01
6,1990,8,1990-07-31
6,1989,9,1989-09-05
6,1989,10,1989-10-02
6,1989,5,1989-05-30
6,1989,6,1989-07-02
6,1989,7,1989-07-29
6,1989,8,1989-07-29
6,1988,9,1988-09-01
6,1988,10,1988-10-02
6,1988,5,1988-05-01
6,1988,6,1988-06-01
6,1988,7,1988-07-01
6,1988,8,1988-07-29
6,1987,9,1987-09-05
6,1987,10,1987-10-03
6,1987,5,1987-05-03
6,1987,6,1987-06-01
6,1987,7,1987-07-01
6,1987,8,1987-07-31
6,1986,9,1986-09-02
6,1986,10,1986-10-06
6,1986,5,1986-05-05
6,1986,6,1986-06-01
6,1986,7,1986-07-01
6,1986,8,1986-08-02
6,1985,9,1985-08-31
6,1985,10,1985-09-28
6,1985,5,1985-05-02
6,1985,6,1985-06-01
6,1985,7,1985-07-01
6,1985,8,1985-08-07
6,1984,9,1984-09-05
6,1984,10,1984-09-30
6,1984,5,1984-05-03
6,1984,6,1984-06-06
6,1984,7,1984-07-07
6,1984,8,1984-08-01
6,1983,9,1983-09-07
6,1983,10,1983-10-05
6,1983,5,1983-05-07
6,1983,6,1983-06-04
6,1983,7,1983-07-01
6,1983,8,1983-08-05
6,1982,9,1982-09-10
6,1982,10,1982-10-09
6,1982,5,1982-05-08
6,1982,6,1982-06-09
6,1982,7,1982-07-09
6,1982,8,1982-08-08
6,1981,9,1981-09-23
6,1981,11,1981-11-04
6,1981,5,1981-05-11
6,1981,6,1981-06-12
6,1981,7,1981-07-13
6,1981,8,1981-08-17
6,1980,8,1980-08-11
6,2015,8,2015-07-28
6,2010,8,2010-08-04
6,2005,8,2005-08-04
6,2001,9,2001-09-22
6,2000,8,2000-08-06
7,1995,8,1995-08-11
7,1990,9,1990-09-02
7,1990,10,1990-10-09
7,1990,5,1990-05-03
7,1990,6,1989-06-01
7,1990,7,1990-07-02
7,1990,8,1990-08-01
7,1989,9,1989-09-04
7,1989,10,1989-10-03
7,1989,5,1989-04-29
7,1989,6,1989-05-29
7,1989,7,1989-07-01
7,1989,8,1989-08-01
7,1988,9,1988-09-02
7,1988,10,1988-10-03
7,1988,5,1988-05-02
7,1988,6,1988-05-31
7,1988,7,1988-06-30
7,1988,8,1988-07-30
7,1987,9,1987-09-06
7,1987,10,1987-10-02
7,1987,5,1987-05-02
7,1987,6,1987-06-04
7,1987,7,1987-07-02
7,1987,8,1987-08-02
7,1986,9,1986-09-01
7,1986,10,1986-10-05
7,1986,5,1986-05-07
7,1986,6,1986-06-02
7,1986,7,1986-06-28
7,1986,8,1986-08-01
7,1985,9,1985-09-01
7,1985,10,1985-09-30
7,1985,5,1985-05-01
7,1985,6,1985-06-02
7,1985,7,1985-07-02
7,1985,8,1985-08-07
7,1984,9,1984-09-06
7,1984,10,problem! Dupe of sept data
7,1984,5,1984-05-04
7,1984,6,1984-06-05
7,1984,7,1984-07-05
7,1984,8,1984-08-02
7,1983,9,1983-09-08
7,1983,10,1983-10-06
7,1983,5,1983-05-05
7,1983,6,1983-06-06
7,1983,7,1983-07-02
7,1983,8,1983-08-03
7,1982,9,1982-09-02
7,1982,10,1982-10-09
7,1982,5,1982-05-11
7,1982,6,1982-06-10
7,1982,7,1982-07-10
7,1982,8,1982-08-10
7,1981,9,1982-09-22
7,1981,11,1981-11-03
7,1981,5,1981-05-13
7,1981,6,1981-06-13
7,1981,7,1981-07-15
7,1981,8,1981-08-18
7,1980,8,1980-09-25
7,2015,8,2015-07-29
7,2010,8,2010-08-03
7,2005,8,2005-08-03
7,2000,8,2000-08-07
8,1995,8,1995-08-10
8,1990,9,1990-09-03
8,1990,10,1990-10-09
8,1990,5,1990-05-03
8,1990,6,1990-06-01
8,1990,7,1990-07-03
8,1990,8,1990-08-02
8,1989,9,1989-09-06
8,1989,10,1989-10-03
8,1989,5,1989-05-01
8,1989,6,1989-05-31
8,1989,7,1989-07-03
8,1989,8,1989-07-31
8,1988,9,1988-09-03
8,1988,10,1988-10-04
8,1988,5,1988-05-02
8,1988,6,1988-06-01
8,1988,7,1988-07-02
8,1988,8,1988-07-31
8,1987,9,1987-09-06
8,1987,10,1987-10-04
8,1987,5,1987-05-04
8,1987,6,1987-06-03
8,1987,7,1987-07-02
8,1987,8,1987-08-02
8,1986,9,1986-09-02
8,1986,10,1986-10-06
8,1986,5,1986-05-06
8,1986,6,1986-06-02
8,1986,7,1986-07-02
8,1986,8,1986-08-05
8,1985,9,1985-09-02
8,1985,10,1985-09-29
8,1985,5,
8,1985,6,1985-06-03
8,1985,7,1985-07-02
8,1985,8,1985-08-07
8,1984,9,1984-09-06
8,1984,10,1984-10-02
8,1984,5,1984-05-04
8,1984,6,1984-06-04
8,1984,7,1984-07-05
8,1984,8,1984-08-03
8,1983,9,1983-09-09
8,1983,10,1983-10-04
8,1983,5,1983-05-05
8,1983,6,1983-06-05
8,1983,7,1983-07-03
8,1983,8,1983-08-04
8,1982,9,1982-09-11
8,1982,10,1982-10-10
8,1982,5,1982-05-09
8,1982,6,1982-06-11
8,1982,7,1982-07-10
8,1982,8,1982-08-09
8,1981,9,1981-09-23
8,1981,11,1981-11-05
8,1981,5,1981-05-12
8,1981,6,1981-06-11
8,1981,7,1981-07-15
8,1981,8,1981-08-18
8,1980,8,1980-08-15
8,2015,8,2015-07-25
8,2010,8,2010-08-05
8,2005,8,2005-08-05
8,2001,9,2001-09-20
8,2000,8,2000-08-04
