STAND 1, SURVEY DATE: 11 Jun 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A, R.A. Ellis (#2), ROWS: 4C,4E,4G,4I,6,8, DATA ENTRY: 7 Nov 1995   (note: no calibration rows in 1981; problems with ANPA & ERGL)

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   2.0  30.0  15.0	15.0  15.0   4.0  15.0	 5.0  15.0  25.0   5.0	 7.0   4.0  15.0  10.0	 5.0  30.0   4.0   5.0	10.0   1.0  30.0   2.0	20.0  10.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   1.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ALCR   0.0   0.0   1.0	 1.0  20.0   4.0   0.0	 0.0   0.0   2.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
AMAL   1.0   1.0   0.5	 0.1   1.0   0.5   0.5	 1.0   1.0   0.5   1.0	 1.0   4.0   0.0   0.0	 0.5   2.0   3.0   2.0	 2.0   0.0   0.5   3.0	 1.0   0.5
ARUV  20.0   3.0  20.0	15.0   3.0  10.0  10.0	20.0  25.0  12.0  15.0	10.0   4.0  10.0  50.0	50.0  40.0  15.0  20.0	20.0  15.0  25.0  20.0	35.0  35.0
PRPE   0.5   0.1   0.0	 0.1   0.0   0.5   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   1.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
ROAC   1.0   0.5   0.0	 0.5   1.0   2.0   0.1	 0.0   0.5   1.0   0.5	 2.0   4.0   0.5   0.5	 0.5   2.0   2.0   0.0	 1.0   0.0   0.0   0.5	 1.0   0.5
RUID   0.0   0.0   0.0	 0.1   1.0   1.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0
