STAND 1, SURVEY DATE: 2 Jun 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, M.S. Ross (#3), ROWS: 4,6,8,  DATA ENTRY: 5 Dec 1995 (note: MSR data for row 4 in 4a-4i below; MSR used therm "Old #1; GHLR used "M" ["reads 2 degr high"])

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i

PIBA   2.0  21.0   6.0	 7.0  12.0   4.0  11.0	 9.0  11.0  12.0   7.0	 8.0   5.0   6.0   7.0	 3.0   9.0   2.0   6.0	 4.0   0.5  20.0   1.0	13.0   5.0   6.0   6.0	 2.0   3.0   6.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.5   0.0   0.0
ALCR   0.0   0.0   1.0	 1.0   3.0   3.0   0.0	 0.0   0.0   1.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AMAL   0.1   0.01  0.01  0.01  0.1   0.0   0.1	 0.1   0.1   0.0   0.1	 0.5   1.0   0.0   0.0	 0.0   0.1   0.5   0.5	 0.5   0.0   0.0   0.1	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0
ARUV  14.0   1.0  22.0	10.0   6.0   7.0   7.0	12.0  12.0   8.0   5.0	 9.0   8.0  15.0  19.0	13.0  14.0   9.0  10.0	 6.0   8.0  15.0   6.0	15.0  23.0   5.0   5.0	 4.0   8.0  15.0
PRPE   0.1   0.01  0.0	 0.1   0.0   0.5   0.1	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.1
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.0	 0.0   0.0   0.0
ROAC   1.0   0.1   0.0	 0.1   0.5   0.1   0.01  0.1   0.1   0.5   0.5	 1.0   1.0   0.5   0.1	 0.01  0.5   0.5   0.0	 0.5   0.0   0.0   0.0	 0.1   0.1   0.1   0.5	 2.0   0.1   0.1
RUID   0.0   0.0   0.0	 0.1   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.0
SHCA   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.5   0.0   2.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.1
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VAMY   0.1   0.1   0.5	 0.5   2.0   3.0   0.1	 0.5   0.5   2.0   0.1	 0.5   2.0   2.0   0.1	 0.5   0.1   0.5   0.1	 0.0   0.5   2.0   0.1	 0.5   0.0   0.1   0.5	 1.0   2.0   0.1
VAVI   2.0   0.1   8.0	19.0   9.0   7.0  12.0	 8.0   2.0   9.0   0.5	 4.0   8.0   7.0   6.0	 7.0  10.0   6.0   7.0	 5.0   0.1   6.0   1.0	 3.0   4.0   0.5   3.0	 7.0   6.0   3.0
ACMI   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANMU   0.01  0.0   0.0	 0.01  0.01  0.01  0.01  0.0   0.01  0.0   0.01  0.0   0.01  0.1   0.01  0.0   0.1   0.0   0.01  0.01  0.0   0.1   0.0	 0.1   0.1   0.0   0.0	 0.01  0.01  0.01

QUAD  0A    0C	  0E	0G    0I    2I	  2G	2E    2C    2A	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    8A    8C	  8E	8G    8I    4a	  4c	4e    4g    4i
