STAND 1, SURVEY DATES: 1&2 May 1987, OBSERVERS: G.H. La Roi (#1), ROWS: 0,4*,6, D.A. Chesterman (#4), ROWS: 0,6,  DATA ENTRY: 7 Dec 1995  (note: * surveyed 2 May; DAC data in 0a-0i, 6i-6a; GHLR used "Old#1", DAC "J")

QUAD  0A    0C	  0E	0G    0I    0a	  0c	0e    0g    0i	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i

PIBA   2.0  20.0   9.0	 7.0  14.0   3.0  20.0	 5.0   4.0   7.0   8.0	 8.0   4.0   9.0   7.0	 6.0  18.0   6.0   6.0	 9.0   3.0  12.0   4.0	 6.0   6.0   0.0   0.0	 0.0   0.0   0.0
PIGL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
POTR   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ALCR   0.0   0.0   0.1	 0.1   2.0   0.0   0.0	 0.5   0.01  2.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AMAL   0.01  0.01  0.01  0.0   0.0   0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.0   0.0	 0.0   0.01  0.01  0.01  0.01  0.0   0.01  0.1	 0.1   0.1   0.0   0.0	 0.0   0.0   0.0
ARUV  13.0   2.0  16.0	13.0   3.0   7.0   0.5	 7.0  12.0   2.0   8.0	12.0   9.0  16.0  16.0	25.0  20.0  16.0  16.0	11.0  20.0  18.0   7.0	10.0   6.0   0.0   0.0	 0.0   0.0   0.0
PRPE   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PRVI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROAC   0.01  0.01  0.0	 0.01  0.0   0.1   0.01  0.0   0.01  0.01  0.0	 0.01  0.01  0.01  0.01  0.0   0.01  0.01  0.0	 0.01  0.0   0.1   0.1	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0
RUID   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SABE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SHCA   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SYAL   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VAMY   0.01  0.01  0.01  0.01  0.01  0.01  0.0	 0.01  0.01  0.1   0.01  0.01  0.5   0.5   0.01  0.1   0.01  0.01  0.1	 0.01  0.1   0.1   0.01  0.1   0.01  0.0   0.0	 0.0   0.0   0.0
VAVI   2.0   0.1  11.0	16.0   7.0   0.5   0.01  2.0   8.0   3.0   1.0	 5.0   7.0   7.0   3.0	11.0  17.0   9.0   6.0	 5.0   3.0   3.0   2.0	 2.0   1.0   0.0   0.0	 0.0   0.0   0.0
ACMI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ANMU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0

QUAD  0A    0C	  0E	0G    0I    0a	  0c	0e    0g    0i	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i
