year,month,species.code,species,0A,0C,0E,0G,0I,2A,2C,2E,2G,2I,4A,4C,4E,4G,4I,6A,6C,6E,6G,6I,8A,8C,8E,8G,8I,Comments
1980,8,Pin-ban,PIBA,5,5,5,20,50,20,20,15,20,35,5,10,20,20,0,40,30,40,30,3,50,35,35,25,10,
1980,8,She-can,SHCA,1,0,0,0,0,3,1,55,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,
1980,8,Ros-aci,ROAC,4,3,3,1,2,3,5,5,5,3,2,2,5,1,1,3,5,5,2,3,5,10,5,0,2,
1980,8,Ame-aln,AMAL,0,2,0.5,1,2,0,0,3,0,1,1,0.5,0,0,0,1,0,0.5,0,0.5,0,0,0.5,10,0,
1980,8,Arc-uva,ARUV,50,50,30,55,15,30,2,0,10,3,30,10,0,50,10,0,10,5,40,30,0,0,0,0,15,
1980,8,Vac-vit,VAVI,5,0,2,0,1,10,10,50,15,20,0,0,15,20,10,2,3,10,20,3,15,15,25,30,20,
1980,8,Aln-cri,ALCR,0,0,20,0,40,0,35,0,25,15,0,5,20,0,1,15,20,10,0,2,30,20,15,30,2,
1980,8,Vac-myr,VAMY,1,0,0,0,0,1,1,0,3,0.5,2,0,3,2,0,0,1,5,1,5,0,0,0,5,15,
1980,8,Ane-mul,ANMU,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,1,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,
1980,8,Aster,ASLA,1,0.5,10,5,0,1,0.5,1,0.5,1,1,1,1,2,1,0.5,1,2,1,2,0,0,1,2,3,Aster was written on the original scan
1980,8,Ory-pun,ORPU,2,0.5,1,0.5,0.5,4,0.5,3,0,0,2,0,1,0.5,1,0.5,1,0,1,0,0.5,0,0.5,0.5,3,
1980,8,Mai-can,MACA,0.5,0.5,1,0.5,0.5,1,2,2,3,1,0,0.5,0.5,0.5,0,0.5,1,1,0.5,5,0,0.5,1,0.5,4,
1980,8,Cam-rot,CARO,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,
1980,8,Mel-lin,MELI,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,8,Gal-bor,GABO,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,1,0,0,0.5,0.5,0.5,
1980,8,Sol-dec,SODE,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,1,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,"Still not sure what species this is, unable to find it on the masterlist"
1980,8,Vio-adu,VIAD,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,
1980,8,Pru-pen,PRPE,0,0,0.5,0,0,0,1,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,
1980,8,Sym-alb,SYAL,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,8,Car-ri,CXRI,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,Car-sp was written on the original scan
1980,8,Salix-be,SABE,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1980,8,Lin-bor,LIBO,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
1980,8,Ely-inn,ELIN,0,0,0,0,0.5,0,1,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,1,0,1,2,
1980,8,Ara-nud,ARNU,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,5,10,4,0,
1980,8,Geo-liv,GELI,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,5,3,2,0,0,
1980,8,Pyr-sec,PYSE,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,8,Rub-str,RUST,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
1980,8,Equ-arv,EQAR,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,8,Equ-var,EQVA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,
1980,8,Pic-gla,PIGL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,8,Hie-umb,HIUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,
1980,8,Lyc-tri,LYTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,
1980,8,Pyr-vir,PYVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,
1980,8,Ory-asp,ORAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,
1980,8,Eri-sp,ERGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,
