STAND 3, SURVEY DATE: 04 Jun 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4 DATA ENTRY: 17 Oct 1996 (note: GHLR used thermometer "Old #1" in degr F; MSR used "M"?; MSR data from Row 4 in 4a-4i below)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.1   0.01  0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.1   0.0   2.0   0.0   0.0   0.01  0.0   0.0   0.5   0.0   0.0   0.0   2.0   1.0   0.1   0.5   0.0   0.5   0.0   0.0   0.01
PIBA  15.0  25.0  20.0   3.0  18.0  10.0   4.0   7.0  23.0   5.0  18.0  15.0  20.0  25.0  18.0  11.0  28.0  27.0  22.0  18.0  12.0   6.0  20.0  13.0  20.0  15.0  17.0  15.0  15.0  22.0
PIGL   0.0   0.0   1.0   1.0   1.0   4.0   6.0   0.0   0.0  10.0   0.0   4.0   4.0   0.01  3.0   0.0   0.0   4.0   5.0   0.0   4.0   3.0   2.0   3.0   0.0   0.0   1.0   0.0   0.0   0.5
PIMA   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   2.0   0.01  5.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.1   5.0   2.0   0.0   0.0   0.0   0.0   0.0
ALCR   1.0   3.0   2.0   3.0   2.0   3.0   3.0   3.0   2.0   3.0   2.0   4.0   6.0   6.0   3.0   8.0   7.0   6.0   4.0   8.0   4.0   5.0   3.0   5.0   2.0   0.1   4.0   4.0   5.0   1.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0
ARUV   0.1   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.5   0.0   0.1   0.0   0.1   0.5   4.0   0.5   2.0   0.0   0.5   0.0   6.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   4.0   0.0   4.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.1   0.0   0.0   0.0   0.0   2.0   0.0   0.0   5.0   2.0   0.0   0.0   0.0   0.0   1.0   0.1   1.0   1.0   0.5   2.0   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0
ROAC   2.0   0.1   1.0   0.5   4.0   1.0   1.0   1.0   2.0   0.5   4.0   2.0   2.0   4.0   3.0   2.0   3.0   2.0   5.0   4.0   3.0   3.0   2.0   3.0   2.0   3.0   1.0   1.0   2.0   2.0
RUID   0.5   2.0   0.1   1.0   0.1   0.0   0.1   0.5   6.0   2.0   2.0   2.0   0.1   0.0   0.1   0.1   0.5   1.0   0.5   1.0   0.5   2.0   1.0   0.5   0.1   3.0   2.0   0.1   0.0   0.1
VAMY   0.1   1.0   0.5   0.5   2.0   0.5   0.5   0.5   4.0   2.0   4.0   2.0   2.0   2.0   0.1   2.0   1.0   1.0   4.0   1.0   1.0   5.0   0.5   2.0   0.5   2.0   4.0   1.0   0.5   0.1
VAVI   3.0   2.0   0.5   0.5   1.0   1.0   1.0   0.1   1.0   2.0   0.5   0.5   0.5   1.0   2.0   1.0   0.1   2.0   1.0   2.0   2.0   3.0   1.0   2.0   2.0   2.0   1.0   1.0   2.0   3.0
VIED   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.01
ANPA   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   0.01  0.5   0.5   0.5   1.0   0.1   0.1   0.5   0.5   0.5   1.0   1.0   0.5   0.5   0.5   1.0   1.0   2.0   2.0   2.0   0.5   2.0   2.0   5.0   1.0   0.5   0.5   0.1   0.1   0.5
CARO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.0   0.0   0.0   2.0   0.0   2.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
EPAN   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.5   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   1.0   0.0   0.0   0.0
GABO   0.01  0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.1   0.1   0.01  0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.5   0.1   0.1   0.01  0.1   0.1
GELI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0
