STAND 3, SURVEY DATE: 02 Jul 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 08 Nov 1996 (cannot see who used what thermometer on xerox of data sheet; MSR data from Row 4 in 4a-i below)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.5   0.1   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   3.0   2.0   1.0   1.0   2.0   2.0   0.0   0.0   0.1
PIBA  13.0  15.0  30.0   3.0  15.0   5.0   8.0   5.0  30.0   9.0  20.0  13.0  10.0  27.0  18.0   8.0  23.0  25.0  20.0  25.0  10.0   7.0  20.0  17.0  19.0  15.0  15.0  12.0  25.0  20.0
PIGL   0.0   0.0   3.0   0.0   2.0   4.0   0.0   0.0   0.0  10.0   0.0   3.0   6.0   0.0   2.0   2.0   0.0   3.0   6.0   0.0   4.0   3.0   3.0   4.0   0.0   2.0   2.0   0.0   0.0   0.5
PIMA   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   5.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5  10.0   3.0   0.0   0.0   0.0   0.0   0.0
ALCR   4.0  12.0   6.0  10.0   4.0   7.0   8.0   3.0   5.0   9.0   3.0  10.0  13.0  25.0   9.0  28.0  20.0  18.0  15.0  16.0  18.0  25.0   9.0  12.0   6.0   1.0   5.0  10.0  15.0   6.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   1.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0
ARUV   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0  10.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   5.0   0.0   1.0   0.0   0.0   0.0   4.0   0.0   0.0   0.1   0.0
LEGR   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   5.0   0.0   4.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   1.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   4.0   3.0   0.0   0.0   0.0   0.0   2.0   0.5   1.0   1.0   0.0   3.0   0.0   0.0   0.0   4.0   1.0   0.0   0.0   0.0
ROAC   1.0   0.5   0.5   0.5   3.0   0.5   2.0   0.5   1.0   0.1   4.0   4.0   3.0   3.0   4.0   5.0   4.0   4.0  10.0   6.0   4.0   4.0   2.0   3.0   4.0   3.0   2.0   2.0   3.0   3.0
RUID   0.5   1.0   0.1   0.5   0.1   0.0   0.1   0.5   3.0   1.0   2.0   3.0   1.0   0.01  0.5   0.0   2.0   1.0   2.0   2.0   2.0   3.0   2.0   1.0   0.1   3.0   3.0   1.0   0.0   0.1
VAMY   0.1   0.5   1.0   1.0   1.0   0.5   0.5   0.1   0.5   0.5   3.0   2.0   1.0   2.0   0.5   2.0   0.5   1.0   3.0   3.0   1.0   5.0   1.0   2.0   1.0   1.0   1.0   0.5   1.0   0.5
VAVI   2.0   0.5   0.1   0.1   3.0   1.0   0.5   0.5   0.5   1.0   0.5   0.5   0.1   0.5   2.0   1.0   1.0   2.0   0.5   2.0   2.0   2.0   1.0   3.0   3.0   2.0   0.5   0.5   1.0   3.0
VIED   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1
ANPA   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   0.5   7.0   3.0   7.0   8.0   5.0   6.0   6.0  10.0   4.0  12.0  10.0   8.0  10.0   5.0   9.0  13.0  15.0  13.0   8.0  11.0  12.0  11.0   6.0   9.0   4.0   7.0   6.0   8.0   6.0
CARO   0.0   0.01  0.01  0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.0   0.1   0.0  12.0   2.0   8.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   1.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0  10.0   0.1   0.0   0.0   0.0   0.0
EPAN   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   1.0   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   1.0   0.0   0.01  0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0
GABO   0.1   0.5   0.1   0.1   0.5   0.0   0.01  0.0   0.5   0.1   1.0   1.0   1.0   1.0   1.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.1   0.01  0.5   0.5   0.5   0.1   0.1   0.5
GELI   0.1   0.1   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.1   1.0   0.1   0.0   0.5   0.0   0.1   0.1   0.0   0.0   0.1   0.1
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
