STAND 3, SURVEY DATE: 03 Jun 1987, OBSERVERS: D.A. Chesterman (#4), ROWS: 0,8, DATA ENTRY: 02 Dec 1996 (note: DAC used "M"?; DAC found COTR in 8G)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0
PIBA  13.0  10.0  20.0   2.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  10.0   8.0   9.0  10.0   8.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.5   6.0   4.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.1   3.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  6.0   1.0   0.0   0.0   0.0   0.0   0.0
ALCR   2.0   4.0   2.0   4.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   4.0   2.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.5   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
