STAND 3, SURVEY DATE: 02 Jul 1990, OBSERVER: G.H. La Roi (#1), ROWS: 0,4,8, DATA ENTRY: 18 Dec 1996 (note: GHLR used thermometer "Old #1";"ALCR wooly aphids on new shoots"; 585 cc in gauge)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   2.0   1.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0
PIBA  19.0  12.0  18.0   9.0  19.0   0.0   0.0   0.0   0.0   0.0  16.0  14.0  18.0  19.0  22.0   0.0   0.0   0.0   0.0   0.0  17.0   9.0  12.0  11.0  13.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.5   2.0  11.0   6.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   6.0   0.1   2.0   0.0   0.0   0.0   0.0   0.0   6.0   5.0   4.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   8.0   1.0   0.0   0.0   0.0   0.0   0.0
ALCR  11.0  20.0  11.0  15.0   7.0   0.0   0.0   0.0   0.0   0.0   2.0  12.0  16.0  17.0   9.0   0.0   0.0   0.0   0.0   0.0  10.0  12.0   9.0  11.0   4.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.5   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0  10.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   1.0   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   3.0   3.0   3.0   2.0   8.0   0.0   0.0   0.0   0.0   0.0   7.0   5.0   4.0   3.0   4.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   3.0   2.0   3.0   0.0   0.0   0.0   0.0   0.0
RUID   2.0   3.0   0.5   2.0   2.0   0.0   0.0   0.0   0.0   0.0   2.0   4.0   1.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   1.0   2.0   1.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0
VAMY   0.5   2.0   1.0   2.0   3.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   1.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0   1.0   4.0   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0
VAVI   3.0   2.0   0.5   2.0   3.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   1.0   3.0   3.0   0.0   0.0   0.0   0.0   0.0   3.0   3.0   2.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
VIED   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANPA   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   3.0  22.0  12.0  15.0  15.0   0.0   0.0   0.0   0.0   0.0  13.0  13.0   7.0   9.0   8.0   0.0   0.0   0.0   0.0   0.0  12.0   8.0  10.0   3.0   8.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.1   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.0   0.5   2.0  14.0   5.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   7.0   0.0   0.0   0.0   0.0   0.0
EPAN   0.1   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   1.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
GABO   0.5   1.0   0.1   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GELI   0.5   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
