STAND 3, SURVEY DATE: 01 Jun 1990, OBSERVER: G.H. La Roi (#1), ROWS: 0,4,8, DATA ENTRY: 18 Dec 1996 (note: GHLR used thermometer "Old #1";"ALCR leaves 1/3 enlarged; ARUV buds swelling; VAVI & LIBO lots of new green"; 320 cc in gauge)
       "PIBA #195 rooted in 5F fell into 4G"

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   1.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
PIBA  19.0   9.0  20.0   4.0  11.0   0.0   0.0   0.0   0.0   0.0  17.0   9.0  15.0  16.0  19.0   0.0   0.0   0.0   0.0   0.0  11.0   6.0  14.0   9.0  15.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   2.0  13.0   5.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   4.0   0.1   2.0   0.0   0.0   0.0   0.0   0.0   6.0   3.0   4.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   5.0   1.0   0.0   0.0   0.0   0.0   0.0
ALCR   4.0   7.0   5.0   8.0   3.0   0.0   0.0   0.0   0.0   0.0   2.0   5.0   8.0   8.0   2.0   0.0   0.0   0.0   0.0   0.0   5.0   8.0   2.0   6.0   2.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.5   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   7.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   1.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   2.0   2.0   1.0   1.0   4.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   2.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   1.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0
RUID   1.0   2.0   0.1   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   1.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0   2.0   2.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
VAMY   0.5   2.0   2.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.5   5.0   0.5   1.0   0.5   0.0   0.0   0.0   0.0   0.0
VAVI   3.0   2.0   0.5   0.5   3.0   0.0   0.0   0.0   0.0   0.0   1.0   1.0   1.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0   1.0   2.0   1.0   1.0   2.0   0.0   0.0   0.0   0.0   0.0
VIED   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   0.5   3.0   1.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0   3.0   2.0   1.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   2.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
CARO   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.0   0.1   0.5   5.0   2.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   2.0   0.0   0.0   0.0   0.0   0.0
EPAN   0.01  1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
GABO   0.1   0.5   0.01  0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.01  0.01  0.01  0.1   0.0   0.0   0.0   0.0   0.0
GELI   0.1   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LIBO   5.0   3.0   5.0   3.0   5.0   0.0   0.0   0.0   0.0   0.0   5.0   4.0   2.0   7.0   5.0   0.0   0.0   0.0   0.0   0.0   5.0   5.0   5.0   6.0   7.0   0.0   0.0   0.0   0.0   0.0
LIPH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MACA   6.0   8.0   5.0   8.0  10.0   0.0   0.0   0.0   0.0   0.0   5.0  11.0   4.0   3.0   4.0   0.0   0.0   0.0   0.0   0.0   3.0   6.0   5.0   2.0   6.0   0.0   0.0   0.0   0.0   0.0
MELI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.5   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0
PYCH   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   0.0   0.5   0.01  0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
VIAD   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIRE   0.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
CXSI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXRI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELIN   0.01  0.5   0.01  0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.01  0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
ORPU   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SCPU   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
DRCA   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
EQVA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LYAN   0.0   7.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LYCO   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORAS   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SOSP   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROWO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRBO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
temp  53.0  52.0  52.0  52.0  51.0   0.0   0.0   0.0   0.0   0.0  53.0  51.0  51.0  53.0  52.0   0.0   0.0   0.0   0.0   0.0  52.0  51.0  51.0  51.0  52.0   0.0   0.0   0.0   0.0   0.0

