STAND 3, SURVEY DATE: 26 Jul 2015, OBSERVER: D. Johnson (#7), ROWS: 0,2,4,6,8 DATA ENTRY: 17 Nov 2015 (notes: DJ used thermometer "#I"; survey began @0920h mdt, ended @1545h mdt; data
recroded by J. Salvail; soil temp was 56F at start and 62F at finish>

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA  50.0  20.0  65.0  40.0  40.0  25.0  50.0  40.0  50.0  50.0  35.0  25.0  35.0  10.0  60.0  50.0  35.0  35.0  40.0  35.0  50.0  30.0  45.0  30.0  15.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ALCR   7.0  50.0  15.0  35.0  10.0  35.0  25.0  15.0  20.0  15.0  10.0  20.0  35.0  35.0   5.0  35.0  30.0  30.0  15.0  25.0  25.0  30.0  30.0  35.0  20.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARUV   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   2.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.5   0.1   0.0   0.0   0.0   0.1   3.0   5.0   0.5   0.5   7.0   1.0   0.0   0.0   0.0   0.1   0.0   0.1   4.0   1.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   3.0   1.0   1.0   2.0  10.0   6.0   5.0   2.0   2.0   1.0   3.0   3.0   5.0   5.0   2.0   0.3   0.3   0.3   4.0   3.0   2.0   1.0   2.0   2.0   5.0   0.0   0.0   0.0   0.0   0.0
RUID   0.5   3.0   0.1   2.0   0.5   1.0   1.0   1.0   2.0   0.5   0.5   1.0   0.5   3.0   0.1   0.1   1.0   3.0   0.1   0.5   0.1   0.1   0.1   1.0   1.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.1   0.5   0.5   1.0   0.5   0.5   0.1   0.5   0.1   0.5   0.1   0.5   0.1   0.1   0.5   0.5   0.1   0.5   1.0   0.1   0.5   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0
VAVI   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANMU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ANPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   2.0   2.0   2.0   3.0   5.0   3.0   3.0   1.0   3.0   1.0   0.5   2.0   0.5   0.5   0.5   1.0   2.0   3.0   1.0   1.0   2.0   1.0   1.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0
