STAND 4, SURVEY DATE: 06 Aug 2010, OBSERVER: G.H. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 26 Apr 2011 (notes: GHLR used soil thermometer Old#1;Deer pellets; windfalls in westward direction
Moose skull in 4I; lots of Ants; Coyote scats; birds: SOVI, BCCH, CEWW, AMRO, WTSP, RTHawk; J. Taylor = recorder; start 0940h finish 1410 [incl 30" lunch]; lots of big logs but lots
of big tall trees still standing too; replaced post 5C; ASCI grazed; EPAN grazed; photos taken after 1410h mdt>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   5.0   4.0  11.0   9.0  10.0   7.0   3.0   5.0   4.0   2.0   8.0   6.0   8.0   8.0   5.0   4.0   0.0   0.1   6.0   6.0   6.0   4.0  12.0  10.0  11.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   0.1   8.0   3.0  13.0  10.0   6.0   9.0   4.0   1.0  13.0   4.0   4.0   3.0  13.0  14.0   6.0  11.0  10.0   2.0   0.5   6.0  10.0   6.0  10.0  12.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
