STAND 4, SURVEY DATE: 18 Aug 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 4G-I,6,8 R.A. Ellis (#2), ROWS: 0,2,4A-E, DATA ENTRY: 28 Nov 2006 (note: GHLR used soil thermometer #B, RAE used #1;
Species order on field data sheet is not the same as here; tagged tree #'s 1133,1375,1176 are PIMA [noted on alum tags];"120 y old spruce/fir"; soil temps measured this month! except for
0A which was given a 61F)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  10.0  15.0  30.0  25.0   3.0  25.0  20.0  20.0  30.0  20.0  25.0   3.0   4.0  20.0  40.0  20.0  25.0  50.0  12.0  40.0  25.0  15.0  50.0  20.0  40.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.5   0.0   3.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   4.0   5.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   1.0   1.0   0.0   0.0   0.5   0.5   8.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  25.0  15.0  10.0   2.0  30.0  25.0  30.0  20.0  15.0  25.0   6.0  30.0  25.0  12.0   7.0  22.0  30.0   5.0  30.0  20.0   7.0  20.0   0.0  12.0  12.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   4.0   4.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  10.0   0.1   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   3.0   0.0   0.0   4.0   3.0   0.0   0.01  0.01  0.01  0.01  0.0   1.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.01  0.0   0.01  0.0   0.0   0.01  0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.1   0.0   0.0   0.01  0.1   0.1   0.0   0.01  0.01  0.1   0.1   0.0   0.1   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.1   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   1.0   0.0   0.0   0.1   0.5   0.1   0.0   0.01  0.0   0.5   0.1   0.5   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.1   0.1   2.0   0.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   2.0   0.5   0.0   0.1   0.1   0.1   0.1   0.0   0.5   0.1   1.0   0.5   0.0   0.0   0.01  0.0   0.0   0.0   0.5   0.5   3.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   0.5   1.0   0.5   0.5   0.1   0.1   0.1   0.1   0.5   1.0   0.5   0.1   1.0   0.5   0.5   0.1   0.1   0.5   0.5   1.0   1.0   2.0   1.0   3.0   0.5   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.5   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
GELI   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.01  0.0   0.01  0.1   0.1   0.1   0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.01  0.1   0.01  0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0
LIBO   1.0   2.0   1.0   0.1   0.1   0.01  0.5   0.5   0.1   2.0   1.0   0.5   2.0   0.1   0.0   0.1   0.0   0.5   0.5   1.0   2.0   2.0   2.0   5.0   0.5   0.0   0.0   0.0   0.0   0.0
MACA   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.1   0.5   0.1   0.01  0.5   0.1   0.1   0.1   0.1   0.1   1.0   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.0
MEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYAS   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.1   0.0   0.01  0.1   0.0   0.01  0.1   0.01  0.1   0.0   0.0   0.1   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
