STAND 4, SURVEY DATE: 04 Aug 1983, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A-E, M.S. Ross (#4), ROWS: 4G-I,6,8, DATA ENTRY: 31 Oct 2008 (note: GHLR used soil thermometer #"M", MSR used
#??; central Min-Max temp data: Max 27.5C, Min 7C, Present 21C; birds: WWCR, PISI, RBNU; is ARNU or ASCI in 6A? [question on data sheet>

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  12.0   7.0  19.0  23.0   9.0  25.0  12.0  24.0  25.0  15.0  20.0   6.0   6.0  20.0  18.0   5.0   5.0  20.0   7.0  15.0   8.0   8.0  12.0  10.0  12.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0  13.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   5.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  28.0  31.0  30.0   7.0  37.0  30.0  28.0  34.0  35.0  40.0  12.0  40.0  35.0  15.0  10.0   8.0  40.0  15.0  30.0  40.0   5.0  25.0   1.0  20.0  15.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   4.0   7.0  15.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   8.0   4.0   0.1   0.1   0.0   0.0   0.5   0.1   0.0   5.0   2.0   0.1   3.0  15.0  10.0   0.0   0.01  0.0   0.0   0.01  1.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0
VAMY   0.1   0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.01  0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0
VAVI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   4.0   0.1   0.0   0.01  0.5   0.01  0.0   0.0   0.0   2.0   0.5   2.0   0.0   0.0   0.01  0.1   0.0   0.01  0.0   0.1   0.01  2.0   0.5   0.5   0.1   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   5.0   2.0   0.0   0.1   0.1   0.1   0.1   0.0   0.5   0.5   1.0   0.5   0.01  0.01  0.01  0.0   0.0   0.0   0.1   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   2.0   3.0   0.5   0.5   1.0   0.5   0.5   0.5   0.5   0.5   2.0   0.5   2.0   0.5   0.5   0.5   0.5   0.1   0.1   0.5   0.5   1.0   3.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
