STAND 4, SURVEY DATE: 1,3,7 Aug 1985, OBSERVERS: G.H. La Roi (#1/3 Aug), ROWS: 0,2,4, M.S. Ross <#4/1 Aug>, ROWS; 4,6,8, R.A. Ellis (#2/7 Aug), ROW: 4, DATA ENTRY: 10 Jun 2009 (note:
GHLR used soil thermometer ??, MSR used ??, RAE used ??; min-max data Central Min 3.5C, Max 29C, Present 17C @2015h mdt; birds RBNU,BCCH,WWCR,SHCR,PISI; MSR data for Row 4 entered in
4a-4i below, RAE data for Row 4 NOT entered in this file>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA  15.0  17.0  20.0  16.0   9.0  30.0  22.0  30.0  30.0  25.0  20.0  11.0   8.0  15.0  23.0   5.0   6.0  20.0   8.0  10.0  30.0   9.0  25.0   7.0  20.0  10.0   2.0   3.0  18.0  12.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0  11.0   0.01  0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   8.0   7.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  40.0  25.0  30.0   4.0  26.0  38.0  33.0  17.0  20.0  27.0  11.0  40.0  29.0  16.0   5.0  10.0  55.0  18.0  35.0  35.0   5.0  30.0   0.5  13.0  15.0  10.0  60.0  40.0  12.0   2.0
PIMA   0.0   0.0   0.0   0.0   4.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   7.0   5.0   0.0   5.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
POTR  20.0   2.0   0.1   0.0   0.1   0.0   1.0   0.0   0.0   8.0   3.0   0.0   4.0  12.0   5.0   0.0   0.1   0.1   0.1   0.1   0.1   0.0   0.1   0.0   0.0  10.0   0.0  15.0  10.0   4.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.01  0.01  0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
