STAND 4, SURVEY DATE: 31 Aug 1985, OBSERVERS: M.S. Ross (#4), ROWS: 4,6,8, R.A. Ellis (#2), ROWS: 0,2,4, DATA ENTRY: 15 Nov 2009 (note: MSR used soil thermometer __, RAE used __ ; RAE
substituted for GHLR [on sabbatical @ NMU]; RAE data from Row 4 entered in 4a-4i below>


Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   3.0   5.0  10.0   9.0   3.0  17.0   8.0  10.0  12.0  12.0  15.0   2.0   3.0  35.0  20.0   5.0   4.0  15.0  15.0  10.0  15.0  15.0  30.0   6.0  20.0  12.0   3.0   4.0  20.0  17.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   6.0   0.01  0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   2.0   0.01  0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0
PIBA   0.0   0.0   3.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  17.0  12.0   7.0   2.0  20.0   7.0  20.0  12.0   8.0  13.0  25.0  50.0  35.0   3.0   1.0  10.0  50.0  18.0  45.0  60.0   5.0  20.0   2.0  13.0  15.0   4.0  20.0  17.0   4.0   3.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   3.0   1.0   0.1   0.1   0.1   0.0   0.01  0.01  0.5   0.01 10.0   0.0  15.0  20.0   8.0   0.0   0.1   0.1   0.01  0.01  0.5   0.1   0.1   0.0   0.1   2.0   0.0   3.0   3.0   4.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VACA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAMY   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.01  0.1   1.0   1.0   0.1   0.01  0.0   0.1   0.0   0.1
VAVI   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   2.0   0.5   0.0   0.5   1.0   0.1   0.0   0.0   0.0   0.5   0.1   0.5   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.0   0.0   1.0   0.5   0.5   0.1   0.5   1.0   0.0   0.0   0.1

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ACRU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ARNU   0.1   0.1   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.01
ASCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   1.0   3.0   1.0   1.0   1.0   0.5   0.5   1.0   1.0   1.0   0.5   0.5   3.0   0.5   0.1   0.5   0.5   0.5   0.5   0.1   0.5   0.5   1.0   3.0   0.5   2.0   1.0   2.0   1.0   1.0
FRVI   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   0.0   0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0
GELI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.01  0.1   0.01  0.1   0.1   0.1   0.1   0.1   0.1   0.01  0.01  0.1   0.1   0.1   0.0   0.01  0.1   0.1   0.0   0.01  0.1   0.01  0.01  0.1   0.1   0.01  0.1   0.5   0.1
LIBO   1.0   4.0   2.0   0.1   0.5   0.0   1.0   0.5   0.5   3.0   1.0   0.5   0.1   0.01  0.0   0.1   0.0   0.1   0.5   0.1   0.5   0.5   0.5   2.0   0.1   3.0   1.0   1.0   0.1   0.0
MACA   0.01  0.0   0.01  0.0   0.0   0.01  0.01  0.0   0.01  0.1   0.01  0.0   0.01  0.1   0.01  0.1   0.01  0.0   0.01  0.1   0.0   0.0   0.1   0.5   0.1   0.1   0.0   0.0   0.01  0.01
MEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
MINU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0
PEPA   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYAS   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.1   0.01  0.01  0.01  0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.5   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.1   0.0   0.0   0.1   0.1   0.01  0.1   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.5   0.1   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.1   0.1   0.0   0.1   0.01
RUPU   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRBO   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.01  0.0   0.0   0.01  0.01  0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.0   0.0
VIRE   0.1   0.5   0.5   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.01  0.01  0.1   0.0   0.1   0.1   0.01  0.1   0.0   0.0   0.0   0.01
ELIN   0.0   0.01  0.01  0.0   0.01  0.0   0.01  0.01  0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.01  0.01  0.1   0.0   0.1   0.1   0.01  0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
