STAND 5, SURVEY DATE: 11 Aug 1980, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,8, R.A. Ellis (#2), ROWS: 4,6, DATA ENTRY: 10 Jan 1997 (note: first survey of stand 5; no soil temps measured "Middle-aged Mixedwood")

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  15.0  15.0  20.0   3.0   3.0  30.0  10.0  10.0  10.0  30.0  75.0  10.0  20.0  10.0  20.0  25.0  30.0  35.0  30.0  30.0  15.0  20.0  15.0  25.0  25.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  10.0  30.0  10.0  20.0  15.0  10.0  15.0  20.0  10.0  20.0   5.0   5.0  40.0  35.0  40.0  15.0  25.0  30.0  30.0  25.0  15.0  20.0  15.0  20.0  25.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.5   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.5   1.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   2.0   3.0   5.0   0.0   0.0   3.0   1.0   5.0   2.0   1.0   2.0   0.0   5.0   0.0   0.0   0.5   0.0   2.0   3.0   2.0   5.0   0.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RITR   1.0   0.0   0.0   0.5   1.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.5   0.0   1.0   0.5   0.5   1.0   0.0   0.0   0.5   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ROAC   5.0   2.0   3.0   2.0   3.0   3.0   0.0   2.0   2.0   5.0   1.0   1.0   0.5   2.0   5.0   1.0   1.0   0.5   1.0   0.5  10.0   5.0   3.0   3.0   4.0   0.0   0.0   0.0   0.0   0.0
RUID   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   5.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   2.0   7.0  10.0  10.0  10.0   5.0   3.0   5.0   3.0   3.0   0.5   2.0   0.5   3.0   2.0   5.0   4.0   5.0   5.0   5.0   7.0   3.0   2.0  20.0   2.0   0.0   0.0   0.0   0.0   0.0
ACMI   0.5   1.0   0.0   0.5   0.0   0.0   1.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ARNU   5.0  10.0  10.0   5.0  10.0  15.0   5.0   3.0  15.0   3.0   5.0   5.0   3.0  10.0   5.0   5.0   4.0   2.0   1.0   3.0   3.0  20.0  10.0  10.0  15.0   0.0   0.0   0.0   0.0   0.0
ASCI   0.0   2.0   3.0   1.0   0.0   1.0   2.0   1.0   1.0   0.5   0.0   0.0   0.0   0.5   1.0   1.0   0.0   0.5   0.5   0.0   1.0   1.0   1.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0
ASCO   0.0   2.0   0.0   0.0   2.0   0.0   1.0   1.0   1.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   1.0   0.0   1.0   5.0   0.0   0.0   0.0   0.0   0.0   0.0
ACRU   0.5   0.5   0.5   0.0   0.0   0.0   0.0   0.5   1.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA  10.0  15.0  15.0  12.0  30.0  15.0   5.0  10.0   5.0   3.0   3.0   5.0   2.0   5.0   5.0   4.0   5.0   3.0  20.0   1.0   5.0   5.0   3.0   5.0   8.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   3.0   1.0   2.0   2.0   1.0   0.0   0.5   1.0   0.5   1.0   0.0   0.5   0.0   1.0   0.5   0.0   0.0   0.0   0.5   0.0   1.0   0.5   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.5   0.0   1.0   1.0   0.5   0.5   0.0   1.0   0.5   0.0   0.0   0.0   0.5   0.5   0.5   0.5   0.5   0.5   1.0   0.5   0.5   0.5   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   1.0   2.0   1.0   0.5   1.0   1.0   0.5   1.0   1.0   1.0   0.5   0.5   0.5   0.5   1.0   0.5   0.5   0.5   0.5   0.5   1.0   0.0   0.5   1.0   0.5   0.0   0.0   0.0   0.0   0.0
GATR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAOC   0.0   0.0   0.0   0.5   1.0   0.0   1.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LIBO   2.0   5.0   1.0   5.0   7.0   3.0   3.0   3.0   3.0  15.0   5.0   0.5   5.0   3.0   3.0  20.0  15.0   5.0   0.5   1.0   3.0   1.0  10.0   5.0   8.0   0.0   0.0   0.0   0.0   0.0
