STAND 5, SURVEY DATE: 11 May 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4?, R.A. Ellis (#2), ROWS: 6,8?, DATA ENTRY: 15 Feb 1997 (note: not sure if GHLR or RAE did rows 0,2,4 and 6,8; no soil temps measured)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL  15.0  12.0  10.0   0.5   3.0  20.0  10.0  12.0  10.0  20.0  50.0  20.0  20.0  20.0   8.0  30.0  20.0  10.0  20.0  55.0  10.0  25.0  30.0  20.0  30.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   2.0   3.0   2.0   2.0   3.0   3.0   2.0   2.0   2.0   4.0   4.0   2.0   3.0   5.0   5.0   9.0   7.0   3.0   7.0  12.0  10.0  10.0  10.0   3.0   2.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.5   0.5   0.0   0.5   0.0   0.0   0.0   0.0   0.0
LOIN   0.0   0.5   0.5   0.5   0.0   0.0   0.5   0.1   0.5   0.1   0.1   0.1   0.1   0.5   0.1   0.5   0.5   0.0   0.5   0.0   1.0   2.0   1.0   2.0   1.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
