STAND 5, SURVEY DATE: 01 Jul 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 02 Dec 1997 (note: cannot see what thermometers used on xerox copy; Betty Todd's 1,2,7 very hard to differentiate; MSR data for Row 4 in
4a-4i below)

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

BEPA   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0   0.0   0.0   4.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   3.0   0.0   0.0   0.0   0.0
PIGL  10.0   4.0  10.0   3.0   1.0  15.0   8.0  10.0   8.0  20.0  30.0  10.0  20.0  12.0  10.0  20.0  15.0  17.0  22.0  20.0  16.0  20.0  14.0  16.0  17.0  50.0  10.0  15.0   7.0   8.0
POBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR  12.0  60.0   6.0  16.0   6.0  10.0   7.0  30.0  30.0  35.0  25.0  25.0  20.0  22.0  16.0  20.0  10.0  16.0  15.0  20.0  15.0  16.0  14.0  10.0  20.0  50.0  28.0  20.0  25.0  35.0
AMAL   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.5   1.0   1.0   0.0   0.0   0.0   0.1   0.1   0.1   0.5   0.1   0.5   2.0   0.0   0.5   0.0   0.0   0.0   0.1   0.5   0.5   1.0   1.0   0.5   0.5   0.1   0.1   1.0   0.0   0.5
LOIN   1.0   1.0   1.0   2.0   0.0   0.0   4.0   0.0   5.0   2.0   2.0   4.0   1.0   2.0   0.0   0.0   2.0   0.0   0.5   0.0   3.0   4.0   2.0   9.0   3.0   0.5   1.0   1.0   0.5   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RILA   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.1   0.01  0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.01  0.1   0.0   0.0   0.1   0.1   0.0
RITR   1.0   0.0   0.1   0.0   0.5   0.5   0.5   0.5   1.0   0.0   0.5   0.5   0.0   0.0   0.1   1.0   0.0   1.0   0.5   0.5   0.5   1.0   0.5   0.5   0.5   0.1   0.1   0.1   0.0   0.1
ROAC   3.0   1.0   3.0   0.5   1.0   3.0   2.0   1.0   1.0   1.0   1.0   2.0   1.0   3.0   3.0   3.0   2.0   0.5   2.0   1.0  11.0   4.0   2.0   4.0   3.0   0.1   2.0   0.1   3.0   1.0
RUID   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SYAL   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VAVI   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED   5.0  10.0  12.0   6.0  15.0   7.0   3.0   6.0   6.0   4.0   2.0   4.0   2.0   8.0   6.0   6.0  10.0   5.0   4.0   3.0  14.0   4.0   5.0  15.0   7.0   0.5   4.0   7.0   4.0   4.0
ACMI   0.1   0.1   0.0   0.01  0.1   0.0   0.1   0.0   0.1   0.01  0.0   0.01  0.0   0.1   0.01  0.0   0.01  0.0   0.1   0.0   0.01  0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.1   0.1

QUAD  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
